shipment_id,tracking_number,origin_location_id,destination_location_id,route_id,shipment_type,priority,weight_kg,distance_km,number_of_stops,number_of_handoffs,planned_duration_minutes,actual_duration_minutes,planned_delivery_time,actual_delivery_time,weather_exposure,traffic_exposure,congestion_exposure,transport_delay_minutes,external_event_exposure,historical_route_delay_rate,historical_route_avg_delay,expected_delay_minutes,delay_minutes,sla_limit_minutes,sla_breached,final_risk_score,planned_date
HIST000016,1Z10O5141XFHHFWBVZ,LOC039,LOC059,RT-LOC039-LOC040-LOC038,Standard,Normal,102.76,4150.92,10,10,1288.9,1425.9,2025-02-13T15:23:20,2025-02-13T17:40:20,0.279,0.625,0.303,0,0.393,0.27,48.7,137,137,7200,True,3.42,2025-02-12T17:54:26
HIST000017,1ZJ3SKSBAE3OG2C8IK,LOC005,LOC066,RT-LOC005-LOC018-LOC062,Express,Normal,0.93,1045.85,3,3,585.3,620.3,2024-09-12T08:13:01,2024-09-12T08:48:01,0.273,0.392,0.114,0,0.158,0.132,41.5,35,35,7200,False,2.1,2024-09-11T22:27:43
HIST000018,1ZPDTD2UZADU6LICBC,LOC019,LOC034,RT-LOC019-LOC013-LOC062,Fragile,Critical,48.57,1857.93,6,8,668.2,877.2,2025-10-22T15:50:39,2025-10-22T19:19:39,0.158,0.255,0.457,120,0.14,0.234,52.9,209,209,2880,True,3.02,2025-10-22T04:42:27
HIST000019,1ZLCQZKUH6359OW0JW,LOC024,LOC012,RT-LOC024-LOC027-LOC063,Standard,High,42.14,1321.4,4,6,569.0,634.0,2024-04-28T16:10:36,2024-04-28T17:15:36,0.118,0.371,0.439,0,0.447,0.203,47.8,65,65,4320,False,2.87,2024-04-28T06:41:36
HIST000020,1ZLLGQEE6O7R72DIXT,LOC055,LOC064,RT-LOC055-LOC008-LOC009,Priority,Low,44.21,2449.36,10,10,991.1,1095.1,2024-08-17T11:19:07,2024-08-17T13:03:07,0.257,0.801,0.078,0,0.408,0.245,45.9,104,104,10080,False,3.19,2024-08-16T18:48:01
HIST000021,1ZAV4G2XNLZITE6NKB,LOC036,LOC014,RT-LOC036-LOC048-LOC037,International,Normal,82.6,2451.79,5,7,860.0,933.0,2024-06-21T21:16:22,2024-06-21T22:29:22,0.207,0.499,0.398,0,0.353,0.234,61.6,73,73,7200,False,3.15,2024-06-21T06:56:22
HIST000022,1ZJWZDKMUEZGJQW089,LOC029,LOC021,RT-LOC029-LOC007-LOC052,Temperature Sensitive,High,38.62,1552.05,6,6,479.0,545.0,2024-09-13T01:36:25,2024-09-13T02:42:25,0.43,0.492,0.664,0,0.256,0.235,44.6,66,66,4320,True,4.23,2024-09-12T17:37:25
HIST000023,1ZLUYXSBKZ1SIT9FYT,LOC039,LOC022,RT-LOC039-LOC040-LOC038,Standard,High,81.1,4805.53,11,12,1389.9,1484.9,2024-03-25T00:42:59,2024-03-25T02:17:59,0.26,0.396,0.436,0,0.279,0.235,49.8,95,95,4320,True,3.1,2024-03-24T01:33:05
HIST000024,1ZQFGAJ1LXETMX3U1U,LOC008,LOC055,RT-LOC008-LOC009-LOC055,International,Critical,26.16,175.88,2,3,24.6,182.6,2024-11-12T18:00:55,2024-11-12T20:38:55,0.334,0.889,0.447,0,0.056,0.192,78.2,158,158,2880,False,3.73,2024-11-12T17:36:19
HIST000025,1ZLCVY1A0X8R3KFT0X,LOC029,LOC075,RT-LOC029-LOC051-LOC028,Express,Critical,47.89,3683.52,9,10,1750.5,1789.5,2026-04-02T14:50:49,2026-04-02T15:29:49,0.532,0.384,0.138,0,0.331,0.208,54.0,39,39,2880,True,3.02,2026-04-01T09:40:19
HIST000026,1ZGMJMIH37H38UCO88,LOC020,LOC071,RT-LOC020-LOC021-LOC004,Express,Normal,65.96,2695.74,11,13,893.8,1169.8,2025-01-25T21:22:29,2025-01-26T01:58:29,0.317,0.334,0.198,240,0.034,0.22,61.3,276,276,7200,True,3.03,2025-01-25T06:28:41
HIST000027,1ZEKHSNNTGDO7N4OQ9,LOC070,LOC027,RT-LOC070-LOC016-LOC030,International,Low,4.18,2349.69,8,9,954.6,1030.6,2024-12-22T02:28:27,2024-12-22T03:44:27,0.244,0.362,0.124,0,0.012,0.169,57.3,76,76,10080,True,2.05,2024-12-21T10:33:51
HIST000028,1Z0LV8ESSE17D6ALS2,LOC025,LOC023,RT-LOC025-LOC027-LOC063,Priority,Normal,25.62,1773.75,5,5,597.8,754.8,2026-01-14T02:00:21,2026-01-14T04:37:21,0.182,0.355,0.609,60,0.416,0.288,69.7,157,157,7200,False,3.54,2026-01-13T16:02:33
HIST000029,1Z3HHNJSCMQHW4IQSP,LOC054,LOC032,RT-LOC054-LOC009-LOC010,Standard,Normal,43.3,2751.15,10,10,937.2,1049.2,2025-06-16T03:54:31,2025-06-16T05:46:31,0.373,0.533,0.361,0,0.343,0.273,50.8,112,112,7200,True,3.54,2025-06-15T12:17:19
HIST000030,1ZYC16U4RN669N7J1C,LOC071,LOC008,RT-LOC071-LOC050-LOC051,Express,High,16.41,2077.18,7,9,901.0,1016.0,2024-12-20T18:34:33,2024-12-20T20:29:33,0.337,0.719,0.57,0,0.237,0.189,37.6,115,115,4320,True,3.85,2024-12-20T03:33:33
HIST000031,1Z0IB4RG5ZICT16RDZ,LOC046,LOC055,RT-LOC046-LOC047-LOC038,Standard,Normal,11.3,6003.72,15,15,1650.0,1736.0,2025-10-31T06:10:59,2025-10-31T07:36:59,0.225,0.464,0.528,0,0.191,0.239,50.3,86,86,7200,True,3.24,2025-10-30T02:40:59
HIST000032,1Z2IJRMH5BDWBIRLD8,LOC012,LOC037,RT-LOC012-LOC067-LOC065,Express,Normal,15.74,2775.24,6,7,792.8,877.8,2025-06-21T14:33:37,2025-06-21T15:58:37,0.154,0.597,0.072,0,0.475,0.231,71.5,85,85,7200,False,2.71,2025-06-21T01:20:49
HIST000033,1ZZK3E4GCEIFECRR3H,LOC016,LOC034,RT-LOC016-LOC030-LOC067,Express,Critical,38.68,1986.29,5,5,494.9,595.9,2025-08-22T18:30:14,2025-08-22T20:11:14,0.302,0.47,0.251,0,0.01,0.213,85.0,101,101,2880,False,2.69,2025-08-22T10:15:20
HIST000034,1ZH39LY4E5M4CETVZJ,LOC066,LOC032,RT-LOC066-LOC065-LOC032,Express,Normal,53.19,530.39,2,2,45.5,93.5,2026-04-06T21:57:57,2026-04-06T22:45:57,0.099,0.237,0.166,0,0.172,0.273,57.8,48,48,7200,False,1.99,2026-04-06T21:12:27
HIST000035,1ZI0XTZAR5V32X4YSS,LOC040,LOC056,RT-LOC040-LOC038-LOC045,Express,Normal,0.76,5860.31,15,16,1602.0,1652.0,2024-03-16T19:45:45,2024-03-16T20:35:45,0.288,0.363,0.088,0,0.379,0.231,51.5,50,50,7200,False,2.53,2024-03-15T17:03:45
HIST000036,1ZKUAWFY45IF9ZD1FL,LOC060,LOC011,RT-LOC060-LOC059-LOC006,Standard,Normal,3.8,2061.4,9,9,471.3,631.3,2025-12-17T18:47:47,2025-12-17T21:27:47,0.258,0.708,0.695,0,0.241,0.203,40.2,160,160,7200,False,3.97,2025-12-17T10:56:29
HIST000037,1ZLCGNVDC4WIAVN5HJ,LOC050,LOC048,RT-LOC050-LOC016-LOC030,Express,Normal,16.07,3577.47,8,9,914.5,1034.5,2026-05-11T09:52:17,2026-05-11T11:52:17,0.179,0.614,0.112,30,0.369,0.225,73.3,120,120,7200,False,2.68,2026-05-10T18:37:47
HIST000038,1ZACXUAEX6L6ZF1BQN,LOC016,LOC050,RT-LOC016-LOC049-LOC050,Standard,Critical,107.54,462.08,2,4,169.8,296.8,2025-06-28T08:59:20,2025-06-28T11:06:20,0.456,0.411,0.263,0,0.44,0.177,42.0,127,127,2880,False,3.19,2025-06-28T06:09:32
HIST000039,1ZGJDJOHC5QPT3PHXC,LOC072,LOC015,RT-LOC072-LOC028-LOC050,Express,High,97.07,2000.15,5,7,881.9,939.9,2024-09-19T20:09:13,2024-09-19T21:07:13,0.417,0.386,0.409,0,0.1,0.229,59.3,58,58,4320,True,3.15,2024-09-19T05:27:19
HIST000040,1ZNM49PQVYEP5GP2XV,LOC010,LOC056,RT-LOC010-LOC008-LOC009,Express,Low,3.97,401.66,4,6,163.6,309.6,2025-07-26T13:14:42,2025-07-26T15:40:42,0.334,0.335,0.605,0,0.014,0.195,67.5,146,146,10080,False,3.22,2025-07-26T10:31:06
HIST000041,1ZE0PTGXXWBJFFZIBF,LOC015,LOC017,RT-LOC015-LOC069-LOC016,Standard,Normal,70.26,1901.95,5,5,705.7,842.7,2025-02-15T17:30:11,2025-02-15T19:47:11,0.435,0.598,0.381,0,0.488,0.299,55.4,137,137,7200,False,4.01,2025-02-15T05:44:29
HIST000042,1Z9B1XFIM5YRKJN4QY,LOC048,LOC047,RT-LOC048-LOC037-LOC038,Express,Critical,55.04,1003.19,3,5,649.4,696.4,2026-03-10T00:13:26,2026-03-10T01:00:26,0.144,0.309,0.596,0,0.407,0.223,58.2,47,47,2880,False,3.16,2026-03-09T13:24:02
HIST000043,1ZM625L0Y4SC8X8FCA,LOC061,LOC029,RT-LOC061-LOC060-LOC059,Express,High,10.55,1074.8,5,5,313.8,421.8,2024-09-28T19:18:22,2024-09-28T21:06:22,0.357,0.408,0.111,0,0.315,0.237,31.5,108,108,4320,True,2.7,2024-09-28T14:04:34
HIST000044,1ZCS9R1GC6RX2PI6P9,LOC059,LOC045,RT-LOC059-LOC005-LOC002,International,Normal,72.48,3423.77,10,11,1335.7,1545.7,2025-04-27T03:03:41,2025-04-27T06:33:41,0.6,0.513,0.72,0,0.373,0.213,47.3,210,210,7200,False,4.56,2025-04-26T04:47:59
HIST000045,1Z0C443MHG8LILBB1V,LOC074,LOC047,RT-LOC074-LOC045-LOC038,Express,Low,105.43,1480.08,3,3,722.5,803.5,2024-07-18T05:07:19,2024-07-18T06:28:19,0.168,0.281,0.51,0,0.442,0.21,62.4,81,81,10080,False,2.99,2024-07-17T17:04:49
HIST000046,1ZNOP1H80E9QX53FTU,LOC057,LOC027,RT-LOC057-LOC055-LOC008,International,Normal,34.09,2289.63,10,10,1057.8,1181.8,2024-07-11T10:32:07,2024-07-11T12:36:07,0.292,0.74,0.33,0,0.192,0.279,54.6,124,124,7200,True,3.49,2024-07-10T16:54:19
HIST000047,1ZKUFRSOR05P6O8O54,LOC067,LOC043,RT-LOC067-LOC065-LOC032,International,Normal,202.93,4430.02,9,10,2006.2,2058.2,2026-05-17T10:14:52,2026-05-17T11:06:52,0.148,0.64,0.094,0,0.153,0.243,59.4,52,52,7200,False,2.47,2026-05-16T00:48:40
HIST000048,1ZLBWHVYCR4KSX6I4Q,LOC052,LOC075,RT-LOC052-LOC007-LOC006,Express,High,23.98,5219.73,15,16,2140.0,2276.0,2024-12-28T18:09:32,2024-12-28T20:25:32,0.282,0.558,0.416,0,0.004,0.23,54.2,136,136,4320,False,3.16,2024-12-27T06:29:32
HIST000049,1ZLWX9DMOZYAUJJT63,LOC035,LOC054,RT-LOC035-LOC036-LOC015,Express,High,33.2,5112.02,13,14,1773.3,1837.3,2026-02-22T08:00:16,2026-02-22T09:04:16,0.287,0.467,0.59,0,0.173,0.228,64.8,64,64,4320,False,3.45,2026-02-21T02:26:58
HIST000050,1ZAOLJ09QRB5F15E08,LOC033,LOC046,RT-LOC033-LOC035-LOC037,Standard,Normal,45.75,2450.34,5,6,995.7,1104.7,2025-05-19T11:20:00,2025-05-19T13:09:00,0.142,0.449,0.303,0,0.145,0.223,51.2,109,109,7200,True,2.52,2025-05-18T18:44:18
HIST000051,1ZVYSGJWM0G6BE3BDY,LOC030,LOC072,RT-LOC030-LOC016-LOC049,Priority,Normal,59.47,1277.5,3,3,268.1,320.1,2025-01-28T13:06:43,2025-01-28T13:58:43,0.511,0.524,0.091,0,0.346,0.185,61.5,52,52,7200,False,3.07,2025-01-28T08:38:37
HIST000052,1ZMBO5BT3DH6HAT29U,LOC032,LOC002,RT-LOC032-LOC065-LOC067,Express,Normal,60.11,1998.02,7,7,816.9,1019.9,2025-07-16T23:02:27,2025-07-17T02:25:27,0.336,0.947,0.196,120,0.412,0.227,45.6,203,203,7200,True,3.94,2025-07-16T09:25:33
HIST000053,1Z2XTMS9YZFVN4SCSS,LOC014,LOC066,RT-LOC014-LOC032-LOC065,Fragile,Low,40.22,892.17,3,4,669.1,879.1,2025-02-21T08:08:31,2025-02-21T11:38:31,0.318,0.68,0.797,120,0.392,0.247,75.7,210,210,10080,True,4.94,2025-02-20T20:59:25
HIST000054,1ZYWX20WPPJ1FFMN4K,LOC056,LOC037,RT-LOC056-LOC054-LOC009,Standard,Normal,27.22,4632.89,14,16,1328.8,1444.8,2024-03-15T03:59:30,2024-03-15T05:55:30,0.225,0.325,0.306,30,0.257,0.25,54.0,116,116,7200,False,2.68,2024-03-14T05:50:42
HIST000055,1ZI8UYJS2TTCY0YLRU,LOC070,LOC033,RT-LOC070-LOC031-LOC033,Standard,Low,60.49,1108.3,2,2,545.6,749.6,2024-02-19T05:05:41,2024-02-19T08:29:41,0.427,1.0,0.14,30,0.39,0.141,30.1,204,204,10080,True,3.63,2024-02-18T20:00:05
HIST000056,1ZKUAHXGK210WVLTG5,LOC047,LOC073,RT-LOC047-LOC038-LOC045,Priority,Normal,44.42,1626.0,3,4,940.2,1028.2,2025-10-29T10:47:41,2025-10-29T12:15:41,0.487,0.362,0.747,0,0.165,0.214,49.5,88,88,7200,True,3.96,2025-10-28T19:07:29
HIST000057,1ZZXM7KW5YRJC6378H,LOC056,LOC028,RT-LOC056-LOC054-LOC009,Express,Normal,5.77,3081.38,14,15,768.9,809.9,2025-01-30T19:56:45,2025-01-30T20:37:45,0.479,0.78,0.033,0,0.284,0.227,59.7,41,41,7200,False,3.43,2025-01-30T07:07:51
HIST000058,1ZM9U1AIZZ3I89Z5OZ,LOC025,LOC034,RT-LOC025-LOC027-LOC063,Standard,Low,38.92,2179.5,6,6,484.6,536.6,2025-04-19T22:03:25,2025-04-19T22:55:25,0.06,0.283,0.095,0,0.092,0.217,62.6,52,52,10080,True,1.72,2025-04-19T13:58:49
HIST000059,1ZCQ2BWCK8G9SVDDIQ,LOC016,LOC036,RT-LOC016-LOC030-LOC067,International,High,83.48,3232.66,7,8,847.3,944.3,2025-07-25T08:48:06,2025-07-25T10:25:06,0.113,0.363,0.497,0,0.252,0.238,83.5,97,97,4320,True,2.86,2025-07-24T18:40:48
HIST000060,1ZG72YJVWTEO5AUCP6,LOC015,LOC042,RT-LOC015-LOC045-LOC038,Standard,Low,43.21,1850.01,4,6,937.5,996.5,2025-03-19T16:54:38,2025-03-19T17:53:38,0.253,0.195,0.629,0,0.027,0.244,64.2,59,59,10080,False,3.02,2025-03-19T01:17:08
HIST000061,1ZMK2WP3VSHDK6ZCW9,LOC012,LOC038,RT-LOC012-LOC067-LOC065,Standard,Normal,60.88,3187.4,7,8,998.9,1086.9,2025-12-27T12:01:25,2025-12-27T13:29:25,0.088,0.542,0.356,0,0.22,0.214,64.7,88,88,7200,False,2.73,2025-12-26T19:22:31
HIST000062,1Z1MN6WOYCPW6IQC4I,LOC002,LOC013,RT-LOC002-LOC059-LOC060,Standard,High,68.81,726.18,3,4,378.9,456.9,2025-06-10T03:58:16,2025-06-10T05:16:16,0.446,0.577,0.203,0,0.176,0.287,71.5,78,78,4320,True,3.31,2025-06-09T21:39:22
HIST000063,1ZG8PZ6PSNM0DJRNAI,LOC019,LOC070,RT-LOC019-LOC060-LOC059,Fragile,Critical,75.04,2460.15,10,12,631.1,767.1,2024-08-14T16:26:43,2024-08-14T18:42:43,0.422,0.486,0.306,0,0.178,0.192,43.8,136,136,2880,True,3.31,2024-08-14T05:55:37
HIST000064,1ZFJ15BK81Q0N2755I,LOC018,LOC003,RT-LOC018-LOC059-LOC006,Temperature Sensitive,Normal,41.9,743.85,3,3,350.2,466.2,2024-11-01T23:25:12,2024-11-02T01:21:12,0.169,0.355,0.741,0,0.103,0.23,33.1,116,116,7200,False,3.49,2024-11-01T17:35:00
HIST000065,1ZAJZO1XFJY4MCM90I,LOC057,LOC005,RT-LOC057-LOC055-LOC008,Fragile,Normal,75.87,1944.59,11,13,586.6,769.6,2024-04-29T13:30:04,2024-04-29T16:33:04,0.331,0.529,0.634,0,0.492,0.245,67.9,183,183,7200,True,4.29,2024-04-29T03:43:28
HIST000066,1ZOKOSUW6ONNE6OJOI,LOC052,LOC046,RT-LOC052-LOC007-LOC006,Priority,Normal,0.19,5303.31,15,15,1879.5,1989.5,2024-06-23T08:45:16,2024-06-23T10:35:16,0.291,0.525,0.601,0,0.105,0.216,56.1,110,110,7200,False,3.47,2024-06-22T01:25:46
HIST000067,1ZF9P4BLONJB4RZVM0,LOC018,LOC057,RT-LOC018-LOC019-LOC022,Fragile,Normal,28.77,2244.08,7,9,484.1,631.1,2024-08-05T17:32:51,2024-08-05T19:59:51,0.453,0.309,0.512,0,0.485,0.195,46.3,147,147,7200,False,3.82,2024-08-05T09:28:45
HIST000068,1Z2O1OEEFMH13VS1DK,LOC058,LOC048,RT-LOC058-LOC055-LOC008,Standard,Normal,44.44,4545.5,15,16,1454.0,1531.0,2024-10-28T16:15:59,2024-10-28T17:32:59,0.339,0.397,0.332,0,0.128,0.25,48.9,77,77,7200,True,2.94,2024-10-27T16:01:59
HIST000069,1ZDYGHNID3WJDA2840,LOC015,LOC059,RT-LOC015-LOC069-LOC016,Express,High,19.75,2365.17,6,8,673.9,730.9,2024-08-27T22:52:32,2024-08-27T23:49:32,0.303,0.597,0.293,30,0.469,0.278,54.5,57,57,4320,True,3.5,2024-08-27T11:38:38
HIST000070,1ZUWXAUT74KMKU431A,LOC041,LOC070,RT-LOC041-LOC042-LOC047,Priority,Normal,28.95,2774.87,7,8,876.7,936.7,2025-11-26T16:44:04,2025-11-26T17:44:04,0.233,0.638,0.627,0,0.32,0.241,42.3,60,60,7200,False,3.85,2025-11-26T02:07:22
HIST000071,1Z820B9N1D0X8SL6JS,LOC026,LOC042,RT-LOC026-LOC027-LOC063,Priority,Low,23.05,4488.24,11,13,1466.3,1524.3,2025-03-20T11:22:50,2025-03-20T12:20:50,0.169,0.328,0.038,0,0.235,0.226,63.8,58,58,10080,False,2.08,2025-03-19T10:56:32
HIST000072,1Z1MXO6L4GUDZ5SHYO,LOC019,LOC046,RT-LOC019-LOC013-LOC062,Standard,High,83.38,4377.26,11,13,1669.8,1786.8,2026-04-15T18:35:31,2026-04-15T20:32:31,0.116,0.278,0.799,0,0.319,0.239,50.7,117,117,4320,True,3.41,2026-04-14T14:45:43
HIST000073,1ZS527ERRZF61K9HAP,LOC017,LOC035,RT-LOC017-LOC059-LOC005,Express,Low,39.57,2918.58,9,11,824.3,932.3,2026-02-02T16:59:40,2026-02-02T18:47:40,0.146,0.584,0.443,0,0.365,0.193,52.7,108,108,10080,False,3.15,2026-02-02T03:15:22
HIST000074,1ZVDE0DN7YVCCFY6EO,LOC020,LOC035,RT-LOC020-LOC023-LOC019,Fragile,Normal,33.83,3372.65,9,11,936.7,1037.7,2024-05-12T11:40:29,2024-05-12T13:21:29,0.186,0.582,0.397,0,0.1,0.262,51.1,101,101,7200,False,3.25,2024-05-11T20:03:47
HIST000075,1ZI4XFXF9WMCLA42UM,LOC059,LOC048,RT-LOC059-LOC005-LOC018,Standard,Low,30.78,3226.89,9,9,1055.5,1124.5,2025-12-01T22:46:26,2025-12-01T23:55:26,0.283,0.228,0.483,0,0.1,0.194,46.1,69,69,10080,False,2.71,2025-12-01T05:10:56
HIST000076,1Z4HN0A07HBIFQSMGJ,LOC033,LOC040,RT-LOC033-LOC035-LOC037,International,Low,30.52,1844.48,3,5,707.8,733.8,2025-11-12T12:05:57,2025-11-12T12:31:57,0.149,0.287,0.191,0,0.304,0.196,61.1,26,26,10080,False,2.16,2025-11-12T00:18:09
HIST000077,1ZSWXSD59ORBCIRZF0,LOC042,LOC049,RT-LOC042-LOC047-LOC038,Standard,Normal,27.92,3008.08,7,8,887.7,981.7,2025-09-11T02:40:42,2025-09-11T04:14:42,0.268,0.71,0.161,0,0.048,0.251,39.6,94,94,7200,False,2.9,2025-09-10T11:53:00
HIST000078,1ZX4ZM5HVJUGADUEP4,LOC065,LOC067,RT-LOC065-LOC067,Standard,High,70.24,488.61,1,1,41.9,155.9,2024-11-16T11:22:18,2024-11-16T13:16:18,0.048,0.951,0.598,0,0.022,0.227,48.8,114,114,4320,True,3.74,2024-11-16T10:40:24
HIST000079,1ZK8GOTY75Y5JOGBW7,LOC011,LOC010,RT-LOC011-LOC056-LOC054,International,Critical,23.41,626.46,4,6,151.5,311.5,2025-01-12T10:21:06,2025-01-12T13:01:06,0.256,1.0,0.799,0,0.497,0.166,75.4,160,160,2880,False,4.77,2025-01-12T07:49:36
HIST000080,1ZGMIMGFRMCE0W2FUM,LOC060,LOC049,RT-LOC060-LOC059-LOC005,Standard,Normal,2.02,2341.39,9,10,365.3,498.3,2025-04-01T03:26:11,2025-04-01T05:39:11,0.567,0.651,0.014,0,0.403,0.199,44.3,133,133,7200,False,3.46,2025-03-31T21:20:53
HIST000081,1ZMSNLXNO631NOB76X,LOC053,LOC037,RT-LOC053-LOC052-LOC007,Express,Normal,41.55,4324.08,13,14,1311.6,1476.6,2024-09-16T08:07:20,2024-09-16T10:52:20,0.255,0.264,0.263,120,0.337,0.226,59.4,165,165,7200,True,2.81,2024-09-15T10:15:44
HIST000082,1ZRL89LWFRS8MNRML9,LOC045,LOC025,RT-LOC045-LOC015-LOC069,Fragile,Low,14.93,4170.62,11,11,1375.0,1452.0,2026-01-31T00:47:29,2026-01-31T02:04:29,0.291,0.484,0.149,0,0.007,0.227,49.6,77,77,10080,False,2.73,2026-01-30T01:52:29
HIST000083,1ZWTYLQEXXNBS1MOV7,LOC040,LOC035,RT-LOC040-LOC038-LOC037,Standard,Normal,2.52,1394.61,3,4,393.4,434.4,2024-09-20T22:12:56,2024-09-20T22:53:56,0.07,0.8,0.189,0,0.163,0.273,51.5,41,41,7200,False,2.87,2024-09-20T15:39:32
HIST000084,1Z8RKQOHC4DUIX7L2H,LOC071,LOC014,RT-LOC071-LOC049-LOC070,Priority,High,6.66,1246.02,4,6,521.4,637.4,2024-02-18T01:27:32,2024-02-18T03:23:32,0.393,0.421,0.589,0,0.454,0.261,62.5,116,116,4320,False,3.95,2024-02-17T16:46:08
