edge_id,origin_location_id,destination_location_id,distance_km,base_travel_time_minutes,road_quality,capacity,historical_delay_rate,average_delay_minutes,weather_exposure,traffic_baseline,congestion_baseline,infrastructure_risk,transport_mode
EDGE0098,LOC020,LOC010,144.16,108.1,8,250,0.138,86.5,0.47,0.81,0.14,0.17,road
EDGE0099,LOC021,LOC023,375.46,281.6,4,331,0.35,116.4,0.46,0.12,0.32,0.63,road
EDGE0100,LOC072,LOC071,370.44,185.2,5,616,0.276,96.3,0.46,0.26,0.38,0.41,rail
EDGE0101,LOC055,LOC011,148.76,74.4,7,364,0.158,30.4,0.47,0.17,0.79,0.29,rail
EDGE0102,LOC055,LOC008,169.77,84.9,5,986,0.317,49.4,0.32,0.5,0.36,0.46,rail
EDGE0103,LOC010,LOC020,144.16,12.4,3,812,0.322,41.4,0.26,0.11,0.13,0.72,air
EDGE0104,LOC075,LOC044,367.61,31.5,10,647,0.064,85.1,0.46,0.72,0.67,0.09,air
EDGE0105,LOC075,LOC074,459.59,344.7,4,506,0.309,21.9,0.54,0.86,0.42,0.68,road
EDGE0106,LOC069,LOC070,209.01,156.8,5,669,0.277,24.6,0.15,0.33,0.61,0.58,road
EDGE0107,LOC040,LOC047,507.5,380.6,10,458,0.089,97.7,0.08,0.18,0.41,0.0,road
EDGE0108,LOC010,LOC022,332.7,249.5,8,399,0.152,45.7,0.21,0.17,0.51,0.16,road
EDGE0109,LOC030,LOC068,313.77,235.3,4,622,0.316,8.3,0.17,0.36,0.51,0.53,road
EDGE0110,LOC037,LOC048,170.66,85.3,5,874,0.282,94.0,0.39,0.88,0.61,0.43,rail
EDGE0111,LOC074,LOC073,654.39,327.2,7,577,0.167,39.7,0.41,0.26,0.67,0.28,rail
EDGE0112,LOC050,LOC016,288.11,24.7,6,782,0.217,98.1,0.61,0.66,0.18,0.4,air
EDGE0113,LOC019,LOC023,208.83,156.6,3,640,0.314,93.6,0.35,0.86,0.14,0.63,road
EDGE0114,LOC005,LOC017,143.7,107.8,6,698,0.203,11.1,0.49,0.24,0.55,0.5,road
EDGE0115,LOC006,LOC059,250.03,21.4,5,692,0.237,84.2,0.28,0.29,0.67,0.43,air
EDGE0116,LOC046,LOC043,777.13,582.8,4,320,0.327,25.1,0.24,0.71,0.7,0.56,road
EDGE0117,LOC055,LOC057,169.46,14.5,8,670,0.164,10.5,0.54,0.53,0.14,0.14,air
EDGE0118,LOC021,LOC010,198.37,148.8,5,496,0.25,95.4,0.29,0.32,0.66,0.49,road
EDGE0119,LOC025,LOC063,943.94,708.0,8,113,0.124,90.4,0.0,0.75,0.58,0.18,road
EDGE0120,LOC053,LOC003,383.03,287.3,4,650,0.32,53.7,0.6,0.64,0.69,0.58,road
EDGE0121,LOC062,LOC013,225.72,112.9,10,687,0.057,19.1,0.23,0.37,0.66,0.0,rail
EDGE0122,LOC010,LOC008,121.08,60.5,3,544,0.299,86.6,0.41,0.37,0.39,0.72,rail
EDGE0123,LOC059,LOC018,290.52,217.9,4,747,0.309,29.9,0.4,0.63,0.57,0.55,road
EDGE0124,LOC012,LOC062,348.27,261.2,8,132,0.131,87.8,0.13,0.43,0.72,0.28,road
EDGE0125,LOC013,LOC063,235.3,176.5,3,943,0.352,52.5,0.37,0.6,0.31,0.72,road
EDGE0126,LOC013,LOC062,225.72,169.3,4,491,0.323,92.1,0.16,0.74,0.35,0.51,road
EDGE0127,LOC016,LOC068,238.42,20.4,10,476,0.102,73.7,0.28,0.26,0.2,0.0,air
EDGE0128,LOC060,LOC061,161.74,80.9,7,717,0.175,30.8,0.4,0.82,0.48,0.26,rail
EDGE0129,LOC008,LOC055,169.77,127.3,4,122,0.316,19.5,0.45,0.78,0.12,0.59,road
EDGE0130,LOC054,LOC009,216.69,18.6,3,422,0.346,100.3,0.52,0.35,0.28,0.71,air
EDGE0131,LOC061,LOC063,311.63,155.8,7,981,0.157,23.7,0.3,0.26,0.22,0.34,rail
EDGE0132,LOC018,LOC019,546.18,46.8,10,136,0.133,22.4,0.3,0.21,0.74,0.0,air
EDGE0133,LOC072,LOC050,639.89,479.9,9,447,0.105,6.2,0.49,0.43,0.55,0.13,road
EDGE0134,LOC074,LOC044,651.01,325.5,9,274,0.174,15.0,0.42,0.63,0.72,0.1,rail
EDGE0135,LOC029,LOC002,391.78,293.8,3,964,0.368,34.5,0.27,0.76,0.57,0.76,road
EDGE0136,LOC048,LOC037,170.66,128.0,6,443,0.194,39.0,0.21,0.75,0.31,0.33,road
EDGE0137,LOC047,LOC040,507.5,380.6,10,132,0.135,59.1,0.42,0.32,0.66,0.0,road
EDGE0138,LOC026,LOC027,124.18,10.6,9,296,0.089,66.8,0.0,0.21,0.52,0.04,air
EDGE0139,LOC050,LOC051,384.48,288.4,9,520,0.157,87.1,0.58,0.36,0.51,0.06,road
EDGE0140,LOC031,LOC068,424.97,318.7,7,624,0.19,20.8,0.21,0.83,0.72,0.35,road
EDGE0141,LOC038,LOC048,582.44,291.2,10,349,0.126,70.9,0.29,0.73,0.14,0.08,rail
EDGE0142,LOC017,LOC059,118.15,88.6,7,268,0.177,77.4,0.52,0.58,0.22,0.21,road
EDGE0143,LOC050,LOC072,639.89,479.9,9,878,0.119,18.0,0.55,0.68,0.29,0.18,road
EDGE0144,LOC026,LOC025,331.26,248.4,6,801,0.249,30.6,0.15,0.36,0.77,0.39,road
EDGE0145,LOC004,LOC052,287.36,24.6,4,961,0.355,113.9,0.47,0.11,0.54,0.59,air
EDGE0146,LOC026,LOC024,276.02,207.0,10,934,0.075,56.5,0.0,0.35,0.31,0.0,road
EDGE0147,LOC007,LOC052,346.55,29.7,7,938,0.214,16.3,0.6,0.43,0.67,0.3,air
EDGE0148,LOC007,LOC006,263.58,22.6,5,847,0.254,65.8,0.52,0.55,0.22,0.51,air
EDGE0149,LOC029,LOC001,131.06,65.5,10,523,0.052,29.1,0.29,0.65,0.33,0.04,rail
EDGE0150,LOC002,LOC029,391.78,33.6,3,608,0.361,28.3,0.33,0.5,0.37,0.63,air
EDGE0151,LOC022,LOC010,332.7,249.5,4,120,0.303,22.4,0.47,0.13,0.45,0.69,road
EDGE0152,LOC018,LOC060,258.13,193.6,10,999,0.074,45.5,0.41,0.18,0.26,0.0,road
EDGE0153,LOC059,LOC002,239.58,179.7,5,835,0.267,52.7,0.19,0.6,0.7,0.43,road
EDGE0154,LOC035,LOC037,556.0,278.0,5,499,0.27,36.7,0.21,0.88,0.57,0.52,rail
EDGE0155,LOC016,LOC050,288.11,216.1,8,768,0.216,52.8,0.34,0.41,0.35,0.15,road
EDGE0156,LOC011,LOC055,148.76,111.6,5,830,0.322,17.6,0.51,0.66,0.71,0.57,road
EDGE0157,LOC064,LOC012,317.23,237.9,5,560,0.245,44.0,0.36,0.58,0.58,0.42,road
EDGE0158,LOC019,LOC013,364.07,182.0,3,857,0.364,17.7,0.35,0.65,0.76,0.71,rail
EDGE0159,LOC008,LOC054,215.93,161.9,7,869,0.173,87.7,0.43,0.39,0.77,0.38,road
EDGE0160,LOC012,LOC067,209.07,17.9,8,740,0.154,76.5,0.37,0.79,0.16,0.28,air
EDGE0161,LOC019,LOC060,289.97,217.5,9,666,0.101,90.4,0.09,0.65,0.66,0.13,road
EDGE0162,LOC036,LOC037,530.47,397.9,4,903,0.304,60.0,0.35,0.87,0.3,0.55,road
EDGE0163,LOC033,LOC031,678.22,508.7,8,551,0.129,54.2,0.0,0.7,0.45,0.25,road
EDGE0164,LOC062,LOC063,136.65,11.7,10,545,0.107,18.0,0.4,0.32,0.15,0.01,air
EDGE0165,LOC050,LOC070,331.57,248.7,9,739,0.163,12.4,0.25,0.21,0.3,0.11,road
EDGE0166,LOC051,LOC028,374.48,32.1,7,105,0.163,84.6,0.61,0.54,0.3,0.25,air
EDGE0167,LOC070,LOC050,331.57,248.7,10,226,0.102,56.8,0.16,0.82,0.38,0.01,road
EDGE0168,LOC065,LOC032,409.6,35.1,8,315,0.191,86.1,0.0,0.78,0.32,0.3,air
EDGE0169,LOC004,LOC003,184.91,92.5,3,905,0.369,110.0,0.58,0.88,0.23,0.75,rail
EDGE0170,LOC066,LOC065,120.79,10.4,4,299,0.355,29.4,0.24,0.13,0.12,0.57,air
EDGE0171,LOC068,LOC016,238.42,178.8,6,740,0.286,114.7,0.47,0.25,0.8,0.33,road
EDGE0172,LOC052,LOC053,107.49,80.6,3,545,0.381,73.2,0.51,0.63,0.26,0.7,road
EDGE0173,LOC047,LOC039,329.76,247.3,8,512,0.205,91.8,0.17,0.15,0.46,0.12,road
EDGE0174,LOC016,LOC030,382.74,32.8,6,522,0.264,91.4,0.53,0.65,0.66,0.33,air
EDGE0175,LOC018,LOC059,290.52,145.3,3,629,0.312,15.1,0.3,0.52,0.74,0.72,rail
EDGE0176,LOC056,LOC011,66.38,49.8,9,556,0.178,73.5,0.49,0.45,0.62,0.12,road
EDGE0177,LOC074,LOC043,554.64,416.0,6,141,0.242,25.1,0.42,0.72,0.21,0.4,road
EDGE0178,LOC034,LOC031,578.64,434.0,5,325,0.315,84.6,0.0,0.22,0.36,0.52,road
EDGE0179,LOC038,LOC047,420.37,315.3,3,293,0.363,111.2,0.26,0.36,0.55,0.76,road
EDGE0180,LOC053,LOC054,318.72,159.4,10,707,0.07,74.6,0.65,0.37,0.2,0.0,rail
EDGE0181,LOC013,LOC019,364.07,182.0,5,436,0.278,61.1,0.14,0.26,0.65,0.46,rail
EDGE0182,LOC049,LOC072,628.71,53.9,5,486,0.305,64.9,0.52,0.79,0.23,0.47,air
EDGE0183,LOC005,LOC018,249.43,187.1,8,605,0.194,104.2,0.47,0.49,0.74,0.25,road
EDGE0184,LOC066,LOC063,448.21,336.2,10,188,0.124,31.0,0.1,0.82,0.17,0.03,road
EDGE0185,LOC001,LOC007,381.47,286.1,3,525,0.375,30.8,0.3,0.25,0.12,0.62,road
EDGE0186,LOC057,LOC055,169.46,14.5,5,231,0.312,117.7,0.46,0.37,0.38,0.51,air
EDGE0187,LOC002,LOC030,370.61,278.0,5,730,0.264,105.8,0.44,0.61,0.35,0.42,road
EDGE0188,LOC016,LOC069,286.63,215.0,3,892,0.376,22.3,0.53,0.23,0.12,0.72,road
EDGE0189,LOC002,LOC059,239.58,179.7,5,622,0.32,23.0,0.54,0.85,0.66,0.43,road
EDGE0190,LOC057,LOC056,130.32,97.7,9,577,0.153,30.1,0.57,0.9,0.69,0.04,road
EDGE0191,LOC056,LOC057,130.32,97.7,7,211,0.23,53.0,0.26,0.78,0.31,0.37,road
EDGE0192,LOC043,LOC074,554.64,47.5,8,665,0.185,84.8,0.44,0.49,0.54,0.16,air
EDGE0193,LOC048,LOC036,511.24,383.4,8,669,0.181,103.5,0.19,0.81,0.43,0.27,road
EDGE0194,LOC023,LOC019,208.83,156.6,5,749,0.239,14.1,0.33,0.65,0.55,0.42,road
EDGE0195,LOC023,LOC021,375.46,281.6,3,332,0.359,67.9,0.43,0.46,0.18,0.78,road
EDGE0196,LOC018,LOC062,294.02,147.0,10,365,0.119,9.6,0.08,0.34,0.33,0.07,rail
EDGE0197,LOC051,LOC001,196.87,147.7,5,291,0.274,21.7,0.61,0.66,0.35,0.41,road
EDGE0198,LOC041,LOC039,559.12,419.3,7,906,0.175,44.8,0.36,0.88,0.1,0.2,road
EDGE0199,LOC070,LOC069,209.01,156.8,6,240,0.266,79.7,0.16,0.33,0.63,0.33,road
EDGE0200,LOC049,LOC070,246.64,123.3,3,964,0.322,80.8,0.5,0.43,0.19,0.62,rail
EDGE0201,LOC057,LOC058,121.79,91.3,3,515,0.362,19.0,0.4,0.38,0.12,0.7,road
EDGE0202,LOC004,LOC010,413.81,310.4,9,488,0.175,94.6,0.35,0.52,0.21,0.16,road
EDGE0203,LOC031,LOC069,247.37,185.5,7,338,0.212,69.5,0.45,0.28,0.17,0.29,road
EDGE0204,LOC061,LOC060,161.74,121.3,10,661,0.109,67.0,0.18,0.74,0.1,0.0,road
EDGE0205,LOC037,LOC040,480.86,360.6,9,698,0.096,84.5,0.28,0.1,0.27,0.06,road
EDGE0206,LOC067,LOC068,288.29,216.2,9,545,0.111,86.8,0.16,0.72,0.41,0.17,road
EDGE0207,LOC009,LOC008,14.25,10.7,10,519,0.095,15.6,0.32,0.65,0.64,0.05,road
EDGE0208,LOC005,LOC002,172.04,129.0,7,790,0.222,19.3,0.39,0.69,0.28,0.38,road
EDGE0209,LOC055,LOC056,104.7,78.5,9,341,0.097,27.3,0.49,0.67,0.19,0.02,road
EDGE0210,LOC034,LOC033,118.44,88.8,6,165,0.19,73.9,0.29,0.31,0.3,0.46,road
EDGE0211,LOC030,LOC067,469.99,40.3,9,578,0.171,64.3,0.49,0.16,0.13,0.04,air
EDGE0212,LOC024,LOC013,458.94,229.5,6,992,0.227,13.1,0.0,0.71,0.27,0.36,rail
EDGE0213,LOC032,LOC065,409.6,307.2,5,113,0.227,71.2,0.14,0.8,0.63,0.53,road
EDGE0214,LOC057,LOC054,191.52,143.6,5,621,0.291,92.8,0.39,0.63,0.51,0.55,road
EDGE0215,LOC054,LOC053,318.72,239.0,6,564,0.223,96.7,0.48,0.13,0.12,0.45,road
EDGE0216,LOC069,LOC015,702.42,351.2,7,696,0.192,61.7,0.16,0.43,0.52,0.38,rail
EDGE0217,LOC007,LOC001,381.47,286.1,6,491,0.226,10.5,0.58,0.32,0.14,0.38,road
EDGE0218,LOC039,LOC038,367.61,275.7,4,951,0.319,25.7,0.26,0.6,0.18,0.68,road
EDGE0219,LOC012,LOC030,386.91,193.5,10,129,0.143,74.7,0.3,0.46,0.23,0.02,rail
EDGE0220,LOC059,LOC005,112.23,9.6,7,386,0.201,29.3,0.47,0.75,0.45,0.34,air
EDGE0221,LOC064,LOC066,261.27,196.0,10,545,0.125,25.8,0.14,0.31,0.12,0.03,road
EDGE0222,LOC051,LOC050,384.48,288.4,10,345,0.108,96.9,0.62,0.77,0.57,0.0,road
EDGE0223,LOC048,LOC038,582.44,436.8,4,340,0.268,11.5,0.16,0.58,0.58,0.55,road
EDGE0224,LOC055,LOC058,288.6,24.7,5,755,0.269,68.0,0.44,0.76,0.6,0.53,air
EDGE0225,LOC068,LOC070,291.91,218.9,3,494,0.378,81.0,0.15,0.83,0.17,0.68,road
EDGE0226,LOC015,LOC045,596.39,447.3,8,138,0.161,71.2,0.32,0.22,0.14,0.11,road
EDGE0227,LOC060,LOC018,258.13,193.6,3,920,0.315,12.0,0.18,0.86,0.32,0.76,road
EDGE0228,LOC042,LOC039,552.67,414.5,5,857,0.277,30.4,0.4,0.35,0.23,0.48,road
EDGE0229,LOC063,LOC061,311.63,233.7,8,608,0.161,18.8,0.32,0.43,0.48,0.24,road
EDGE0230,LOC004,LOC009,506.69,43.4,5,833,0.274,28.9,0.54,0.59,0.45,0.46,air
EDGE0231,LOC020,LOC021,56.2,28.1,4,691,0.34,73.1,0.31,0.71,0.19,0.61,rail
EDGE0232,LOC033,LOC014,406.27,34.8,6,900,0.203,73.3,0.24,0.28,0.67,0.49,air
EDGE0233,LOC018,LOC061,182.03,15.6,7,313,0.207,101.9,0.19,0.42,0.46,0.39,air
EDGE0234,LOC055,LOC054,132.95,99.7,5,567,0.242,61.7,0.54,0.72,0.53,0.47,road
EDGE0235,LOC044,LOC074,651.01,55.8,5,428,0.298,55.8,0.72,0.26,0.31,0.58,air
EDGE0236,LOC074,LOC045,476.21,357.2,8,103,0.151,68.3,0.38,0.85,0.26,0.3,road
EDGE0237,LOC050,LOC071,334.87,251.2,10,668,0.095,93.0,0.28,0.34,0.43,0.0,road
EDGE0238,LOC070,LOC016,94.84,71.1,7,399,0.168,77.4,0.27,0.64,0.57,0.35,road
EDGE0239,LOC073,LOC045,622.13,466.6,5,579,0.265,69.1,0.7,0.45,0.79,0.41,road
EDGE0240,LOC038,LOC040,426.45,319.8,9,449,0.098,36.4,0.38,0.76,0.21,0.13,road
EDGE0241,LOC014,LOC034,293.1,219.8,4,874,0.289,54.1,0.09,0.44,0.45,0.54,road
EDGE0242,LOC071,LOC049,262.85,131.4,3,711,0.366,40.7,0.5,0.5,0.29,0.7,rail
EDGE0243,LOC063,LOC026,614.4,460.8,9,167,0.147,62.7,0.19,0.76,0.33,0.06,road
EDGE0244,LOC068,LOC069,360.36,270.3,4,794,0.304,28.2,0.44,0.2,0.21,0.64,road
EDGE0245,LOC054,LOC008,215.93,18.5,10,606,0.059,13.9,0.38,0.46,0.14,0.06,air
EDGE0246,LOC008,LOC010,121.08,90.8,10,673,0.061,83.1,0.56,0.49,0.17,0.06,road
EDGE0247,LOC061,LOC062,218.72,164.0,5,690,0.296,61.0,0.09,0.15,0.21,0.59,road
EDGE0248,LOC039,LOC041,559.12,279.6,5,711,0.226,74.5,0.13,0.47,0.48,0.44,rail
EDGE0249,LOC020,LOC008,262.66,197.0,6,340,0.2,33.4,0.46,0.42,0.79,0.44,road
EDGE0250,LOC027,LOC063,635.22,54.4,8,519,0.181,77.2,0.0,0.66,0.78,0.19,air
