shipment_id,tracking_number,origin_location_id,destination_location_id,current_location_id,route_id,status,priority,shipment_type,weight_kg,planned_delivery_time,current_eta,risk_score,risk_level,sla_breach_probability,expected_delay_minutes,last_updated
CURR00037,1ZB82GW5WAME7TKK37,LOC065,LOC036,LOC033,RT-LOC065-LOC032-LOC033,PROCESSING,Low,Standard,13.09,2026-06-30T03:31:23.871275,2026-06-30T04:49:23.871275,4.15,MEDIUM,0.502,78,2026-07-01T00:00:00
CURR00038,1ZPCTNEUFERBP9FZXA,LOC010,LOC053,LOC004,RT-LOC010-LOC020-LOC021,IN_TRANSIT,Critical,International,65.94,2026-06-29T21:22:55.402992,2026-06-29T21:52:55.402992,2.49,LOW,0.28,30,2026-07-01T00:00:00
CURR00039,1ZUD8159LTHHEGZK27,LOC037,LOC019,LOC015,RT-LOC037-LOC038-LOC045,OUT_FOR_DELIVERY,Normal,Standard,116.64,2026-06-30T02:48:44.632843,2026-06-30T04:52:44.632843,4.46,MEDIUM,0.591,124,2026-07-01T00:00:00
CURR00040,1Z4IEBLZO24VUSVRWA,LOC050,LOC001,LOC029,RT-LOC050-LOC051-LOC029,OUT_FOR_DELIVERY,Normal,Fragile,36.21,2026-06-29T07:20:24.235108,2026-06-29T09:39:24.235108,4.89,MEDIUM,0.657,139,2026-07-01T00:00:00
CURR00041,1Z7EZ1EB1BVUTO96JC,LOC001,LOC056,LOC052,RT-LOC001-LOC007-LOC052,IN_TRANSIT,High,Express,27.84,2026-06-30T21:15:24.879820,2026-06-30T21:22:24.879820,2.3,LOW,0.242,7,2026-07-01T00:00:00
CURR00042,1Z5ZFFKCDKTVUXBXHP,LOC019,LOC056,LOC009,RT-LOC019-LOC022-LOC021,IN_TRANSIT,Normal,Standard,24.6,2026-06-30T04:24:27.482707,2026-06-30T09:02:27.482707,5.43,HIGH,0.911,278,2026-07-01T00:00:00
CURR00043,1ZIWFV3KMIYS47H07D,LOC053,LOC070,LOC002,RT-LOC053-LOC052-LOC007,IN_TRANSIT,Normal,International,48.38,2026-06-30T03:40:34.527569,2026-06-30T04:05:34.527569,2.66,LOW,0.282,25,2026-07-01T00:00:00
CURR00044,1ZRZPJY2K3B7AA5CWO,LOC057,LOC002,LOC004,RT-LOC057-LOC055-LOC008,IN_TRANSIT,High,Fragile,47.61,2026-07-01T07:02:06.538221,2026-07-01T08:45:06.538221,3.88,MEDIUM,0.418,103,2026-07-01T00:00:00
CURR00045,1Z84TLOLJNUDNGVQO5,LOC003,LOC059,LOC006,RT-LOC003-LOC007-LOC006,OUT_FOR_DELIVERY,Low,Express,2.97,2026-06-30T04:46:12.415749,2026-06-30T06:10:12.415749,4.08,MEDIUM,0.528,84,2026-07-01T00:00:00
CURR00046,1ZHC29ROAKOTOLA8XX,LOC012,LOC018,LOC018,RT-LOC012-LOC018,OUT_FOR_DELIVERY,Low,Standard,10.74,2026-06-29T07:17:44.247510,2026-06-29T09:30:44.247510,3.88,MEDIUM,0.567,133,2026-07-01T00:00:00
CURR00047,1ZDI1MFSF8ISWNTIVJ,LOC049,LOC064,LOC067,RT-LOC049-LOC050-LOC016,IN_TRANSIT,Normal,Fragile,12.7,2026-06-30T21:03:44.678657,2026-06-30T22:36:44.678657,4.21,MEDIUM,0.559,93,2026-07-01T00:00:00
CURR00048,1ZBGHT30SVGSF5URQI,LOC013,LOC007,LOC006,RT-LOC013-LOC060-LOC059,DELAYED,Normal,Standard,128.48,2026-07-01T06:26:10.780996,2026-07-01T08:03:10.780996,4.0,MEDIUM,0.507,97,2026-07-01T00:00:00
CURR00049,1ZYKOQ2VCRGTN8QXCT,LOC049,LOC027,LOC012,RT-LOC049-LOC050-LOC016,PROCESSING,Low,Standard,11.12,2026-07-01T10:38:10.608610,2026-07-01T11:41:10.608610,2.85,LOW,0.284,63,2026-07-01T00:00:00
CURR00050,1Z17SC0R5050JSX5KB,LOC053,LOC004,LOC004,RT-LOC053-LOC004,IN_TRANSIT,High,Standard,28.87,2026-06-29T06:36:28.366333,2026-06-29T08:18:28.366333,3.53,MEDIUM,0.563,102,2026-07-01T00:00:00
CURR00051,1ZJFQMQSPD8QQYHTNR,LOC003,LOC050,LOC002,RT-LOC003-LOC007-LOC006,IN_TRANSIT,Critical,Priority,55.01,2026-06-29T21:45:00.977832,2026-06-29T22:37:00.977832,3.11,MEDIUM,0.36,52,2026-07-01T00:00:00
CURR00052,1ZEFIWU0FRNKVRMCLA,LOC067,LOC066,LOC064,RT-LOC067-LOC064-LOC066,IN_TRANSIT,Normal,Express,60.18,2026-06-30T20:10:19.861299,2026-06-30T22:03:19.861299,3.68,MEDIUM,0.529,113,2026-07-01T00:00:00
CURR00053,1Z6C82M1PRY0REKKNB,LOC003,LOC027,LOC013,RT-LOC003-LOC007-LOC006,OUT_FOR_DELIVERY,Low,Standard,19.5,2026-07-01T09:01:03.530786,2026-07-01T10:49:03.530786,4.15,MEDIUM,0.621,108,2026-07-01T00:00:00
CURR00054,1Z6KMF8UHI90APITVA,LOC042,LOC037,LOC038,RT-LOC042-LOC047-LOC038,IN_TRANSIT,Normal,International,58.87,2026-06-29T17:35:35.023293,2026-06-29T21:35:35.023293,4.32,MEDIUM,0.741,240,2026-07-01T00:00:00
CURR00055,1ZWO8SH5WOYIOUFIVF,LOC037,LOC052,LOC030,RT-LOC037-LOC038-LOC045,IN_TRANSIT,High,Priority,70.15,2026-06-30T12:56:43.347433,2026-06-30T13:05:43.347433,2.72,LOW,0.272,9,2026-07-01T00:00:00
CURR00056,1Z24KPUWOS6E8HZCTX,LOC044,LOC037,LOC038,RT-LOC044-LOC074-LOC045,DELAYED,Normal,Express,25.35,2026-06-29T15:38:17.653963,2026-06-29T17:14:17.653963,3.94,MEDIUM,0.472,96,2026-07-01T00:00:00
CURR00057,1ZATE8ARYWLONH9DS5,LOC034,LOC022,LOC018,RT-LOC034-LOC032-LOC065,PROCESSING,Normal,Standard,30.15,2026-06-30T17:06:44.884010,2026-06-30T17:45:44.884010,3.37,MEDIUM,0.407,39,2026-07-01T00:00:00
CURR00058,1ZBJ02R4VUTKMWY5K0,LOC031,LOC043,LOC015,RT-LOC031-LOC069-LOC015,DELAYED,Critical,Standard,13.01,2026-07-01T13:53:19.936055,2026-07-01T16:08:19.936055,5.14,HIGH,0.679,135,2026-07-01T00:00:00
CURR00059,1ZCI59NQEVRY7221DC,LOC044,LOC008,LOC019,RT-LOC044-LOC074-LOC045,IN_TRANSIT,Normal,Express,43.45,2026-06-30T12:01:16.500227,2026-06-30T13:03:16.500227,3.07,MEDIUM,0.367,62,2026-07-01T00:00:00
CURR00060,1ZOCBY7AGNWXQ4PM0O,LOC041,LOC055,LOC030,RT-LOC041-LOC042-LOC047,IN_TRANSIT,Normal,Express,3.21,2026-06-30T13:43:38.910970,2026-06-30T14:50:38.910970,3.48,MEDIUM,0.418,67,2026-07-01T00:00:00
CURR00061,1Z7ZT5M6P40XQVBXRD,LOC068,LOC044,LOC074,RT-LOC068-LOC069-LOC015,OUT_FOR_DELIVERY,Low,Express,157.1,2026-07-01T21:51:16.678635,2026-07-01T22:21:16.678635,2.34,LOW,0.264,30,2026-07-01T00:00:00
CURR00062,1ZEK8TL3U4NEUN46AS,LOC035,LOC044,LOC047,RT-LOC035-LOC037-LOC038,OUT_FOR_DELIVERY,High,Temperature Sensitive,13.77,2026-07-01T06:28:15.498474,2026-07-01T07:35:15.498474,4.03,MEDIUM,0.431,67,2026-07-01T00:00:00
CURR00063,1ZB175QDXNUG4LXUUU,LOC070,LOC053,LOC002,RT-LOC070-LOC016-LOC030,DELAYED,Critical,Standard,8.39,2026-06-30T19:56:27.475746,2026-06-30T21:04:27.475746,3.99,MEDIUM,0.509,68,2026-07-01T00:00:00
CURR00064,1ZMRNDHY0IFL7D1ESX,LOC008,LOC046,LOC033,RT-LOC008-LOC009-LOC010,IN_TRANSIT,High,Priority,36.57,2026-07-01T19:05:32.692274,2026-07-01T22:17:32.692274,4.25,MEDIUM,0.629,192,2026-07-01T00:00:00
CURR00065,1Z5PNQ8LOJNOZ0A6Y2,LOC063,LOC029,LOC002,RT-LOC063-LOC061-LOC060,DELAYED,Low,Standard,44.43,2026-06-29T10:32:46.052165,2026-06-29T13:09:46.052165,4.38,MEDIUM,0.598,157,2026-07-01T00:00:00
CURR00066,1Z1QX8YUA2YUH5VB5D,LOC034,LOC018,LOC067,RT-LOC034-LOC032-LOC065,OUT_FOR_DELIVERY,Normal,Express,74.48,2026-06-30T17:36:27.348544,2026-06-30T19:06:27.348544,3.26,MEDIUM,0.414,90,2026-07-01T00:00:00
CURR00067,1ZUPE1UGO5WPZMIJR2,LOC023,LOC027,LOC024,RT-LOC023-LOC019-LOC013,DELAYED,Low,Fragile,1.02,2026-06-30T15:45:07.402458,2026-06-30T17:25:07.402458,3.68,MEDIUM,0.474,100,2026-07-01T00:00:00
CURR00068,1Z09CLMUVJ17XC9RWS,LOC034,LOC002,LOC018,RT-LOC034-LOC032-LOC065,IN_TRANSIT,Normal,Fragile,63.49,2026-06-30T21:49:10.411077,2026-07-01T00:20:10.411077,3.7,MEDIUM,0.578,151,2026-07-01T00:00:00
CURR00069,1Z0HWH0UCU11TSS1OY,LOC064,LOC036,LOC035,RT-LOC064-LOC065-LOC032,IN_TRANSIT,Normal,Standard,20.8,2026-06-29T17:19:29.290646,2026-06-29T19:04:29.290646,4.28,MEDIUM,0.577,105,2026-07-01T00:00:00
CURR00070,1ZM9BKME1RVQQJ7PSA,LOC030,LOC066,LOC067,RT-LOC030-LOC067-LOC064,IN_TRANSIT,Normal,Temperature Sensitive,7.69,2026-06-30T03:13:51.463243,2026-06-30T05:15:51.463243,3.8,MEDIUM,0.514,122,2026-07-01T00:00:00
CURR00071,1ZJPNILM0B06EOZUFZ,LOC060,LOC004,LOC003,RT-LOC060-LOC059-LOC006,IN_TRANSIT,Low,Standard,58.45,2026-06-30T22:53:12.861626,2026-07-01T00:27:12.861626,3.07,MEDIUM,0.375,94,2026-07-01T00:00:00
CURR00072,1ZPH961EPDIU95K57R,LOC054,LOC065,LOC013,RT-LOC054-LOC009-LOC010,DELAYED,Normal,Fragile,9.14,2026-07-01T04:27:45.424204,2026-07-01T07:25:45.424204,5.26,HIGH,0.665,178,2026-07-01T00:00:00
CURR00073,1ZAII6UNI616HI3S92,LOC007,LOC047,LOC065,RT-LOC007-LOC006-LOC059,PROCESSING,High,Priority,24.42,2026-06-30T20:06:32.838860,2026-07-01T00:01:32.838860,5.28,HIGH,0.756,235,2026-07-01T00:00:00
CURR00074,1ZQ014WTJCQT1C0XXZ,LOC016,LOC067,LOC067,RT-LOC016-LOC030-LOC067,DELAYED,Normal,Standard,12.07,2026-06-30T22:39:26.647337,2026-07-01T00:03:26.647337,4.02,MEDIUM,0.531,84,2026-07-01T00:00:00
CURR00075,1ZUUN12J5F7Z4DVZHA,LOC043,LOC021,LOC069,RT-LOC043-LOC074-LOC045,IN_TRANSIT,Low,International,42.07,2026-07-01T10:09:46.500429,2026-07-01T12:14:46.500429,2.92,LOW,0.502,125,2026-07-01T00:00:00
CURR00076,1ZBX7WLVBVOBVHSYE1,LOC042,LOC014,LOC015,RT-LOC042-LOC047-LOC038,IN_TRANSIT,Normal,Express,68.6,2026-06-30T03:55:33.044599,2026-06-30T06:12:33.044599,4.08,MEDIUM,0.509,137,2026-07-01T00:00:00
CURR00077,1ZKV97OVL42NYUQZCG,LOC062,LOC055,LOC021,RT-LOC062-LOC018-LOC019,IN_TRANSIT,Normal,Standard,19.41,2026-07-01T01:54:50.682143,2026-07-01T04:00:50.682143,4.53,MEDIUM,0.576,126,2026-07-01T00:00:00
CURR00078,1ZV3AYS9JL0FHAHBG9,LOC001,LOC073,LOC015,RT-LOC001-LOC051-LOC028,IN_TRANSIT,Normal,Fragile,242.76,2026-07-01T15:00:17.540517,2026-07-01T15:15:17.540517,3.71,MEDIUM,0.439,15,2026-07-01T00:00:00
CURR00079,1Z271SQXMV7ZFB760K,LOC022,LOC069,LOC051,RT-LOC022-LOC021-LOC004,PROCESSING,Low,International,12.67,2026-06-30T19:15:36.196932,2026-06-30T20:20:36.196932,3.19,MEDIUM,0.358,65,2026-07-01T00:00:00
CURR00080,1ZHTIVZXL8SWPLWX81,LOC007,LOC029,LOC002,RT-LOC007-LOC006-LOC059,IN_TRANSIT,Low,Express,88.32,2026-06-30T00:35:26.202411,2026-06-30T02:07:26.202411,2.85,LOW,0.464,92,2026-07-01T00:00:00
CURR00081,1Z9HT1POGWXDGSJ83H,LOC026,LOC044,LOC047,RT-LOC026-LOC027-LOC063,OUT_FOR_DELIVERY,High,Fragile,66.98,2026-06-30T23:47:08.623465,2026-07-01T01:26:08.623465,4.24,MEDIUM,0.452,99,2026-07-01T00:00:00
CURR00082,1ZKUDXCTJ7VI3IA235,LOC010,LOC028,LOC007,RT-LOC010-LOC020-LOC021,IN_TRANSIT,Normal,Standard,10.09,2026-07-01T05:22:26.593765,2026-07-01T06:02:26.593765,3.63,MEDIUM,0.448,40,2026-07-01T00:00:00
CURR00083,1ZCN7IV8J1NA2N3ZU8,LOC014,LOC009,LOC018,RT-LOC014-LOC032-LOC065,IN_TRANSIT,Critical,Fragile,25.18,2026-06-30T22:02:18.076696,2026-06-30T22:32:18.076696,2.72,LOW,0.254,30,2026-07-01T00:00:00
CURR00084,1Z40ZHP94J5BFH4USD,LOC013,LOC054,LOC021,RT-LOC013-LOC019-LOC022,PROCESSING,Low,Priority,143.39,2026-06-30T21:17:15.174578,2026-06-30T21:41:15.174578,4.1,MEDIUM,0.567,24,2026-07-01T00:00:00
CURR00085,1ZRNRK5MP6P6BG0CZD,LOC043,LOC031,LOC069,RT-LOC043-LOC074-LOC045,PROCESSING,High,Priority,76.91,2026-06-30T16:42:19.709409,2026-06-30T17:50:19.709409,3.69,MEDIUM,0.429,68,2026-07-01T00:00:00
CURR00086,1ZXT67Z3LQG4Q8F1N8,LOC007,LOC075,LOC029,RT-LOC007-LOC006-LOC059,DELAYED,Normal,Express,362.36,2026-06-30T15:39:03.961156,2026-06-30T16:44:03.961156,3.81,MEDIUM,0.465,65,2026-07-01T00:00:00
CURR00087,1ZEO8WZKZ0110302G6,LOC022,LOC042,LOC032,RT-LOC022-LOC021-LOC020,PROCESSING,Critical,Fragile,20.76,2026-07-01T09:33:32.983526,2026-07-01T11:36:32.983526,4.12,MEDIUM,0.56,123,2026-07-01T00:00:00
CURR00088,1ZDWUQZA84D88J0T4Z,LOC075,LOC012,LOC069,RT-LOC075-LOC044-LOC074,PROCESSING,Low,Express,59.91,2026-07-01T06:01:11.070975,2026-07-01T06:41:11.070975,3.41,MEDIUM,0.43,40,2026-07-01T00:00:00
CURR00089,1Z635PJTMVDFE1Q6CC,LOC019,LOC026,LOC013,RT-LOC019-LOC013-LOC024,PROCESSING,Normal,Standard,7.85,2026-06-29T15:32:35.049172,2026-06-29T17:10:35.049172,1.98,LOW,0.368,98,2026-07-01T00:00:00
CURR00090,1Z2HMH8DF72U3PB4T2,LOC044,LOC066,LOC067,RT-LOC044-LOC074-LOC045,IN_TRANSIT,Normal,Express,132.84,2026-06-30T23:30:03.230960,2026-07-01T00:34:03.230960,2.76,LOW,0.329,64,2026-07-01T00:00:00
CURR00091,1ZOUSE7A6THH69CEBT,LOC009,LOC022,LOC010,RT-LOC009-LOC010-LOC020,PROCESSING,High,Fragile,6.1,2026-06-30T01:15:41.814890,2026-06-30T01:53:41.814890,2.79,LOW,0.308,38,2026-07-01T00:00:00
CURR00092,1Z7OLOSYZ41MUJFQA0,LOC032,LOC022,LOC019,RT-LOC032-LOC065-LOC067,PROCESSING,Normal,Standard,24.84,2026-06-30T18:43:31.291055,2026-06-30T19:25:31.291055,3.43,MEDIUM,0.448,42,2026-07-01T00:00:00
CURR00093,1Z03ECM450UHYGPZ7N,LOC002,LOC010,LOC009,RT-LOC002-LOC006-LOC003,PROCESSING,Normal,Standard,16.79,2026-06-29T15:49:55.994915,2026-06-29T18:23:55.994915,3.84,MEDIUM,0.508,154,2026-07-01T00:00:00
CURR00094,1Z2UOVH5KWLJKNRQ9X,LOC001,LOC073,LOC028,RT-LOC001-LOC051-LOC028,IN_TRANSIT,High,Express,146.9,2026-07-01T09:38:07.209952,2026-07-01T11:48:07.209952,4.09,MEDIUM,0.541,130,2026-07-01T00:00:00
CURR00095,1Z7DTDO4YTVDJK2WEU,LOC032,LOC004,LOC012,RT-LOC032-LOC065-LOC067,PROCESSING,Normal,International,19.89,2026-07-01T04:32:33.681858,2026-07-01T05:46:33.681858,3.24,MEDIUM,0.437,74,2026-07-01T00:00:00
CURR00096,1ZZ3DF9O3AT54WK92O,LOC012,LOC024,LOC061,RT-LOC012-LOC018-LOC061,PROCESSING,High,Express,8.21,2026-06-29T18:25:15.420562,2026-06-29T19:39:15.420562,3.39,MEDIUM,0.411,74,2026-07-01T00:00:00
CURR00097,1Z8D67UQOQ00AFIKEA,LOC018,LOC062,LOC062,RT-LOC018-LOC062,OUT_FOR_DELIVERY,Normal,International,10.89,2026-06-29T22:33:47.927128,2026-06-29T23:20:47.927128,3.2,MEDIUM,0.359,47,2026-07-01T00:00:00
CURR00098,1ZTEVCKPWGQOM4JJ9C,LOC045,LOC009,LOC019,RT-LOC045-LOC015-LOC069,OUT_FOR_DELIVERY,Normal,Express,83.15,2026-06-30T15:35:45.062735,2026-06-30T17:32:45.062735,3.76,MEDIUM,0.489,117,2026-07-01T00:00:00
