transport_id,flight_number,origin_location_id,destination_location_id,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,delay_minutes,status,weather_impact,airport_congestion
TR00041,UA203,LOC055,LOC031,2024-09-08T19:02:15,2024-09-08T19:02:15,2024-09-08T23:18:25.262233,2024-09-08T23:18:25.262233,0,BOARDING,0.61,0.0
TR00042,UA763,LOC017,LOC014,2024-03-06T16:04:18,2024-03-06T16:04:18,2024-03-06T22:44:17.854663,2024-03-06T22:44:17.854663,0,IN_TRANSIT,0.62,0.47
TR00043,UA3204,LOC018,LOC014,2024-04-14T04:42:03,2024-04-14T04:42:03,2024-04-14T11:06:28.414068,2024-04-14T11:06:28.414068,0,COMPLETED,0.97,0.92
TR00044,UA6671,LOC065,LOC028,2025-08-09T07:25:39,2025-08-09T08:23:39,2025-08-09T12:44:24.067114,2025-08-09T13:42:24.067114,58,DELAYED,0.52,0.56
TR00045,UA5438,LOC068,LOC055,2024-07-30T02:52:40,2024-07-30T02:52:40,2024-07-30T05:37:37.550105,2024-07-30T05:37:37.550105,0,ON_TIME,0.09,0.14
TR00046,UA6250,LOC068,LOC052,2024-01-01T21:22:39,2024-01-01T21:22:39,2024-01-02T00:24:17.684519,2024-01-02T00:24:17.684519,0,BOARDING,0.73,0.51
TR00047,UA1846,LOC031,LOC065,2025-03-22T03:41:06,2025-03-22T03:41:06,2025-03-22T08:45:36.043566,2025-03-22T08:45:36.043566,0,BOARDING,0.02,0.05
TR00048,UA6325,LOC008,LOC031,2025-12-16T18:51:05,2025-12-16T18:51:05,2025-12-16T21:12:39.142930,2025-12-16T21:12:39.142930,0,BOARDING,0.71,0.74
TR00049,UA6534,LOC065,LOC055,2026-04-01T14:33:43,2026-04-01T14:33:43,2026-04-01T22:21:31.775879,2026-04-01T22:21:31.775879,0,ON_TIME,0.22,0.84
TR00050,UA2544,LOC036,LOC019,2026-01-31T02:54:10,2026-01-31T02:54:10,2026-01-31T04:21:41.610455,2026-01-31T04:21:41.610455,0,IN_TRANSIT,0.02,0.38
TR00051,UA1466,LOC028,LOC035,2025-09-05T15:17:53,2025-09-05T15:17:53,2025-09-05T22:35:15.027898,2025-09-05T22:35:15.027898,0,COMPLETED,0.64,0.75
TR00052,UA6280,LOC012,LOC028,2026-05-04T21:15:29,2026-05-04T21:15:29,2026-05-05T00:27:23.331587,2026-05-05T00:27:23.331587,0,COMPLETED,0.78,0.78
TR00053,UA3795,LOC008,LOC035,2026-04-21T03:25:32,2026-04-21T05:13:32,2026-04-21T09:46:21.251342,2026-04-21T11:34:21.251342,108,DELAYED,0.51,0.22
TR00054,UA5186,LOC028,LOC065,2025-09-19T10:25:33,2025-09-19T10:25:33,2025-09-19T12:42:49.312694,2025-09-19T12:42:49.312694,0,IN_TRANSIT,0.5,0.54
TR00055,UA8198,LOC050,LOC058,2026-03-26T15:18:43,2026-03-26T17:34:43,2026-03-26T22:08:42.099421,2026-03-27T00:24:42.099421,136,DELAYED,0.86,0.75
TR00056,UA8315,LOC024,LOC019,2025-12-25T20:51:44,2025-12-25T22:43:44,2025-12-26T01:50:21.620284,2025-12-26T03:42:21.620284,112,DELAYED,0.92,0.44
TR00057,UA3166,LOC008,LOC028,2026-03-18T06:11:07,2026-03-18T11:06:07,2026-03-18T10:29:24.600959,2026-03-18T15:24:24.600959,295,DELAYED,0.92,0.61
TR00058,UA4699,LOC017,LOC018,2025-07-03T19:40:16,2025-07-03T19:40:16,2025-07-03T23:27:36.331925,2025-07-03T23:27:36.331925,0,COMPLETED,0.75,0.4
TR00059,UA9436,LOC036,LOC038,2026-06-16T01:42:43,2026-06-16T01:42:43,2026-06-16T04:37:17.908657,2026-06-16T04:37:17.908657,0,ON_TIME,0.39,0.58
TR00060,UA9217,LOC008,LOC024,2025-09-21T10:53:57,2025-09-21T10:53:57,2025-09-21T13:07:32.402715,2025-09-21T13:07:32.402715,0,COMPLETED,0.58,0.18
TR00061,UA9542,LOC024,LOC036,2025-01-25T13:58:58,2025-01-25T16:02:58,2025-01-25T15:10:27.316677,2025-01-25T17:14:27.316677,124,DELAYED,0.56,0.08
TR00062,UA5879,LOC031,LOC055,2026-03-24T04:23:29,2026-03-24T05:38:29,2026-03-24T10:53:12.291217,2026-03-24T12:08:12.291217,75,DELAYED,0.72,0.78
TR00063,UA8014,LOC024,LOC014,2025-09-25T07:20:54,2025-09-25T07:20:54,2025-09-25T10:23:47.724597,2025-09-25T10:23:47.724597,0,IN_TRANSIT,0.14,0.34
TR00064,UA2395,LOC013,LOC024,2024-09-16T06:18:58,2024-09-16T09:44:58,2024-09-16T09:41:35.518593,2024-09-16T13:07:35.518593,206,DELAYED,0.56,0.18
TR00065,UA4985,LOC014,LOC022,2026-02-20T14:53:11,2026-02-20T14:53:11,2026-02-20T15:57:00.189587,2026-02-20T15:57:00.189587,0,IN_TRANSIT,0.24,0.38
TR00066,UA9153,LOC022,LOC055,2026-02-15T07:09:42,2026-02-15T09:03:42,2026-02-15T09:27:53.185742,2026-02-15T11:21:53.185742,114,DELAYED,0.77,0.39
TR00067,UA3025,LOC014,LOC065,2024-07-15T02:33:44,2024-07-15T06:03:44,2024-07-15T07:20:50.631323,2024-07-15T10:50:50.631323,210,DELAYED,0.7,0.55
TR00068,UA2320,LOC058,LOC055,2024-02-26T13:42:43,2024-02-26T17:20:43,2024-02-26T16:47:08.983121,2024-02-26T20:25:08.983121,218,DELAYED,0.12,0.16
TR00069,UA6396,LOC058,LOC022,2024-11-17T09:31:50,2024-11-17T09:31:50,2024-11-17T13:38:07.440041,2024-11-17T13:38:07.440041,0,ON_TIME,0.87,0.5
TR00070,UA7530,LOC036,LOC065,2024-04-24T01:11:12,2024-04-24T01:11:12,2024-04-24T07:44:36.142992,2024-04-24T07:44:36.142992,0,IN_TRANSIT,0.11,0.4
TR00071,UA5685,LOC065,LOC068,2025-07-24T21:26:24,2025-07-24T21:26:24,2025-07-25T02:33:15.496352,2025-07-25T02:33:15.496352,0,COMPLETED,0.31,0.74
TR00072,UA330,LOC052,LOC050,2025-04-08T14:43:51,2025-04-08T14:43:51,2025-04-08T22:05:42.095989,2025-04-08T22:05:42.095989,0,COMPLETED,0.1,0.24
TR00073,UA4772,LOC052,LOC008,2024-06-28T11:30:05,2024-06-28T11:30:05,2024-06-28T18:16:38.205507,2024-06-28T18:16:38.205507,0,IN_TRANSIT,0.94,0.29
TR00074,UA8587,LOC036,LOC068,2025-10-02T15:52:16,2025-10-02T15:52:16,2025-10-02T19:35:51.231445,2025-10-02T19:35:51.231445,0,IN_TRANSIT,0.3,0.14
TR00075,UA2698,LOC035,LOC022,2025-08-17T07:19:42,2025-08-17T07:19:42,2025-08-17T10:24:59.819619,2025-08-17T10:24:59.819619,0,BOARDING,0.86,0.61
TR00076,UA4864,LOC016,LOC061,2025-08-07T00:12:59,2025-08-07T00:12:59,2025-08-07T02:25:26.960116,2025-08-07T02:25:26.960116,0,ON_TIME,0.66,0.45
TR00077,UA3269,LOC052,LOC022,2025-04-10T06:50:20,2025-04-10T09:24:20,2025-04-10T08:51:15.931368,2025-04-10T11:25:15.931368,154,DELAYED,0.47,0.99
TR00078,UA7559,LOC008,LOC065,2025-08-03T09:41:26,2025-08-03T09:41:26,2025-08-03T11:09:45.372644,2025-08-03T11:09:45.372644,0,COMPLETED,0.55,0.7
TR00079,UA670,LOC016,LOC038,2024-02-07T02:09:22,2024-02-07T05:39:22,2024-02-07T09:29:03.812067,2024-02-07T12:59:03.812067,210,DELAYED,0.96,0.76
TR00080,UA2360,LOC068,LOC016,2025-05-03T15:05:39,2025-05-03T18:12:39,2025-05-03T23:02:31.141764,2025-05-04T02:09:31.141764,187,DELAYED,1.0,0.26
TR00081,UA6053,LOC050,LOC019,2026-01-26T20:56:15,2026-01-27T01:34:15,2026-01-26T23:12:30.458901,2026-01-27T03:50:30.458901,278,DELAYED,0.64,0.96
TR00082,UA9873,LOC008,LOC016,2024-11-04T16:10:44,2024-11-04T20:56:44,2024-11-04T21:07:24.063599,2024-11-05T01:53:24.063599,286,DELAYED,0.86,0.36
TR00083,UA1218,LOC058,LOC012,2024-01-25T22:04:19,2024-01-25T22:04:19,2024-01-26T02:02:18.361801,2024-01-26T02:02:18.361801,0,ON_TIME,0.3,0.13
TR00084,UA3300,LOC017,LOC016,2024-11-30T21:02:53,2024-11-30T23:34:53,2024-11-30T22:18:45.221751,2024-12-01T00:50:45.221751,152,DELAYED,0.58,0.09
TR00085,UA834,LOC055,LOC016,2025-11-07T14:00:58,2025-11-07T14:00:58,2025-11-07T17:46:52.761066,2025-11-07T17:46:52.761066,0,BOARDING,0.31,0.72
TR00086,UA5518,LOC061,LOC022,2024-08-16T14:54:05,2024-08-16T14:54:05,2024-08-16T20:42:06.266589,2024-08-16T20:42:06.266589,0,BOARDING,0.47,0.41
TR00087,UA4890,LOC038,LOC065,2025-11-29T22:59:42,2025-11-29T22:59:42,2025-11-30T03:38:15.965072,2025-11-30T03:38:15.965072,0,IN_TRANSIT,0.48,0.27
TR00088,UA4624,LOC019,LOC024,2024-08-05T05:48:13,2024-08-05T05:48:13,2024-08-05T10:11:55.105289,2024-08-05T10:11:55.105289,0,COMPLETED,0.53,0.45
TR00089,UA5309,LOC055,LOC012,2025-04-14T02:20:14,2025-04-14T03:08:14,2025-04-14T03:59:38.168996,2025-04-14T04:47:38.168996,48,DELAYED,0.25,0.49
TR00090,UA7477,LOC017,LOC016,2025-09-07T17:24:02,2025-09-07T18:49:02,2025-09-07T19:57:08.533826,2025-09-07T21:22:08.533826,85,DELAYED,0.89,0.29
TR00091,UA4536,LOC038,LOC072,2025-01-14T19:18:51,2025-01-14T21:27:51,2025-01-14T23:22:31.296006,2025-01-15T01:31:31.296006,129,DELAYED,0.93,0.97
TR00092,UA5233,LOC038,LOC031,2024-08-09T01:54:00,2024-08-09T01:54:00,2024-08-09T07:29:11.123770,2024-08-09T07:29:11.123770,0,COMPLETED,0.29,0.51
TR00093,UA1043,LOC050,LOC014,2024-01-26T10:37:03,2024-01-26T10:37:03,2024-01-26T17:05:11.959365,2024-01-26T17:05:11.959365,0,ON_TIME,0.31,0.53
TR00094,UA4883,LOC031,LOC012,2024-12-18T17:50:18,2024-12-18T21:55:18,2024-12-18T20:33:30.293513,2024-12-19T00:38:30.293513,245,DELAYED,0.15,0.76
TR00095,UA5272,LOC014,LOC035,2025-11-13T00:04:37,2025-11-13T03:01:37,2025-11-13T05:18:36.748610,2025-11-13T08:15:36.748610,177,DELAYED,0.56,0.75
TR00096,UA9337,LOC022,LOC028,2025-01-27T21:32:21,2025-01-28T00:05:21,2025-01-27T23:24:18.031488,2025-01-28T01:57:18.031488,153,DELAYED,0.66,0.48
TR00097,UA4899,LOC031,LOC038,2026-01-26T04:19:06,2026-01-26T05:49:06,2026-01-26T08:38:21.817038,2026-01-26T10:08:21.817038,90,DELAYED,0.23,0.16
TR00098,UA1186,LOC035,LOC038,2025-09-12T04:42:56,2025-09-12T15:49:56,2025-09-12T06:56:03.570126,2025-09-12T18:03:03.570126,667,CANCELLED,0.29,0.35
TR00099,UA6342,LOC022,LOC028,2025-12-25T10:45:09,2025-12-25T10:45:09,2025-12-25T15:09:22.232471,2025-12-25T15:09:22.232471,0,BOARDING,0.2,0.88
TR00100,UA8820,LOC014,LOC022,2025-12-23T16:05:18,2025-12-23T20:00:18,2025-12-23T23:15:54.773286,2025-12-24T03:10:54.773286,235,DELAYED,0.61,0.36
TR00101,UA6474,LOC031,LOC014,2025-07-31T05:01:34,2025-07-31T05:01:34,2025-07-31T11:42:37.760820,2025-07-31T11:42:37.760820,0,ON_TIME,0.1,0.49
TR00102,UA5293,LOC016,LOC031,2024-11-13T23:29:11,2024-11-14T02:36:11,2024-11-14T05:33:32.777947,2024-11-14T08:40:32.777947,187,DELAYED,0.83,0.63
TR00103,UA923,LOC012,LOC028,2025-12-20T17:03:00,2025-12-20T17:03:00,2025-12-20T23:10:08.352465,2025-12-20T23:10:08.352465,0,ON_TIME,0.14,0.03
TR00104,UA7176,LOC052,LOC012,2024-07-21T14:11:25,2024-07-21T17:06:25,2024-07-21T19:40:54.164179,2024-07-21T22:35:54.164179,175,DELAYED,0.95,0.01
TR00105,UA5725,LOC052,LOC014,2025-10-07T22:08:54,2025-10-07T22:08:54,2025-10-08T00:21:29.928384,2025-10-08T00:21:29.928384,0,COMPLETED,0.3,0.57
TR00106,UA1701,LOC016,LOC036,2024-03-20T18:19:37,2024-03-20T19:31:37,2024-03-20T22:01:27.073993,2024-03-20T23:13:27.073993,72,DELAYED,0.96,0.83
TR00107,UA4379,LOC008,LOC058,2025-01-16T03:54:27,2025-01-16T03:54:27,2025-01-16T07:22:14.151976,2025-01-16T07:22:14.151976,0,BOARDING,0.82,0.23
TR00108,UA2941,LOC035,LOC031,2024-08-14T02:01:48,2024-08-14T02:01:48,2024-08-14T03:15:18.192088,2024-08-14T03:15:18.192088,0,ON_TIME,0.17,0.9
TR00109,UA5456,LOC013,LOC061,2024-06-06T08:10:21,2024-06-06T11:40:21,2024-06-06T10:05:06.211066,2024-06-06T13:35:06.211066,210,DELAYED,0.69,0.12
TR00110,UA8341,LOC068,LOC038,2025-04-03T21:59:04,2025-04-03T23:12:04,2025-04-04T00:06:13.530508,2025-04-04T01:19:13.530508,73,DELAYED,0.81,0.95
TR00111,UA3643,LOC035,LOC036,2025-08-04T01:03:34,2025-08-04T01:03:34,2025-08-04T04:47:39.981228,2025-08-04T04:47:39.981228,0,IN_TRANSIT,0.7,0.04
TR00112,UA9314,LOC072,LOC008,2024-03-23T12:25:57,2024-03-23T12:25:57,2024-03-23T17:13:13.719558,2024-03-23T17:13:13.719558,0,ON_TIME,0.07,0.67
TR00113,UA1664,LOC031,LOC012,2025-06-28T13:38:30,2025-06-28T13:38:30,2025-06-28T17:13:04.171539,2025-06-28T17:13:04.171539,0,IN_TRANSIT,0.59,0.63
TR00114,UA2494,LOC024,LOC017,2025-12-23T11:47:24,2025-12-23T12:29:24,2025-12-23T16:34:31.361319,2025-12-23T17:16:31.361319,42,DELAYED,0.17,0.81
TR00115,UA9576,LOC065,LOC055,2025-08-23T11:53:01,2025-08-23T11:53:01,2025-08-23T13:34:49.322209,2025-08-23T13:34:49.322209,0,COMPLETED,0.15,0.74
TR00116,UA8423,LOC016,LOC028,2025-11-04T05:39:52,2025-11-04T05:39:52,2025-11-04T08:55:01.194241,2025-11-04T08:55:01.194241,0,ON_TIME,0.98,0.55
TR00117,UA3464,LOC050,LOC018,2024-05-01T08:39:15,2024-05-01T08:39:15,2024-05-01T16:12:06.279272,2024-05-01T16:12:06.279272,0,COMPLETED,0.68,0.64
TR00118,UA7125,LOC028,LOC013,2025-04-01T15:17:20,2025-04-01T15:48:20,2025-04-01T20:45:36.979369,2025-04-01T21:16:36.979369,31,DELAYED,0.78,0.33
TR00119,UA5026,LOC050,LOC038,2025-07-05T02:56:51,2025-07-05T05:15:51,2025-07-05T08:14:19.667162,2025-07-05T10:33:19.667162,139,DELAYED,0.17,0.85
TR00120,UA7583,LOC028,LOC065,2026-03-07T05:40:40,2026-03-07T05:40:40,2026-03-07T07:37:39.104359,2026-03-07T07:37:39.104359,0,ON_TIME,0.03,0.21
TR00121,UA3822,LOC022,LOC018,2026-05-06T21:23:21,2026-05-06T21:23:21,2026-05-07T00:20:42.257367,2026-05-07T00:20:42.257367,0,IN_TRANSIT,0.13,0.88
TR00122,UA350,LOC019,LOC050,2026-01-11T03:52:45,2026-01-11T03:52:45,2026-01-11T05:41:01.410717,2026-01-11T05:41:01.410717,0,ON_TIME,0.0,0.84
TR00123,UA4816,LOC016,LOC028,2024-03-03T22:51:34,2024-03-03T22:51:34,2024-03-04T05:15:46.586301,2024-03-04T05:15:46.586301,0,IN_TRANSIT,0.17,0.78
TR00124,UA7332,LOC055,LOC018,2026-01-14T19:30:32,2026-01-14T22:05:32,2026-01-15T01:59:45.534366,2026-01-15T04:34:45.534366,155,DELAYED,0.91,0.65
TR00125,UA3656,LOC028,LOC031,2024-04-15T06:06:50,2024-04-15T06:06:50,2024-04-15T09:36:50.259436,2024-04-15T09:36:50.259436,0,COMPLETED,0.01,0.85
TR00126,UA9976,LOC019,LOC058,2025-07-01T13:29:51,2025-07-01T16:21:51,2025-07-01T15:46:01.578108,2025-07-01T18:38:01.578108,172,DELAYED,0.1,0.92
TR00127,UA910,LOC012,LOC008,2025-05-29T21:26:24,2025-05-29T21:26:24,2025-05-30T02:30:35.815937,2025-05-30T02:30:35.815937,0,COMPLETED,0.16,0.35
TR00128,UA1968,LOC017,LOC065,2024-10-27T13:25:52,2024-10-27T16:44:52,2024-10-27T18:38:54.487363,2024-10-27T21:57:54.487363,199,DELAYED,0.77,0.77
TR00129,UA531,LOC065,LOC050,2025-04-27T02:22:47,2025-04-27T02:22:47,2025-04-27T10:03:13.933378,2025-04-27T10:03:13.933378,0,ON_TIME,0.9,0.37
TR00130,UA267,LOC019,LOC018,2026-02-26T03:47:59,2026-02-27T01:46:59,2026-02-26T07:32:59.496208,2026-02-27T05:31:59.496208,1319,CANCELLED,0.49,0.58
TR00131,UA1710,LOC017,LOC028,2024-09-14T18:53:34,2024-09-14T20:20:34,2024-09-15T02:45:07.278101,2024-09-15T04:12:07.278101,87,DELAYED,0.47,0.26
TR00132,UA9800,LOC068,LOC058,2024-01-18T04:12:15,2024-01-18T07:56:15,2024-01-18T10:45:34.311131,2024-01-18T14:29:34.311131,224,DELAYED,0.57,0.11
TR00133,UA213,LOC018,LOC019,2024-06-06T08:50:22,2024-06-06T08:50:22,2024-06-06T15:59:06.528654,2024-06-06T15:59:06.528654,0,IN_TRANSIT,0.07,0.97
TR00134,UA4201,LOC052,LOC024,2024-08-14T17:00:04,2024-08-14T17:00:04,2024-08-14T18:54:12.210844,2024-08-14T18:54:12.210844,0,BOARDING,0.0,0.25
TR00135,UA3875,LOC012,LOC068,2026-05-22T09:35:48,2026-05-22T09:35:48,2026-05-22T14:44:23.485074,2026-05-22T14:44:23.485074,0,BOARDING,0.57,0.84
TR00136,UA8014,LOC035,LOC019,2025-02-22T19:44:15,2025-02-22T22:22:15,2025-02-23T03:27:01.227855,2025-02-23T06:05:01.227855,158,DELAYED,0.44,0.58
TR00137,UA2536,LOC050,LOC061,2024-04-03T00:44:52,2024-04-03T04:14:52,2024-04-03T07:26:43.888341,2024-04-03T10:56:43.888341,210,DELAYED,0.39,0.37
TR00138,UA7166,LOC035,LOC038,2024-02-08T08:16:04,2024-02-08T08:16:04,2024-02-08T12:05:34.932923,2024-02-08T12:05:34.932923,0,ON_TIME,0.52,0.55
TR00139,UA797,LOC028,LOC008,2026-03-02T11:47:12,2026-03-02T11:47:12,2026-03-02T19:45:13.745126,2026-03-02T19:45:13.745126,0,COMPLETED,0.67,0.3
TR00140,UA2971,LOC065,LOC017,2024-12-05T17:29:44,2024-12-05T21:19:44,2024-12-06T01:05:01.588079,2024-12-06T04:55:01.588079,230,DELAYED,0.47,0.38
TR00141,UA5185,LOC024,LOC014,2026-03-20T11:40:54,2026-03-20T11:40:54,2026-03-20T15:35:25.798829,2026-03-20T15:35:25.798829,0,ON_TIME,0.54,0.91
TR00142,UA8973,LOC016,LOC008,2025-07-30T17:48:57,2025-07-30T21:45:57,2025-07-30T21:05:02.674166,2025-07-31T01:02:02.674166,237,DELAYED,0.95,0.22
TR00143,UA4843,LOC035,LOC052,2024-02-07T11:59:55,2024-02-07T11:59:55,2024-02-07T16:27:21.930685,2024-02-07T16:27:21.930685,0,BOARDING,0.26,0.1
TR00144,UA3633,LOC024,LOC055,2025-11-27T12:01:20,2025-11-27T12:01:20,2025-11-27T14:21:25.877916,2025-11-27T14:21:25.877916,0,ON_TIME,0.93,0.63
TR00145,UA3377,LOC017,LOC036,2025-09-18T16:17:29,2025-09-18T20:15:29,2025-09-18T18:37:11.273119,2025-09-18T22:35:11.273119,238,DELAYED,0.53,0.15
TR00146,UA2030,LOC068,LOC017,2025-06-02T21:56:54,2025-06-03T00:24:54,2025-06-03T05:35:26.559153,2025-06-03T08:03:26.559153,148,DELAYED,0.91,0.65
