event_id,route_edge_id,location_id,timestamp,congestion_level,average_speed_kmh,normal_speed_kmh,traffic_index,incident_type,expected_delay_minutes
TE00045,EDGE0131,LOC057,2025-11-15T14:02:06,Moderate,53,70,48,Construction,86
TE00046,EDGE0246,LOC037,2024-03-12T09:58:21,Moderate,50,70,55,Weather-related,99
TE00047,EDGE0027,LOC060,2024-04-08T09:20:20,Moderate,57,70,35,Rush Hour,63
TE00048,EDGE0323,LOC054,2025-02-10T09:38:04,Moderate,55,70,41,Accident,73
TE00049,EDGE0297,LOC032,2025-05-03T03:38:23,High,30,45,64,Event,115
TE00050,EDGE0187,LOC027,2024-01-20T04:49:19,Low,81,90,18,Rush Hour,32
TE00051,EDGE0098,LOC051,2026-03-26T06:37:47,Moderate,52,70,50,Rush Hour,90
TE00052,EDGE0334,LOC017,2026-06-14T19:01:59,High,30,45,64,Event,115
TE00053,EDGE0281,LOC045,2026-05-27T17:10:57,Moderate,56,70,40,Rush Hour,72
TE00054,EDGE0284,LOC025,2024-12-13T22:45:46,Low,80,90,22,Event,39
TE00055,EDGE0115,LOC019,2025-06-09T12:45:43,Low,85,90,9,Accident,16
TE00056,EDGE0154,LOC018,2026-03-17T09:26:19,Low,86,90,8,Event,14
TE00057,EDGE0293,LOC042,2026-03-23T14:41:59,Moderate,54,70,44,Construction,79
TE00058,EDGE0250,LOC052,2024-05-27T22:53:03,Low,84,90,12,Accident,21
TE00059,EDGE0245,LOC075,2025-11-03T09:44:22,Severe,11,20,85,Accident,153
TE00060,EDGE0253,LOC023,2025-01-21T03:37:19,High,30,45,66,Construction,118
TE00061,EDGE0357,LOC017,2026-01-18T15:38:26,Moderate,55,70,42,Construction,75
TE00062,EDGE0013,LOC017,2025-06-21T02:28:30,Severe,11,20,83,Construction,149
TE00063,EDGE0208,LOC047,2025-08-20T21:14:25,Low,84,90,12,Rush Hour,21
TE00064,EDGE0331,LOC020,2024-08-18T22:14:22,Low,77,90,27,Construction,48
TE00065,EDGE0116,LOC012,2026-05-17T08:34:54,Moderate,49,70,58,Rush Hour,104
TE00066,EDGE0158,LOC061,2024-03-25T18:22:20,Low,84,90,13,Weather-related,23
TE00067,EDGE0178,LOC033,2024-01-19T02:09:07,High,27,45,80,Weather-related,144
TE00068,EDGE0216,LOC018,2024-08-31T18:40:35,Moderate,49,70,58,Event,104
TE00069,EDGE0280,LOC023,2026-02-24T08:55:30,High,30,45,65,Rush Hour,117
TE00070,EDGE0069,LOC065,2025-12-30T00:21:34,Low,76,90,30,Weather-related,54
TE00071,EDGE0110,LOC001,2026-02-09T06:03:57,Low,85,90,11,Construction,19
TE00072,EDGE0056,LOC009,2024-09-13T22:42:12,Severe,10,20,91,Event,163
TE00073,EDGE0297,LOC014,2024-04-26T07:10:42,Severe,11,20,88,Rush Hour,158
TE00074,EDGE0022,LOC024,2026-02-02T17:57:52,Moderate,55,70,42,Rush Hour,75
TE00075,EDGE0118,LOC037,2025-05-13T02:05:42,Moderate,53,70,46,Accident,82
TE00076,EDGE0272,LOC032,2025-01-09T05:05:52,Moderate,59,70,31,Construction,55
TE00077,EDGE0096,LOC040,2025-05-29T00:39:13,Severe,10,20,96,Accident,172
TE00078,EDGE0113,LOC016,2025-03-08T02:26:58,Moderate,52,70,49,Accident,88
TE00079,EDGE0073,LOC067,2024-03-19T05:12:38,Severe,11,20,81,Rush Hour,145
TE00080,EDGE0071,LOC048,2026-02-26T11:41:43,Low,82,90,17,Rush Hour,30
TE00081,EDGE0347,LOC060,2024-12-11T23:06:03,Low,81,90,18,Accident,32
TE00082,EDGE0004,LOC003,2026-05-05T03:57:44,High,30,45,63,Accident,113
TE00083,EDGE0046,LOC067,2025-08-11T04:37:57,High,28,45,72,Construction,129
TE00084,EDGE0095,LOC034,2025-09-18T11:15:21,Severe,10,20,96,Construction,172
TE00085,EDGE0029,LOC048,2024-12-31T01:26:06,Moderate,57,70,35,Event,63
TE00086,EDGE0178,LOC052,2024-05-02T11:01:03,Low,76,90,29,Accident,52
TE00087,EDGE0223,LOC029,2025-12-14T04:17:13,Severe,11,20,82,Event,147
TE00088,EDGE0054,LOC054,2025-11-21T00:33:41,Low,81,90,20,Accident,36
TE00089,EDGE0047,LOC017,2026-06-09T04:17:26,Severe,10,20,95,Construction,171
TE00090,EDGE0084,LOC025,2025-11-27T02:19:34,Moderate,51,70,54,Weather-related,97
TE00091,EDGE0206,LOC021,2024-05-16T17:37:05,Low,89,90,1,Accident,1
TE00092,EDGE0048,LOC030,2026-02-13T07:47:31,Severe,11,20,87,Weather-related,156
TE00093,EDGE0279,LOC068,2025-11-25T11:54:27,Moderate,50,70,56,Weather-related,100
TE00094,EDGE0353,LOC069,2025-05-05T23:37:40,Moderate,50,70,56,Weather-related,100
TE00095,EDGE0074,LOC070,2024-07-03T09:42:43,Moderate,52,70,51,Construction,91
TE00096,EDGE0280,LOC031,2026-02-11T15:25:20,High,27,45,79,Accident,142
TE00097,EDGE0294,LOC072,2024-01-28T14:28:52,Severe,10,20,94,Accident,169
TE00098,EDGE0026,LOC036,2024-06-08T10:49:13,Severe,10,20,92,Weather-related,165
TE00099,EDGE0346,LOC009,2025-09-18T17:19:14,Low,79,90,23,Weather-related,41
TE00100,EDGE0029,LOC011,2025-10-02T13:05:43,High,27,45,79,Rush Hour,142
TE00101,EDGE0157,LOC053,2024-02-25T15:54:40,Moderate,50,70,57,Event,102
TE00102,EDGE0021,LOC054,2026-05-15T11:20:58,Moderate,57,70,36,Rush Hour,64
TE00103,EDGE0111,LOC015,2026-05-02T23:53:12,High,29,45,67,Construction,120
TE00104,EDGE0160,LOC021,2024-01-01T06:19:38,Low,76,90,29,Rush Hour,52
TE00105,EDGE0323,LOC054,2024-05-21T04:49:53,High,27,45,77,Construction,138
TE00106,EDGE0094,LOC074,2025-04-18T04:14:05,High,29,45,67,Weather-related,120
TE00107,EDGE0339,LOC060,2026-02-28T16:12:16,Moderate,50,70,56,Accident,100
TE00108,EDGE0105,LOC048,2026-05-23T13:16:40,Moderate,50,70,56,Weather-related,100
TE00109,EDGE0222,LOC073,2024-11-17T07:58:24,Low,80,90,22,Weather-related,39
TE00110,EDGE0264,LOC074,2025-12-09T16:39:50,Moderate,49,70,60,Event,108
TE00111,EDGE0283,LOC028,2025-06-13T11:57:56,Low,81,90,19,Accident,34
TE00112,EDGE0203,LOC051,2025-07-18T10:23:21,Low,81,90,18,Weather-related,32
TE00113,EDGE0114,LOC059,2024-03-25T07:31:35,Severe,10,20,94,Construction,169
TE00114,EDGE0109,LOC023,2024-12-12T06:59:22,Low,83,90,14,Rush Hour,25
TE00115,EDGE0184,LOC072,2025-12-06T23:29:46,Moderate,52,70,51,Accident,91
TE00116,EDGE0164,LOC041,2025-05-30T16:50:11,Low,86,90,8,Weather-related,14
TE00117,EDGE0300,LOC054,2026-05-20T03:56:13,High,27,45,80,Rush Hour,144
TE00118,EDGE0319,LOC059,2026-01-04T23:42:07,Low,86,90,7,Event,12
TE00119,EDGE0252,LOC066,2025-07-18T08:36:08,Low,88,90,4,Accident,7
TE00120,EDGE0075,LOC007,2025-12-03T23:37:58,Low,78,90,26,Accident,46
TE00121,EDGE0367,LOC004,2024-06-26T03:05:56,Moderate,49,70,60,Rush Hour,108
TE00122,EDGE0285,LOC051,2024-05-31T08:42:55,High,29,45,70,Construction,126
TE00123,EDGE0329,LOC074,2024-12-10T11:19:53,Low,86,90,7,Event,12
TE00124,EDGE0083,LOC075,2024-01-04T09:54:29,Moderate,49,70,58,Weather-related,104
TE00125,EDGE0072,LOC051,2025-06-14T06:42:56,Severe,11,20,88,Weather-related,158
TE00126,EDGE0319,LOC054,2025-07-05T16:32:26,Moderate,50,70,57,Rush Hour,102
TE00127,EDGE0284,LOC018,2025-03-29T13:56:10,Moderate,58,70,34,Event,61
TE00128,EDGE0023,LOC011,2026-04-30T19:23:05,Severe,10,20,97,Accident,174
TE00129,EDGE0311,LOC028,2026-03-21T21:00:52,Low,78,90,25,Accident,45
TE00130,EDGE0191,LOC028,2025-08-03T19:38:34,Moderate,58,70,33,Weather-related,59
TE00131,EDGE0176,LOC022,2024-06-14T03:58:48,Low,88,90,3,Rush Hour,5
TE00132,EDGE0186,LOC025,2024-03-12T02:43:53,Moderate,49,70,59,Rush Hour,106
TE00133,EDGE0301,LOC058,2024-09-12T00:09:20,Low,77,90,27,Construction,48
TE00134,EDGE0365,LOC003,2026-02-03T22:49:41,Moderate,57,70,35,Rush Hour,63
TE00135,EDGE0214,LOC008,2024-08-06T04:19:30,Moderate,52,70,51,Accident,91
TE00136,EDGE0124,LOC050,2025-09-27T16:28:58,High,27,45,78,Accident,140
TE00137,EDGE0037,LOC052,2024-06-15T03:48:50,High,29,45,69,Rush Hour,124
TE00138,EDGE0248,LOC047,2025-01-30T00:35:33,Low,85,90,11,Weather-related,19
TE00139,EDGE0230,LOC019,2024-10-31T08:28:54,Severe,10,20,96,Rush Hour,172
TE00140,EDGE0321,LOC022,2024-10-18T08:07:29,Moderate,56,70,38,Rush Hour,68
TE00141,EDGE0119,LOC062,2024-07-06T13:43:47,Low,81,90,18,Construction,32
TE00142,EDGE0240,LOC012,2025-09-02T08:14:34,Severe,10,20,91,Construction,163
TE00143,EDGE0060,LOC045,2024-11-30T21:45:33,Low,77,90,28,Rush Hour,50
TE00144,EDGE0080,LOC030,2025-12-10T23:54:36,High,27,45,77,Weather-related,138
TE00145,EDGE0183,LOC030,2024-10-23T01:17:28,High,27,45,79,Event,142
TE00146,EDGE0182,LOC059,2025-06-08T23:04:33,Severe,11,20,86,Accident,154
TE00147,EDGE0279,LOC074,2024-06-16T09:47:53,Low,82,90,17,Event,30
TE00148,EDGE0081,LOC063,2025-10-05T20:34:28,Moderate,58,70,32,Accident,57
TE00149,EDGE0320,LOC003,2024-03-13T05:39:32,Severe,11,20,88,Weather-related,158
TE00150,EDGE0177,LOC040,2024-07-10T09:56:39,Low,79,90,24,Event,43
TE00151,EDGE0047,LOC055,2025-11-30T20:01:43,Severe,10,20,98,Construction,176
TE00152,EDGE0343,LOC007,2025-12-11T12:39:21,Moderate,52,70,50,Construction,90
TE00153,EDGE0091,LOC019,2026-02-22T05:50:53,Severe,11,20,89,Event,160
TE00154,EDGE0309,LOC019,2024-07-28T03:35:39,Severe,11,20,85,Accident,153
TE00155,EDGE0273,LOC037,2026-02-13T21:40:47,Moderate,49,70,58,Construction,104
TE00156,EDGE0074,LOC013,2024-01-07T17:43:06,Low,84,90,12,Weather-related,21
TE00157,EDGE0157,LOC050,2026-04-03T21:24:57,Moderate,50,70,55,Construction,99
TE00158,EDGE0140,LOC030,2024-03-16T10:52:50,Severe,10,20,98,Weather-related,176
TE00159,EDGE0214,LOC044,2026-05-09T09:46:20,High,28,45,72,Construction,129
TE00160,EDGE0321,LOC054,2025-11-03T08:20:25,Moderate,50,70,55,Construction,99
TE00161,EDGE0060,LOC049,2026-06-27T22:52:52,Moderate,51,70,52,Weather-related,93
TE00162,EDGE0021,LOC018,2026-01-20T05:00:30,Moderate,59,70,31,Construction,55
TE00163,EDGE0302,LOC003,2026-02-28T16:01:26,Severe,11,20,88,Event,158
TE00164,EDGE0334,LOC054,2024-10-02T06:35:08,Moderate,53,70,46,Weather-related,82
TE00165,EDGE0345,LOC003,2026-06-17T18:04:15,Moderate,57,70,37,Event,66
TE00166,EDGE0307,LOC073,2024-09-26T18:09:04,Severe,11,20,85,Event,153
TE00167,EDGE0025,LOC028,2024-07-18T10:25:11,Moderate,57,70,37,Weather-related,66
TE00168,EDGE0210,LOC034,2024-06-09T20:46:17,Low,85,90,10,Construction,18
TE00169,EDGE0029,LOC075,2025-08-24T19:31:36,Low,79,90,23,Construction,41
TE00170,EDGE0363,LOC072,2025-05-14T23:12:18,Moderate,51,70,53,Rush Hour,95
TE00171,EDGE0337,LOC020,2026-02-22T02:35:14,Low,81,90,19,Rush Hour,34
TE00172,EDGE0055,LOC029,2025-08-20T13:15:45,Moderate,59,70,31,Weather-related,55
TE00173,EDGE0349,LOC046,2025-10-12T08:57:10,Moderate,49,70,60,Rush Hour,108
TE00174,EDGE0024,LOC003,2025-01-20T15:00:46,Severe,10,20,94,Weather-related,169
TE00175,EDGE0154,LOC045,2025-03-01T00:23:37,Severe,11,20,87,Event,156
TE00176,EDGE0009,LOC039,2025-09-10T01:40:06,Severe,10,20,100,Rush Hour,180
TE00177,EDGE0228,LOC055,2025-06-16T14:42:09,High,29,45,71,Construction,127
TE00178,EDGE0090,LOC057,2025-04-01T23:35:04,Severe,10,20,100,Event,180
TE00179,EDGE0236,LOC071,2025-12-04T11:18:41,Low,88,90,4,Accident,7
TE00180,EDGE0010,LOC061,2024-07-26T04:27:44,Low,81,90,18,Rush Hour,32
TE00181,EDGE0139,LOC055,2024-08-02T15:43:26,Moderate,56,70,39,Accident,70
TE00182,EDGE0052,LOC062,2025-10-03T04:15:59,Low,77,90,28,Accident,50
TE00183,EDGE0122,LOC050,2026-03-06T19:43:40,Moderate,58,70,34,Construction,61
TE00184,EDGE0273,LOC012,2025-04-09T08:17:21,Severe,11,20,84,Accident,151
TE00185,EDGE0267,LOC049,2026-04-30T23:41:12,High,31,45,61,Construction,109
TE00186,EDGE0149,LOC013,2025-05-02T15:26:33,Moderate,52,70,51,Weather-related,91
TE00187,EDGE0205,LOC017,2026-05-09T23:00:59,High,28,45,75,Accident,135
TE00188,EDGE0209,LOC024,2024-12-03T15:07:04,High,28,45,72,Accident,129
TE00189,EDGE0027,LOC020,2024-11-08T01:41:16,High,27,45,77,Construction,138
TE00190,EDGE0022,LOC018,2024-11-21T18:39:21,Severe,11,20,85,Event,153
TE00191,EDGE0039,LOC010,2025-03-27T09:35:19,Moderate,58,70,34,Accident,61
TE00192,EDGE0029,LOC052,2025-06-20T09:28:39,High,27,45,77,Weather-related,138
TE00193,EDGE0030,LOC043,2024-07-25T02:21:37,Low,85,90,9,Rush Hour,16
TE00194,EDGE0282,LOC005,2024-10-03T05:20:16,Moderate,58,70,34,Event,61
TE00195,EDGE0224,LOC074,2026-02-21T18:30:32,Severe,10,20,93,Construction,167
TE00196,EDGE0020,LOC012,2026-04-22T17:32:53,Low,78,90,25,Event,45
TE00197,EDGE0042,LOC042,2025-05-15T19:14:58,High,29,45,70,Weather-related,126
TE00198,EDGE0072,LOC027,2024-06-28T06:37:10,Low,79,90,23,Rush Hour,41
TE00199,EDGE0114,LOC069,2025-07-01T04:22:37,Severe,10,20,95,Event,171
TE00200,EDGE0226,LOC068,2026-05-23T11:19:32,Severe,10,20,100,Construction,180
TE00201,EDGE0157,LOC049,2026-01-16T05:29:19,High,31,45,62,Accident,111
TE00202,EDGE0334,LOC013,2026-06-24T08:35:33,Low,78,90,25,Event,45
TE00203,EDGE0214,LOC019,2026-06-05T10:56:01,Low,78,90,25,Accident,45
TE00204,EDGE0365,LOC002,2025-10-10T12:42:19,High,27,45,76,Event,136
TE00205,EDGE0065,LOC043,2026-04-09T09:20:21,Low,88,90,3,Accident,5
TE00206,EDGE0238,LOC048,2025-03-20T04:10:03,Severe,11,20,86,Weather-related,154
TE00207,EDGE0052,LOC044,2025-10-18T03:42:18,Severe,11,20,81,Event,145
TE00208,EDGE0013,LOC061,2024-01-20T20:07:09,Severe,10,20,100,Construction,180
TE00209,EDGE0066,LOC002,2026-03-23T00:47:11,Severe,10,20,96,Construction,172
TE00210,EDGE0349,LOC008,2024-06-14T09:30:24,High,30,45,63,Weather-related,113
TE00211,EDGE0180,LOC056,2024-02-09T06:12:49,Moderate,53,70,47,Event,84
TE00212,EDGE0178,LOC013,2025-08-14T15:52:28,High,27,45,76,Rush Hour,136
TE00213,EDGE0191,LOC049,2024-08-13T18:10:21,Moderate,53,70,48,Rush Hour,86
TE00214,EDGE0271,LOC009,2024-03-23T10:24:23,High,29,45,71,Construction,127
TE00215,EDGE0354,LOC066,2024-03-28T22:22:44,Moderate,57,70,36,Weather-related,64
TE00216,EDGE0205,LOC008,2024-11-06T12:54:08,Moderate,57,70,37,Weather-related,66
TE00217,EDGE0028,LOC065,2025-02-18T17:40:16,Low,89,90,1,Rush Hour,1
TE00218,EDGE0144,LOC008,2024-09-07T00:06:22,Low,77,90,28,Rush Hour,50
TE00219,EDGE0077,LOC027,2025-03-21T05:48:07,High,27,45,76,Event,136
TE00220,EDGE0137,LOC001,2025-01-24T05:35:29,Low,82,90,16,Accident,28
TE00221,EDGE0018,LOC049,2024-08-15T11:14:45,Severe,11,20,89,Event,160
TE00222,EDGE0092,LOC066,2024-04-06T08:45:04,Low,83,90,15,Rush Hour,27
TE00223,EDGE0284,LOC072,2025-04-03T11:38:16,High,29,45,67,Event,120
TE00224,EDGE0360,LOC022,2024-11-12T21:42:17,Severe,10,20,98,Rush Hour,176
TE00225,EDGE0152,LOC020,2026-04-20T16:21:28,Severe,11,20,87,Weather-related,156
TE00226,EDGE0260,LOC045,2024-02-20T04:28:09,Severe,10,20,94,Construction,169
TE00227,EDGE0355,LOC062,2025-07-11T04:39:01,Severe,10,20,95,Rush Hour,171
TE00228,EDGE0018,LOC056,2025-12-04T01:56:46,Low,83,90,14,Construction,25
TE00229,EDGE0313,LOC035,2024-06-08T04:43:53,Low,81,90,20,Construction,36
TE00230,EDGE0135,LOC001,2026-05-22T20:35:25,Severe,11,20,87,Rush Hour,156
TE00231,EDGE0199,LOC022,2024-12-14T10:47:07,Low,78,90,25,Weather-related,45
TE00232,EDGE0054,LOC045,2026-05-21T21:40:58,Moderate,57,70,37,Weather-related,66
TE00233,EDGE0174,LOC072,2025-08-27T02:44:44,High,29,45,67,Weather-related,120
TE00234,EDGE0202,LOC045,2025-01-04T02:12:04,Low,85,90,9,Accident,16
TE00235,EDGE0096,LOC042,2026-03-04T16:33:50,Low,89,90,2,Event,3
TE00236,EDGE0163,LOC005,2025-03-22T19:56:46,Moderate,57,70,35,Event,63
TE00237,EDGE0142,LOC050,2024-03-13T23:32:12,Low,88,90,3,Construction,5
TE00238,EDGE0023,LOC050,2025-08-15T18:25:53,Moderate,56,70,38,Construction,68
TE00239,EDGE0300,LOC015,2025-08-25T01:05:04,High,27,45,77,Construction,138
TE00240,EDGE0049,LOC036,2025-10-09T02:42:53,High,29,45,68,Accident,122
TE00241,EDGE0315,LOC025,2025-04-30T16:35:06,Moderate,49,70,58,Weather-related,104
TE00242,EDGE0092,LOC065,2026-05-07T16:41:49,Moderate,52,70,51,Accident,91
TE00243,EDGE0133,LOC002,2024-03-24T13:53:28,High,28,45,73,Construction,131
TE00244,EDGE0364,LOC034,2024-01-21T03:22:44,Low,77,90,27,Event,48
TE00245,EDGE0173,LOC042,2025-01-25T10:40:35,Low,85,90,10,Accident,18
TE00246,EDGE0253,LOC071,2024-11-11T11:38:25,Moderate,50,70,57,Accident,102
TE00247,EDGE0275,LOC073,2025-11-19T06:37:03,Moderate,50,70,55,Weather-related,99
TE00248,EDGE0263,LOC013,2024-12-16T09:03:26,Moderate,52,70,50,Construction,90
TE00249,EDGE0176,LOC053,2025-07-25T06:22:57,High,30,45,63,Accident,113
TE00250,EDGE0092,LOC052,2026-04-29T03:17:21,High,27,45,78,Rush Hour,140
TE00251,EDGE0153,LOC033,2024-11-01T04:53:53,Moderate,51,70,52,Construction,93
TE00252,EDGE0072,LOC028,2024-10-27T14:07:03,Low,83,90,15,Accident,27
TE00253,EDGE0361,LOC032,2025-04-01T23:44:25,Low,76,90,29,Accident,52
TE00254,EDGE0360,LOC018,2025-11-28T05:01:59,Severe,10,20,95,Event,171
TE00255,EDGE0177,LOC020,2024-10-02T14:55:00,Moderate,49,70,60,Event,108
TE00256,EDGE0265,LOC074,2024-04-25T16:24:19,Severe,10,20,92,Construction,165
TE00257,EDGE0115,LOC037,2024-10-17T10:59:31,Low,87,90,6,Construction,10
TE00258,EDGE0078,LOC028,2024-09-26T23:33:07,High,28,45,73,Weather-related,131
TE00259,EDGE0117,LOC045,2026-03-09T05:35:57,Low,85,90,9,Weather-related,16
TE00260,EDGE0292,LOC065,2024-07-04T09:49:57,Low,77,90,27,Accident,48
TE00261,EDGE0222,LOC065,2025-08-08T22:58:09,Moderate,54,70,45,Weather-related,81
TE00262,EDGE0138,LOC010,2024-03-04T02:57:14,Moderate,51,70,52,Accident,93
TE00263,EDGE0139,LOC044,2025-10-27T15:55:45,Moderate,56,70,40,Accident,72
TE00264,EDGE0012,LOC060,2025-03-09T14:03:31,Low,85,90,10,Accident,18
TE00265,EDGE0181,LOC004,2026-05-14T15:30:02,Moderate,56,70,38,Event,68
TE00266,EDGE0290,LOC074,2025-02-14T11:33:58,Low,83,90,15,Event,27
TE00267,EDGE0022,LOC011,2024-07-21T01:13:54,Moderate,58,70,34,Accident,61
TE00268,EDGE0178,LOC038,2024-09-06T23:51:44,High,31,45,61,Construction,109
TE00269,EDGE0327,LOC056,2026-06-26T04:34:41,Low,88,90,3,Weather-related,5
TE00270,EDGE0244,LOC029,2025-01-31T03:41:28,High,29,45,67,Event,120
TE00271,EDGE0088,LOC020,2024-01-09T18:27:57,Severe,11,20,90,Weather-related,162
TE00272,EDGE0277,LOC060,2025-05-28T12:16:26,Severe,10,20,91,Construction,163
TE00273,EDGE0181,LOC035,2025-12-25T10:05:32,Moderate,51,70,53,Event,95
TE00274,EDGE0190,LOC001,2024-08-28T11:34:29,Moderate,50,70,56,Accident,100
TE00275,EDGE0270,LOC039,2024-03-03T01:05:35,Moderate,51,70,52,Event,93
TE00276,EDGE0048,LOC031,2024-08-26T18:28:38,Low,83,90,14,Weather-related,25
TE00277,EDGE0184,LOC012,2025-05-16T04:31:09,High,27,45,76,Accident,136
TE00278,EDGE0107,LOC036,2024-03-20T00:01:41,Severe,10,20,91,Event,163
TE00279,EDGE0165,LOC043,2025-04-12T19:51:55,Severe,10,20,98,Weather-related,176
TE00280,EDGE0368,LOC023,2026-02-01T01:03:52,Moderate,58,70,34,Accident,61
TE00281,EDGE0208,LOC045,2026-06-08T14:56:44,Moderate,58,70,33,Rush Hour,59
TE00282,EDGE0022,LOC066,2026-05-04T15:27:29,Severe,10,20,98,Accident,176
TE00283,EDGE0112,LOC012,2025-07-10T06:23:54,Moderate,52,70,49,Weather-related,88
TE00284,EDGE0302,LOC022,2024-04-23T05:11:34,Low,85,90,9,Weather-related,16
TE00285,EDGE0324,LOC031,2025-05-08T18:38:33,High,31,45,61,Rush Hour,109
TE00286,EDGE0178,LOC075,2026-03-27T04:08:52,Severe,10,20,99,Event,178
TE00287,EDGE0322,LOC041,2024-12-07T16:46:41,Low,87,90,6,Weather-related,10
TE00288,EDGE0056,LOC012,2024-10-12T15:08:12,Low,78,90,26,Weather-related,46
TE00289,EDGE0083,LOC071,2026-03-19T17:36:33,Severe,11,20,88,Construction,158
TE00290,EDGE0279,LOC069,2024-04-15T21:48:10,Moderate,59,70,31,Event,55
TE00291,EDGE0183,LOC068,2026-02-23T16:59:50,Severe,11,20,83,Rush Hour,149
TE00292,EDGE0271,LOC021,2024-09-04T13:45:45,Severe,11,20,81,Rush Hour,145
TE00293,EDGE0305,LOC012,2025-10-08T03:02:26,Low,84,90,12,Accident,21
TE00294,EDGE0153,LOC061,2026-04-23T15:29:44,Low,78,90,26,Event,46
TE00295,EDGE0162,LOC046,2026-04-14T06:09:05,High,27,45,77,Rush Hour,138
TE00296,EDGE0275,LOC003,2025-09-18T16:28:42,High,28,45,75,Rush Hour,135
TE00297,EDGE0194,LOC014,2024-05-22T19:58:43,Severe,11,20,81,Event,145
TE00298,EDGE0057,LOC052,2025-06-26T18:41:10,Moderate,53,70,48,Rush Hour,86
