event_id,event_type,title,severity,location,latitude,longitude,start_time,end_time,affected_radius_km,impact_type,expected_delay_minutes,description
EE00012,Road Closure,Emergency road closure,MEDIUM,San Antonio,29.1463,-99.4139,2026-06-12T22:05:43,2026-06-13T06:04:36.363559,462,Delay,95,Road Closure near San Antonio — severity MEDIUM. Expected delays of up to 95 minutes.
EE00013,Security Event,Facility lockdown,LOW,Baltimore,39.4418,-76.5782,2024-09-23T23:18:01,2024-09-27T02:01:06.759879,495,Route Closure,13,Security Event near Baltimore — severity LOW. Expected delays of up to 13 minutes.
EE00014,Infrastructure Failure,Power outage at facility,MEDIUM,Fresno,35.7953,-120.2291,2025-09-19T01:12:54,2025-09-24T20:22:42.027283,331,Delay,107,Infrastructure Failure near Fresno — severity MEDIUM. Expected delays of up to 107 minutes.
EE00015,Port Disruption,Vessel backlog,MEDIUM,Sacramento,38.1402,-122.3834,2024-12-10T07:47:24,2024-12-11T18:11:07.942378,370,Delay,90,Port Disruption near Sacramento — severity MEDIUM. Expected delays of up to 90 minutes.
EE00016,Infrastructure Failure,Power outage at facility,LOW,Omaha,40.6961,-96.7476,2024-12-11T06:50:32,2024-12-12T17:05:41.023401,361,Delay,14,Infrastructure Failure near Omaha — severity LOW. Expected delays of up to 14 minutes.
EE00017,Security Event,Facility lockdown,MEDIUM,Baltimore,39.1306,-77.5402,2025-06-17T08:05:07,2025-06-18T14:54:40.650575,399,Route Closure,110,Security Event near Baltimore — severity MEDIUM. Expected delays of up to 110 minutes.
EE00018,Road Closure,Bridge weight restriction,MEDIUM,Miami,25.4607,-80.2562,2026-04-02T22:10:22,2026-04-07T11:52:11.237863,331,Route Closure,130,Road Closure near Miami — severity MEDIUM. Expected delays of up to 130 minutes.
EE00019,Road Closure,Emergency road closure,LOW,Springfield,37.4461,-92.429,2025-07-28T20:32:03,2025-07-31T07:40:55.449454,430,Delay,43,Road Closure near Springfield — severity LOW. Expected delays of up to 43 minutes.
EE00020,Security Event,Heightened screening,MEDIUM,Pittsburgh,40.8146,-79.7819,2024-06-07T19:03:53,2024-06-11T17:22:34.802398,260,Delay,115,Security Event near Pittsburgh — severity MEDIUM. Expected delays of up to 115 minutes.
EE00021,Port Disruption,Port congestion surge,LOW,Albany,43.0417,-74.0575,2024-12-13T06:41:03,2024-12-13T18:28:01.404583,138,Capacity Reduction,26,Port Disruption near Albany — severity LOW. Expected delays of up to 26 minutes.
EE00022,Road Closure,Bridge weight restriction,MEDIUM,Albuquerque,35.7798,-107.2943,2026-02-22T16:25:26,2026-02-24T03:28:39.934348,279,Inspection Required,176,Road Closure near Albuquerque — severity MEDIUM. Expected delays of up to 176 minutes.
EE00023,Road Closure,Highway section closed for repairs,MEDIUM,San Francisco,38.0178,-123.2153,2024-06-13T23:49:08,2024-06-19T03:15:01.551499,78,Delay,100,Road Closure near San Francisco — severity MEDIUM. Expected delays of up to 100 minutes.
EE00024,Port Disruption,Equipment malfunction at terminal,LOW,Chattanooga,34.8177,-85.3157,2026-05-19T19:50:04,2026-05-26T16:18:14.952256,82,Inspection Required,51,Port Disruption near Chattanooga — severity LOW. Expected delays of up to 51 minutes.
EE00025,Customs Delay,Documentation backlog,LOW,Seattle,47.9893,-122.4174,2025-08-30T17:42:47,2025-09-05T04:50:01.733035,118,Capacity Reduction,24,Customs Delay near Seattle — severity LOW. Expected delays of up to 24 minutes.
EE00026,Security Event,Facility lockdown,CRITICAL,Cincinnati,39.3451,-84.6139,2025-07-27T13:56:43,2025-07-30T00:08:23.377710,110,Route Closure,702,Security Event near Cincinnati — severity CRITICAL. Expected delays of up to 702 minutes.
EE00027,Public Event,Political rally road closures,MEDIUM,Oklahoma City,36.0587,-97.8384,2025-07-22T06:10:11,2025-07-27T01:39:48.030902,422,Route Closure,65,Public Event near Oklahoma City — severity MEDIUM. Expected delays of up to 65 minutes.
EE00028,Infrastructure Failure,Rail track damage,LOW,Chattanooga,34.2565,-85.6561,2024-02-09T20:38:48,2024-02-16T08:35:28.914593,413,Delay,47,Infrastructure Failure near Chattanooga — severity LOW. Expected delays of up to 47 minutes.
EE00029,Geopolitical Event,Border control tightened,CRITICAL,San Diego,32.6493,-116.4857,2026-01-30T14:48:29,2026-02-04T11:23:45.015759,256,Delay,825,Geopolitical Event near San Diego — severity CRITICAL. Expected delays of up to 825 minutes.
EE00030,Road Closure,Highway section closed for repairs,LOW,Sacramento,38.4078,-121.3076,2026-03-17T03:17:55,2026-03-18T15:39:43.979416,237,Delay,59,Road Closure near Sacramento — severity LOW. Expected delays of up to 59 minutes.
EE00031,Geopolitical Event,Border control tightened,LOW,Portland,44.6812,-123.2755,2025-02-12T07:44:02,2025-02-16T09:43:22.666132,261,Inspection Required,52,Geopolitical Event near Portland — severity LOW. Expected delays of up to 52 minutes.
EE00032,Public Event,Political rally road closures,HIGH,Tampa,28.7748,-82.7038,2025-08-23T01:31:41,2025-08-26T06:51:02.562068,313,Capacity Reduction,207,Public Event near Tampa — severity HIGH. Expected delays of up to 207 minutes.
EE00033,Customs Delay,System outage at customs,LOW,Jacksonville,30.5247,-81.6066,2026-05-17T21:16:58,2026-05-23T03:37:57.490228,442,Inspection Required,33,Customs Delay near Jacksonville — severity LOW. Expected delays of up to 33 minutes.
EE00034,Customs Delay,System outage at customs,HIGH,Cincinnati,39.8776,-84.7829,2025-05-18T21:37:37,2025-05-22T01:05:57.026641,136,Route Closure,446,Customs Delay near Cincinnati — severity HIGH. Expected delays of up to 446 minutes.
EE00035,Security Event,Facility lockdown,MEDIUM,Baton Rouge,29.5642,-90.24,2024-01-25T06:49:06,2024-01-27T13:57:55.896392,310,Capacity Reduction,70,Security Event near Baton Rouge — severity MEDIUM. Expected delays of up to 70 minutes.
EE00036,Infrastructure Failure,Bridge structural issue,LOW,Jacksonville,30.9187,-80.9604,2025-05-12T18:55:18,2025-05-13T08:06:16.618946,240,Route Closure,16,Infrastructure Failure near Jacksonville — severity LOW. Expected delays of up to 16 minutes.
EE00037,Geopolitical Event,Trade restrictions imposed,LOW,Detroit,43.2315,-83.1523,2026-01-27T17:19:23,2026-01-28T00:35:51.387289,267,Inspection Required,44,Geopolitical Event near Detroit — severity LOW. Expected delays of up to 44 minutes.
EE00038,Labor Strike,Port workers strike,MEDIUM,Dallas,31.9678,-97.2887,2025-03-22T07:29:50,2025-03-25T01:08:37.249230,264,Capacity Reduction,133,Labor Strike near Dallas — severity MEDIUM. Expected delays of up to 133 minutes.
EE00039,Geopolitical Event,Trade restrictions imposed,HIGH,Denver,38.8415,-105.0382,2025-02-10T13:08:40,2025-02-17T08:54:11.806542,259,Delay,473,Geopolitical Event near Denver — severity HIGH. Expected delays of up to 473 minutes.
EE00040,Labor Strike,Port workers strike,MEDIUM,Cincinnati,38.2672,-83.6633,2024-12-14T07:01:55,2024-12-21T00:08:15.352061,103,Route Closure,174,Labor Strike near Cincinnati — severity MEDIUM. Expected delays of up to 174 minutes.
EE00041,Public Event,Festival road closures,HIGH,Dallas,33.0064,-97.444,2024-01-12T19:26:07,2024-01-16T22:37:44.448565,66,Route Closure,230,Public Event near Dallas — severity HIGH. Expected delays of up to 230 minutes.
EE00042,Port Disruption,Equipment malfunction at terminal,LOW,Phoenix,32.465,-112.8813,2024-10-28T14:47:32,2024-10-30T23:51:57.883988,471,Delay,57,Port Disruption near Phoenix — severity LOW. Expected delays of up to 57 minutes.
EE00043,Geopolitical Event,Border control tightened,LOW,Louisville,38.9559,-85.6806,2025-04-21T07:35:50,2025-04-24T23:57:25.419236,480,Capacity Reduction,36,Geopolitical Event near Louisville — severity LOW. Expected delays of up to 36 minutes.
EE00044,Security Event,Facility lockdown,HIGH,Cincinnati,39.4989,-84.0262,2024-07-05T09:05:44,2024-07-06T10:33:24.873345,55,Capacity Reduction,342,Security Event near Cincinnati — severity HIGH. Expected delays of up to 342 minutes.
EE00045,Labor Strike,Truck drivers work stoppage,HIGH,Lexington,37.8516,-85.1981,2026-03-06T20:18:30,2026-03-11T15:35:37.055691,174,Delay,470,Labor Strike near Lexington — severity HIGH. Expected delays of up to 470 minutes.
EE00046,Labor Strike,Port workers strike,MEDIUM,Chattanooga,35.8411,-85.7243,2026-06-15T06:47:55,2026-06-15T20:30:28.503529,479,Route Closure,179,Labor Strike near Chattanooga — severity MEDIUM. Expected delays of up to 179 minutes.
EE00047,Port Disruption,Equipment malfunction at terminal,HIGH,Boston,42.0717,-71.3199,2024-04-25T17:55:14,2024-04-30T19:15:01.726991,127,Capacity Reduction,238,Port Disruption near Boston — severity HIGH. Expected delays of up to 238 minutes.
EE00048,Labor Strike,Warehouse staff walkout,HIGH,San Antonio,29.1393,-98.215,2024-06-24T20:17:09,2024-06-30T10:07:03.543692,331,Inspection Required,278,Labor Strike near San Antonio — severity HIGH. Expected delays of up to 278 minutes.
EE00049,Geopolitical Event,Trade restrictions imposed,LOW,Orlando,29.4965,-81.946,2026-01-17T13:04:58,2026-01-19T00:57:33.996505,448,Delay,30,Geopolitical Event near Orlando — severity LOW. Expected delays of up to 30 minutes.
EE00050,Road Closure,Highway section closed for repairs,HIGH,Las Vegas,35.9142,-115.8341,2026-01-22T06:06:52,2026-01-28T15:27:19.483740,146,Route Closure,340,Road Closure near Las Vegas — severity HIGH. Expected delays of up to 340 minutes.
EE00051,Public Event,Political rally road closures,HIGH,San Antonio,30.0539,-99.2518,2024-09-13T00:44:40,2024-09-14T19:07:19.690780,470,Delay,249,Public Event near San Antonio — severity HIGH. Expected delays of up to 249 minutes.
EE00052,Road Closure,Highway section closed for repairs,MEDIUM,Portland ME,44.1954,-69.9868,2024-03-13T20:10:47,2024-03-15T09:20:32.035335,210,Capacity Reduction,169,Road Closure near Portland ME — severity MEDIUM. Expected delays of up to 169 minutes.
EE00053,Security Event,Heightened screening,MEDIUM,San Diego,31.9206,-117.6221,2024-11-05T08:46:07,2024-11-07T09:21:58.177627,316,Delay,117,Security Event near San Diego — severity MEDIUM. Expected delays of up to 117 minutes.
EE00054,Infrastructure Failure,Rail track damage,MEDIUM,Columbus,39.4923,-83.9385,2026-03-21T04:31:01,2026-03-25T13:45:30.614054,269,Delay,67,Infrastructure Failure near Columbus — severity MEDIUM. Expected delays of up to 67 minutes.
EE00055,Customs Delay,Increased customs inspections,LOW,Indianapolis,40.5095,-86.5778,2025-06-02T06:04:25,2025-06-04T19:17:00.192953,265,Capacity Reduction,20,Customs Delay near Indianapolis — severity LOW. Expected delays of up to 20 minutes.
EE00056,Public Event,Festival road closures,HIGH,Albany,41.7177,-72.9237,2026-06-23T01:40:25,2026-06-28T23:20:25.097506,380,Delay,272,Public Event near Albany — severity HIGH. Expected delays of up to 272 minutes.
EE00057,Port Disruption,Vessel backlog,MEDIUM,Kansas City,39.9193,-94.7652,2025-01-01T15:23:21,2025-01-03T09:36:30.317709,183,Capacity Reduction,89,Port Disruption near Kansas City — severity MEDIUM. Expected delays of up to 89 minutes.
EE00058,Infrastructure Failure,Bridge structural issue,HIGH,Omaha,41.4351,-96.1875,2025-02-22T02:02:04,2025-02-27T02:57:36.982981,306,Route Closure,203,Infrastructure Failure near Omaha — severity HIGH. Expected delays of up to 203 minutes.
EE00059,Public Event,Festival road closures,MEDIUM,Tucson,32.723,-111.2486,2024-02-28T13:12:19,2024-03-01T21:26:42.071448,75,Route Closure,110,Public Event near Tucson — severity MEDIUM. Expected delays of up to 110 minutes.
EE00060,Geopolitical Event,Tariff increase announced,MEDIUM,Hartford,40.8501,-73.2045,2024-05-13T14:41:29,2024-05-17T05:08:01.323823,348,Capacity Reduction,155,Geopolitical Event near Hartford — severity MEDIUM. Expected delays of up to 155 minutes.
EE00061,Customs Delay,System outage at customs,CRITICAL,Birmingham,33.4469,-86.2818,2025-07-19T19:14:35,2025-07-24T15:36:42.389041,112,Inspection Required,726,Customs Delay near Birmingham — severity CRITICAL. Expected delays of up to 726 minutes.
EE00062,Public Event,Major sporting event causing traffic,MEDIUM,Louisville,38.7774,-86.6294,2024-11-22T12:17:49,2024-11-28T14:08:09.119564,440,Delay,60,Public Event near Louisville — severity MEDIUM. Expected delays of up to 60 minutes.
EE00063,Port Disruption,Port congestion surge,MEDIUM,Orlando,28.526,-81.7332,2025-09-04T21:10:21,2025-09-06T00:37:26.154226,380,Delay,137,Port Disruption near Orlando — severity MEDIUM. Expected delays of up to 137 minutes.
EE00064,Road Closure,Highway section closed for repairs,HIGH,Portland,46.1165,-121.7572,2025-04-22T19:25:53,2025-04-23T15:04:26.625311,126,Delay,187,Road Closure near Portland — severity HIGH. Expected delays of up to 187 minutes.
EE00065,Infrastructure Failure,Bridge structural issue,MEDIUM,Seattle,47.3637,-122.3541,2024-05-17T00:36:17,2024-05-17T20:05:25.847199,491,Capacity Reduction,122,Infrastructure Failure near Seattle — severity MEDIUM. Expected delays of up to 122 minutes.
EE00066,Security Event,Heightened screening,LOW,Atlanta,34.2112,-84.596,2025-05-20T06:02:57,2025-05-21T07:36:09.619821,162,Delay,35,Security Event near Atlanta — severity LOW. Expected delays of up to 35 minutes.
EE00067,Road Closure,Bridge weight restriction,MEDIUM,Pittsburgh,40.102,-80.7383,2025-04-01T04:03:54,2025-04-02T02:07:14.252921,81,Route Closure,111,Road Closure near Pittsburgh — severity MEDIUM. Expected delays of up to 111 minutes.
EE00068,Geopolitical Event,Border control tightened,MEDIUM,Omaha,40.9338,-95.093,2025-12-05T18:17:40,2025-12-08T21:30:54.800274,89,Inspection Required,175,Geopolitical Event near Omaha — severity MEDIUM. Expected delays of up to 175 minutes.
EE00069,Customs Delay,Documentation backlog,HIGH,Salt Lake City,39.8445,-111.8245,2024-06-16T00:44:03,2024-06-19T11:53:21.436962,351,Inspection Required,479,Customs Delay near Salt Lake City — severity HIGH. Expected delays of up to 479 minutes.
EE00070,Security Event,Security inspection delays,LOW,Las Vegas,36.2914,-114.4227,2025-05-22T14:47:15,2025-05-25T13:24:03.198316,238,Inspection Required,14,Security Event near Las Vegas — severity LOW. Expected delays of up to 14 minutes.
EE00071,Road Closure,Highway section closed for repairs,LOW,Detroit,42.4508,-82.2058,2025-05-24T04:00:27,2025-05-26T08:47:37.257209,63,Route Closure,15,Road Closure near Detroit — severity LOW. Expected delays of up to 15 minutes.
EE00072,Security Event,Security inspection delays,MEDIUM,Knoxville,36.6306,-84.2868,2024-11-10T06:11:09,2024-11-12T23:09:08.018363,306,Delay,143,Security Event near Knoxville — severity MEDIUM. Expected delays of up to 143 minutes.
EE00073,Customs Delay,System outage at customs,MEDIUM,Springfield,36.2104,-93.8018,2024-06-15T13:32:03,2024-06-19T17:52:13.868873,298,Route Closure,135,Customs Delay near Springfield — severity MEDIUM. Expected delays of up to 135 minutes.
EE00074,Customs Delay,Documentation backlog,MEDIUM,Buffalo,43.1438,-79.8065,2024-12-02T11:16:45,2024-12-06T22:09:31.519058,295,Capacity Reduction,144,Customs Delay near Buffalo — severity MEDIUM. Expected delays of up to 144 minutes.
EE00075,Labor Strike,Truck drivers work stoppage,MEDIUM,Madison,43.6221,-90.3484,2024-09-26T12:54:32,2024-09-29T20:54:30.167912,277,Inspection Required,101,Labor Strike near Madison — severity MEDIUM. Expected delays of up to 101 minutes.
EE00076,Infrastructure Failure,Rail track damage,CRITICAL,Seattle,47.2369,-123.2326,2025-07-22T17:34:28,2025-07-27T21:19:46.357256,180,Delay,1104,Infrastructure Failure near Seattle — severity CRITICAL. Expected delays of up to 1104 minutes.
EE00077,Customs Delay,Documentation backlog,MEDIUM,Fargo,47.0815,-96.7667,2024-11-29T03:55:53,2024-11-29T16:15:42.948585,310,Capacity Reduction,148,Customs Delay near Fargo — severity MEDIUM. Expected delays of up to 148 minutes.
EE00078,Public Event,Festival road closures,CRITICAL,Lexington,37.5213,-84.7411,2025-10-13T15:29:11,2025-10-17T22:28:40.645193,216,Delay,922,Public Event near Lexington — severity CRITICAL. Expected delays of up to 922 minutes.
EE00079,Public Event,Political rally road closures,MEDIUM,El Paso,32.4181,-106.9617,2026-01-09T05:11:01,2026-01-14T01:46:13.640325,460,Delay,128,Public Event near El Paso — severity MEDIUM. Expected delays of up to 128 minutes.
EE00080,Public Event,Political rally road closures,HIGH,San Antonio,28.7859,-98.3008,2026-03-25T19:42:04,2026-03-27T15:47:18.954794,489,Delay,218,Public Event near San Antonio — severity HIGH. Expected delays of up to 218 minutes.
EE00081,Port Disruption,Vessel backlog,MEDIUM,Chicago,42.5022,-87.8063,2024-05-31T06:30:39,2024-06-01T15:46:44.347668,479,Capacity Reduction,115,Port Disruption near Chicago — severity MEDIUM. Expected delays of up to 115 minutes.
EE00082,Road Closure,Bridge weight restriction,MEDIUM,Denver,39.6983,-105.4483,2025-01-04T22:49:55,2025-01-09T00:31:33.425004,143,Delay,130,Road Closure near Denver — severity MEDIUM. Expected delays of up to 130 minutes.
EE00083,Road Closure,Highway section closed for repairs,HIGH,Topeka,38.271,-95.9457,2025-10-24T03:45:17,2025-10-25T17:47:19.599946,205,Route Closure,334,Road Closure near Topeka — severity HIGH. Expected delays of up to 334 minutes.
EE00084,Infrastructure Failure,Power outage at facility,HIGH,Los Angeles,34.1849,-118.8648,2025-11-25T21:33:14,2025-11-27T07:18:05.791155,381,Capacity Reduction,248,Infrastructure Failure near Los Angeles — severity HIGH. Expected delays of up to 248 minutes.
EE00085,Port Disruption,Equipment malfunction at terminal,HIGH,Little Rock,35.6346,-91.8284,2025-05-07T22:33:21,2025-05-13T01:43:50.377714,294,Route Closure,204,Port Disruption near Little Rock — severity HIGH. Expected delays of up to 204 minutes.
EE00086,Public Event,Political rally road closures,HIGH,Austin,30.5669,-97.7126,2024-03-12T03:15:21,2024-03-18T23:09:42.845206,496,Inspection Required,181,Public Event near Austin — severity HIGH. Expected delays of up to 181 minutes.
EE00087,Public Event,Festival road closures,HIGH,Kansas City,38.649,-93.9988,2024-01-25T22:38:21,2024-02-01T09:02:20.509265,458,Capacity Reduction,474,Public Event near Kansas City — severity HIGH. Expected delays of up to 474 minutes.
EE00088,Labor Strike,Warehouse staff walkout,MEDIUM,Pittsburgh,40.1133,-79.6932,2025-02-16T20:02:34,2025-02-18T21:51:14.055866,306,Capacity Reduction,127,Labor Strike near Pittsburgh — severity MEDIUM. Expected delays of up to 127 minutes.
EE00089,Customs Delay,Increased customs inspections,MEDIUM,Sacramento,39.1657,-121.4042,2024-08-20T12:43:01,2024-08-25T03:36:16.237639,393,Delay,174,Customs Delay near Sacramento — severity MEDIUM. Expected delays of up to 174 minutes.
EE00090,Customs Delay,System outage at customs,HIGH,San Antonio,30.1569,-97.9407,2024-06-18T11:43:04,2024-06-21T09:48:58.536094,470,Route Closure,446,Customs Delay near San Antonio — severity HIGH. Expected delays of up to 446 minutes.
EE00091,Infrastructure Failure,Power outage at facility,MEDIUM,Chicago,42.2131,-88.2708,2025-03-16T08:51:20,2025-03-22T06:52:05.925383,324,Route Closure,91,Infrastructure Failure near Chicago — severity MEDIUM. Expected delays of up to 91 minutes.
EE00092,Road Closure,Highway section closed for repairs,HIGH,Chattanooga,34.3197,-84.9758,2024-05-15T08:42:14,2024-05-16T02:09:43.463141,179,Delay,188,Road Closure near Chattanooga — severity HIGH. Expected delays of up to 188 minutes.
EE00093,Customs Delay,System outage at customs,LOW,Indianapolis,39.2221,-86.993,2024-02-24T16:03:35,2024-03-02T06:57:01.148870,52,Inspection Required,44,Customs Delay near Indianapolis — severity LOW. Expected delays of up to 44 minutes.
EE00094,Customs Delay,Documentation backlog,LOW,Denver,40.4155,-104.7054,2025-07-03T16:50:19,2025-07-06T14:28:20.206766,355,Inspection Required,36,Customs Delay near Denver — severity LOW. Expected delays of up to 36 minutes.
EE00095,Customs Delay,System outage at customs,MEDIUM,Portland,45.8153,-122.9113,2024-10-02T11:08:45,2024-10-04T17:05:52.362938,383,Route Closure,61,Customs Delay near Portland — severity MEDIUM. Expected delays of up to 61 minutes.
EE00096,Security Event,Security inspection delays,LOW,Omaha,41.4603,-95.2017,2025-12-10T08:30:40,2025-12-12T15:04:26.096731,128,Route Closure,26,Security Event near Omaha — severity LOW. Expected delays of up to 26 minutes.
EE00097,Geopolitical Event,Tariff increase announced,CRITICAL,Newark,41.5761,-74.8466,2025-08-17T20:45:15,2025-08-24T20:14:58.433661,88,Delay,1075,Geopolitical Event near Newark — severity CRITICAL. Expected delays of up to 1075 minutes.
EE00098,Public Event,Political rally road closures,HIGH,Miami,25.5828,-79.5302,2026-04-02T02:27:27,2026-04-02T14:20:52.808974,308,Delay,391,Public Event near Miami — severity HIGH. Expected delays of up to 391 minutes.
EE00099,Customs Delay,System outage at customs,LOW,Madison,43.8274,-89.7449,2024-07-08T13:00:01,2024-07-10T13:34:21.922803,302,Capacity Reduction,55,Customs Delay near Madison — severity LOW. Expected delays of up to 55 minutes.
EE00100,Security Event,Security inspection delays,CRITICAL,Billings,45.3213,-108.4625,2026-03-24T13:44:02,2026-03-25T19:40:50.336420,436,Inspection Required,752,Security Event near Billings — severity CRITICAL. Expected delays of up to 752 minutes.
EE00101,Labor Strike,Truck drivers work stoppage,LOW,Buffalo,43.6884,-79.4698,2026-01-04T14:31:54,2026-01-05T22:54:49.329609,470,Capacity Reduction,47,Labor Strike near Buffalo — severity LOW. Expected delays of up to 47 minutes.
EE00102,Security Event,Security inspection delays,MEDIUM,Memphis,35.4831,-90.0648,2026-05-22T05:42:01,2026-05-28T20:12:04.336418,367,Route Closure,109,Security Event near Memphis — severity MEDIUM. Expected delays of up to 109 minutes.
EE00103,Labor Strike,Port workers strike,CRITICAL,Orlando,28.9398,-81.4773,2024-04-03T10:16:06,2024-04-06T05:12:49.782670,55,Capacity Reduction,725,Labor Strike near Orlando — severity CRITICAL. Expected delays of up to 725 minutes.
EE00104,Infrastructure Failure,Rail track damage,LOW,Baltimore,38.8861,-77.0269,2024-07-23T11:41:09,2024-07-26T08:30:23.211338,135,Delay,45,Infrastructure Failure near Baltimore — severity LOW. Expected delays of up to 45 minutes.
EE00105,Infrastructure Failure,Rail track damage,CRITICAL,Jackson,33.2459,-90.1187,2026-01-12T13:38:49,2026-01-18T11:35:18.569279,80,Delay,1131,Infrastructure Failure near Jackson — severity CRITICAL. Expected delays of up to 1131 minutes.
EE00106,Road Closure,Bridge weight restriction,LOW,Phoenix,33.4589,-112.731,2024-01-11T10:46:59,2024-01-13T05:14:38.974378,322,Capacity Reduction,33,Road Closure near Phoenix — severity LOW. Expected delays of up to 33 minutes.
EE00107,Geopolitical Event,Tariff increase announced,LOW,Houston,30.0368,-94.8449,2025-02-26T01:02:24,2025-03-04T05:25:14.042549,295,Delay,16,Geopolitical Event near Houston — severity LOW. Expected delays of up to 16 minutes.
EE00108,Road Closure,Highway section closed for repairs,MEDIUM,Seattle,47.1556,-122.4267,2025-07-14T18:33:20,2025-07-20T07:19:48.359502,289,Delay,137,Road Closure near Seattle — severity MEDIUM. Expected delays of up to 137 minutes.
EE00109,Security Event,Heightened screening,MEDIUM,Jacksonville,30.387,-82.4354,2024-07-20T14:23:45,2024-07-21T09:42:22.091440,330,Capacity Reduction,158,Security Event near Jacksonville — severity MEDIUM. Expected delays of up to 158 minutes.
EE00110,Customs Delay,Increased customs inspections,MEDIUM,Minneapolis,44.8414,-93.3876,2024-12-31T01:48:19,2025-01-04T09:51:21.387961,237,Delay,159,Customs Delay near Minneapolis — severity MEDIUM. Expected delays of up to 159 minutes.
EE00111,Labor Strike,Port workers strike,LOW,Richmond,37.4992,-76.6812,2026-03-09T20:50:41,2026-03-13T09:26:39.517608,132,Inspection Required,22,Labor Strike near Richmond — severity LOW. Expected delays of up to 22 minutes.
EE00112,Customs Delay,Documentation backlog,MEDIUM,Indianapolis,39.0204,-86.7748,2026-03-29T07:53:49,2026-03-31T23:03:31.219484,155,Capacity Reduction,67,Customs Delay near Indianapolis — severity MEDIUM. Expected delays of up to 67 minutes.
EE00113,Geopolitical Event,Trade restrictions imposed,MEDIUM,Newark,39.8778,-73.5124,2026-05-16T12:28:14,2026-05-20T12:15:11.430207,446,Inspection Required,61,Geopolitical Event near Newark — severity MEDIUM. Expected delays of up to 61 minutes.
EE00114,Port Disruption,Port congestion surge,MEDIUM,Indianapolis,39.8199,-86.6578,2025-06-25T02:10:16,2025-06-27T16:59:11.775504,134,Capacity Reduction,76,Port Disruption near Indianapolis — severity MEDIUM. Expected delays of up to 76 minutes.
EE00115,Geopolitical Event,Trade restrictions imposed,MEDIUM,Spokane,48.1089,-118.419,2025-09-16T18:51:52,2025-09-20T12:28:39.565347,242,Capacity Reduction,61,Geopolitical Event near Spokane — severity MEDIUM. Expected delays of up to 61 minutes.
EE00116,Geopolitical Event,Trade restrictions imposed,MEDIUM,Memphis,34.882,-90.1261,2024-09-09T21:13:59,2024-09-13T10:43:41.214690,200,Route Closure,70,Geopolitical Event near Memphis — severity MEDIUM. Expected delays of up to 70 minutes.
EE00117,Security Event,Security inspection delays,HIGH,Indianapolis,40.4596,-85.2881,2024-07-31T14:07:44,2024-08-05T09:13:57.777901,90,Delay,180,Security Event near Indianapolis — severity HIGH. Expected delays of up to 180 minutes.
