risk_id,shipment_id,weather_score,traffic_score,congestion_score,transport_score,external_event_score,historical_score,shipment_characteristics_score,overall_risk_score,risk_level,sla_breach_probability,expected_delay_minutes,created_at
RISK00087,CURR00087,5.27,3.17,4.8,1.0,1.85,10.0,3,4.12,MEDIUM,0.56,123,2026-07-01T00:00:00
RISK00088,CURR00088,6.24,1.0,2.97,1.0,1.67,10.0,1,3.41,MEDIUM,0.43,40,2026-07-01T00:00:00
RISK00089,CURR00089,1.12,2.95,1.05,1.25,1.0,7.15,1,1.98,LOW,0.368,98,2026-07-01T00:00:00
RISK00090,CURR00090,2.44,2.13,3.0,1.0,1.0,10.0,1,2.76,LOW,0.329,64,2026-07-01T00:00:00
RISK00091,CURR00091,1.4,4.46,1.0,1.0,1.88,10.0,3,2.79,LOW,0.308,38,2026-07-01T00:00:00
RISK00092,CURR00092,4.72,3.27,2.58,1.0,2.32,10.0,1,3.43,MEDIUM,0.448,42,2026-07-01T00:00:00
RISK00093,CURR00093,5.43,7.68,1.26,1.0,1.0,10.0,1,3.84,MEDIUM,0.508,154,2026-07-01T00:00:00
RISK00094,CURR00094,6.09,2.77,4.2,1.0,3.71,10.0,1,4.09,MEDIUM,0.541,130,2026-07-01T00:00:00
RISK00095,CURR00095,5.57,1.24,1.74,1.0,3.41,10.0,1,3.24,MEDIUM,0.437,74,2026-07-01T00:00:00
RISK00096,CURR00096,1.25,5.75,6.73,1.0,1.0,5.78,1,3.39,MEDIUM,0.411,74,2026-07-01T00:00:00
RISK00097,CURR00097,2.35,1.0,6.46,1.0,1.0,9.38,1,3.2,MEDIUM,0.359,47,2026-07-01T00:00:00
RISK00098,CURR00098,6.27,1.22,4.5,1.0,1.73,10.0,1,3.76,MEDIUM,0.489,117,2026-07-01T00:00:00
RISK00099,CURR00099,5.73,2.15,3.27,1.0,1.68,10.0,3,3.74,MEDIUM,0.468,37,2026-07-01T00:00:00
RISK00100,CURR00100,5.4,1.0,3.62,1.0,3.79,8.33,1,3.42,MEDIUM,0.446,76,2026-07-01T00:00:00
RISK00101,CURR00101,3.32,3.47,3.89,1.0,3.91,7.2,1,3.32,MEDIUM,0.431,73,2026-07-01T00:00:00
RISK00102,CURR00102,8.05,2.81,6.45,1.0,3.07,10.0,1,4.88,MEDIUM,0.641,155,2026-07-01T00:00:00
RISK00103,CURR00103,1.76,4.72,1.79,1.0,2.58,10.0,1,2.93,LOW,0.362,43,2026-07-01T00:00:00
RISK00104,CURR00104,5.96,2.29,5.35,1.0,1.19,7.58,1,3.73,MEDIUM,0.552,171,2026-07-01T00:00:00
RISK00105,CURR00105,1.38,1.0,3.46,1.0,1.93,10.0,1,2.56,LOW,0.339,80,2026-07-01T00:00:00
RISK00106,CURR00106,4.87,4.36,2.9,1.25,1.0,10.0,1,3.6,MEDIUM,0.572,172,2026-07-01T00:00:00
RISK00107,CURR00107,6.42,4.32,4.5,1.0,2.67,10.0,3,4.55,MEDIUM,0.593,147,2026-07-01T00:00:00
RISK00108,CURR00108,3.26,6.4,3.54,1.0,3.61,10.0,3,4.13,MEDIUM,0.492,52,2026-07-01T00:00:00
RISK00109,CURR00109,1.7,6.38,1.0,1.0,1.17,7.92,3,2.86,LOW,0.328,58,2026-07-01T00:00:00
RISK00110,CURR00110,5.26,6.04,1.0,1.0,2.69,8.03,1,3.48,MEDIUM,0.472,104,2026-07-01T00:00:00
RISK00111,CURR00111,1.0,7.33,2.5,1.0,1.45,10.0,1,3.19,MEDIUM,0.367,66,2026-07-01T00:00:00
RISK00112,CURR00112,8.51,1.91,3.1,1.0,1.98,10.0,1,4.06,MEDIUM,0.552,66,2026-07-01T00:00:00
RISK00113,CURR00113,5.51,5.38,1.0,1.0,1.39,8.85,3,3.58,MEDIUM,0.453,71,2026-07-01T00:00:00
RISK00114,CURR00114,5.39,5.66,1.1,1.0,1.94,10.0,1,3.59,MEDIUM,0.545,139,2026-07-01T00:00:00
RISK00115,CURR00115,2.17,5.64,1.0,1.25,3.29,10.0,1,3.1,MEDIUM,0.497,76,2026-07-01T00:00:00
RISK00116,CURR00116,8.25,3.15,6.92,1.0,2.98,9.03,1,4.96,MEDIUM,0.651,119,2026-07-01T00:00:00
RISK00117,CURR00117,8.64,1.0,3.38,1.0,1.0,10.0,3,4.1,MEDIUM,0.577,149,2026-07-01T00:00:00
RISK00118,CURR00118,1.0,6.93,2.12,1.0,1.0,7.98,1,2.81,LOW,0.32,16,2026-07-01T00:00:00
RISK00119,CURR00119,6.81,1.25,1.71,2.5,2.77,10.0,1,3.64,MEDIUM,0.716,180,2026-07-01T00:00:00
RISK00120,CURR00120,1.0,6.39,6.5,1.0,2.22,10.0,1,3.93,MEDIUM,0.44,16,2026-07-01T00:00:00
RISK00121,CURR00121,4.93,5.34,5.27,1.0,3.54,10.0,1,4.45,MEDIUM,0.561,89,2026-07-01T00:00:00
RISK00122,CURR00122,3.67,4.25,3.67,1.0,3.12,10.0,1,3.67,MEDIUM,0.465,95,2026-07-01T00:00:00
RISK00123,CURR00123,6.88,4.54,1.0,1.0,1.0,7.15,3,3.52,MEDIUM,0.513,100,2026-07-01T00:00:00
RISK00124,CURR00124,5.57,3.7,1.0,1.0,1.01,10.0,3,3.42,MEDIUM,0.421,74,2026-07-01T00:00:00
RISK00125,CURR00125,1.0,4.57,1.0,1.0,1.12,10.0,3,2.65,LOW,0.277,19,2026-07-01T00:00:00
RISK00126,CURR00126,8.76,4.26,3.23,1.0,3.32,10.0,1,4.62,MEDIUM,0.632,120,2026-07-01T00:00:00
RISK00127,CURR00127,3.46,3.12,4.99,1.0,1.0,10.0,1,3.51,MEDIUM,0.473,64,2026-07-01T00:00:00
RISK00128,CURR00128,3.86,1.4,4.63,1.0,2.69,10.0,1,3.43,MEDIUM,0.42,51,2026-07-01T00:00:00
RISK00129,CURR00129,5.99,7.26,5.54,1.0,3.43,7.98,1,4.79,MEDIUM,0.629,141,2026-07-01T00:00:00
RISK00130,CURR00130,5.65,3.0,5.69,1.0,1.0,10.0,1,4.07,MEDIUM,0.513,131,2026-07-01T00:00:00
RISK00131,CURR00131,7.55,5.03,3.84,1.25,3.81,10.0,1,4.7,MEDIUM,0.751,207,2026-07-01T00:00:00
RISK00132,CURR00132,6.82,2.95,1.9,1.25,1.0,9.57,1,3.53,MEDIUM,0.587,144,2026-07-01T00:00:00
RISK00133,CURR00133,1.0,7.41,1.94,1.0,1.73,10.0,1,3.12,MEDIUM,0.346,41,2026-07-01T00:00:00
RISK00134,CURR00134,3.62,7.49,1.0,1.0,3.3,10.0,1,3.63,MEDIUM,0.454,87,2026-07-01T00:00:00
RISK00135,CURR00135,5.59,5.44,5.36,1.0,3.41,10.0,1,4.6,MEDIUM,0.584,130,2026-07-01T00:00:00
RISK00136,CURR00136,8.05,4.28,5.92,1.0,1.54,10.0,1,4.84,MEDIUM,0.695,227,2026-07-01T00:00:00
RISK00137,CURR00137,1.26,2.51,1.0,1.0,2.16,7.15,1,2.01,LOW,0.312,52,2026-07-01T00:00:00
RISK00138,CURR00138,6.79,1.0,1.28,1.0,1.3,10.0,1,3.14,MEDIUM,0.428,23,2026-07-01T00:00:00
RISK00139,CURR00139,8.33,2.08,5.7,1.0,1.0,10.0,1,4.47,MEDIUM,0.645,165,2026-07-01T00:00:00
RISK00140,CURR00140,1.0,6.35,3.9,1.0,3.62,1.0,1,2.64,LOW,0.356,67,2026-07-01T00:00:00
RISK00141,CURR00141,1.47,5.22,2.11,1.0,1.19,10.0,1,2.87,LOW,0.355,52,2026-07-01T00:00:00
RISK00142,CURR00142,3.25,6.94,6.4,1.0,1.85,10.0,3,4.61,MEDIUM,0.534,128,2026-07-01T00:00:00
RISK00143,CURR00143,6.85,7.06,2.47,1.0,1.81,8.33,1,4.19,MEDIUM,0.571,138,2026-07-01T00:00:00
RISK00144,CURR00144,3.25,1.0,6.34,1.0,3.1,7.65,1,3.39,MEDIUM,0.413,94,2026-07-01T00:00:00
RISK00145,CURR00145,3.88,1.0,4.41,1.0,3.98,10.0,1,3.46,MEDIUM,0.498,60,2026-07-01T00:00:00
RISK00146,CURR00146,8.61,3.02,3.18,1.0,2.57,10.0,1,4.32,MEDIUM,0.591,153,2026-07-01T00:00:00
RISK00147,CURR00147,4.48,1.0,3.8,1.0,3.34,10.0,3,3.59,MEDIUM,0.418,105,2026-07-01T00:00:00
RISK00148,CURR00148,4.52,5.23,1.19,1.0,2.37,8.75,1,3.29,MEDIUM,0.437,76,2026-07-01T00:00:00
RISK00149,CURR00149,7.68,5.02,5.6,1.0,2.03,7.65,1,4.63,MEDIUM,0.622,110,2026-07-01T00:00:00
RISK00150,CURR00150,1.25,6.66,2.13,1.0,2.07,10.0,1,3.13,MEDIUM,0.38,95,2026-07-01T00:00:00
RISK00151,CURR00151,4.05,5.12,6.1,1.0,3.89,10.0,3,4.64,MEDIUM,0.545,86,2026-07-01T00:00:00
RISK00152,CURR00152,4.97,5.44,3.8,1.25,1.37,9.55,1,3.95,MEDIUM,0.622,207,2026-07-01T00:00:00
RISK00153,CURR00153,5.77,1.12,1.0,1.0,1.6,10.0,3,3.13,MEDIUM,0.397,22,2026-07-01T00:00:00
RISK00154,CURR00154,2.26,1.45,6.34,1.0,2.61,10.0,1,3.45,MEDIUM,0.402,40,2026-07-01T00:00:00
RISK00155,CURR00155,1.0,1.16,1.15,1.0,2.78,10.0,1,2.13,LOW,0.232,10,2026-07-01T00:00:00
RISK00156,CURR00156,1.61,1.0,3.02,1.0,1.0,10.0,1,2.43,LOW,0.324,65,2026-07-01T00:00:00
RISK00157,CURR00157,8.35,5.35,4.83,2.5,1.28,10.0,3,5.24,HIGH,0.898,201,2026-07-01T00:00:00
RISK00158,CURR00158,7.76,1.0,1.0,1.25,1.78,6.25,3,3.19,MEDIUM,0.551,134,2026-07-01T00:00:00
RISK00159,CURR00159,6.74,2.1,4.07,1.0,3.98,10.0,1,4.12,MEDIUM,0.544,53,2026-07-01T00:00:00
RISK00160,CURR00160,2.17,6.21,4.66,1.0,1.0,10.0,1,3.65,MEDIUM,0.431,70,2026-07-01T00:00:00
RISK00161,CURR00161,1.0,7.13,6.74,1.0,3.02,10.0,1,4.17,MEDIUM,0.462,88,2026-07-01T00:00:00
RISK00162,CURR00162,1.33,5.27,4.84,1.0,3.48,10.0,1,3.62,MEDIUM,0.425,76,2026-07-01T00:00:00
RISK00163,CURR00163,6.43,6.06,3.19,1.0,3.82,10.0,1,4.46,MEDIUM,0.597,126,2026-07-01T00:00:00
RISK00164,CURR00164,1.0,4.89,6.09,1.0,2.55,10.0,1,3.66,MEDIUM,0.388,38,2026-07-01T00:00:00
RISK00165,CURR00165,1.0,4.2,6.39,1.0,1.86,10.0,1,3.54,MEDIUM,0.371,45,2026-07-01T00:00:00
RISK00166,CURR00166,8.65,2.37,6.33,1.0,2.89,10.0,1,4.89,MEDIUM,0.652,178,2026-07-01T00:00:00
RISK00167,CURR00167,2.88,4.69,5.57,1.0,3.38,10.0,1,3.98,MEDIUM,0.482,104,2026-07-01T00:00:00
RISK00168,CURR00168,2.68,1.49,6.48,1.0,1.52,10.0,3,3.66,MEDIUM,0.4,58,2026-07-01T00:00:00
RISK00169,CURR00169,1.8,1.98,3.7,1.0,2.98,9.43,1,2.89,LOW,0.402,75,2026-07-01T00:00:00
RISK00170,CURR00170,1.0,2.56,1.0,1.0,3.59,10.0,1,2.39,LOW,0.281,20,2026-07-01T00:00:00
RISK00171,CURR00171,1.0,1.23,1.0,1.0,3.82,10.0,1,2.22,LOW,0.242,16,2026-07-01T00:00:00
RISK00172,CURR00172,3.38,4.47,1.52,2.5,2.79,10.0,1,3.4,MEDIUM,0.659,173,2026-07-01T00:00:00
RISK00173,CURR00173,7.46,1.99,4.72,1.0,1.93,10.0,1,4.18,MEDIUM,0.561,139,2026-07-01T00:00:00
RISK00174,CURR00174,6.96,1.9,4.55,1.0,1.0,10.0,3,4.14,MEDIUM,0.569,184,2026-07-01T00:00:00
RISK00175,CURR00175,7.55,1.21,5.78,1.0,1.99,9.6,1,4.26,MEDIUM,0.615,43,2026-07-01T00:00:00
RISK00176,CURR00176,8.47,6.64,1.7,1.0,1.0,10.0,1,4.38,MEDIUM,0.601,51,2026-07-01T00:00:00
RISK00177,CURR00177,3.15,7.02,1.0,1.0,1.45,10.0,1,3.28,MEDIUM,0.417,79,2026-07-01T00:00:00
RISK00178,CURR00178,2.0,1.0,6.27,1.0,1.0,10.0,1,3.15,MEDIUM,0.409,115,2026-07-01T00:00:00
RISK00179,CURR00179,7.3,6.26,1.19,1.0,1.44,10.0,1,4.03,MEDIUM,0.558,126,2026-07-01T00:00:00
RISK00180,CURR00180,4.63,2.94,1.0,1.0,1.0,10.0,1,2.92,LOW,0.433,74,2026-07-01T00:00:00
RISK00181,CURR00181,7.86,1.11,2.55,1.0,1.0,10.0,1,3.6,MEDIUM,0.484,49,2026-07-01T00:00:00
RISK00182,CURR00182,8.58,6.9,3.23,1.0,3.63,10.0,1,5.01,HIGH,0.686,73,2026-07-01T00:00:00
RISK00183,CURR00183,1.0,5.71,6.06,1.0,3.63,10.0,3,4.08,MEDIUM,0.443,86,2026-07-01T00:00:00
RISK00184,CURR00184,1.0,2.65,1.96,1.0,1.01,10.0,3,2.54,LOW,0.271,35,2026-07-01T00:00:00
RISK00185,CURR00185,1.08,6.08,3.86,1.0,1.6,10.0,1,3.31,MEDIUM,0.381,34,2026-07-01T00:00:00
RISK00186,CURR00186,1.42,5.18,1.0,1.0,2.63,10.0,1,2.77,LOW,0.33,60,2026-07-01T00:00:00
RISK00187,CURR00187,4.94,4.39,2.98,1.0,1.71,10.0,1,3.66,MEDIUM,0.471,86,2026-07-01T00:00:00
RISK00188,CURR00188,1.96,1.0,1.0,1.0,2.75,10.0,1,2.27,LOW,0.317,48,2026-07-01T00:00:00
RISK00189,CURR00189,7.2,1.0,1.0,1.0,1.0,10.0,1,3.14,MEDIUM,0.474,157,2026-07-01T00:00:00
RISK00190,CURR00190,4.29,1.51,6.04,1.0,1.0,7.32,1,3.38,MEDIUM,0.416,149,2026-07-01T00:00:00
RISK00191,CURR00191,1.27,7.3,4.26,1.25,2.58,10.0,1,3.75,MEDIUM,0.563,95,2026-07-01T00:00:00
RISK00192,CURR00192,2.56,7.07,4.12,1.0,2.44,10.0,1,3.89,MEDIUM,0.48,22,2026-07-01T00:00:00
RISK00193,CURR00193,4.48,4.39,6.07,1.0,1.8,10.0,1,4.2,MEDIUM,0.583,47,2026-07-01T00:00:00
RISK00194,CURR00194,3.35,3.14,5.42,1.0,1.0,10.0,1,3.58,MEDIUM,0.428,62,2026-07-01T00:00:00
RISK00195,CURR00195,1.39,7.75,4.17,1.0,1.27,10.0,1,3.65,MEDIUM,0.497,46,2026-07-01T00:00:00
RISK00196,CURR00196,7.51,4.43,6.04,2.5,1.0,10.0,1,4.95,MEDIUM,0.858,242,2026-07-01T00:00:00
RISK00197,CURR00197,5.94,3.59,3.08,1.0,3.12,10.0,1,3.9,MEDIUM,0.516,75,2026-07-01T00:00:00
RISK00198,CURR00198,1.02,3.1,4.69,1.0,1.33,10.0,1,2.99,LOW,0.4,85,2026-07-01T00:00:00
RISK00199,CURR00199,2.57,4.12,5.66,2.5,2.61,10.0,1,4.0,MEDIUM,0.712,194,2026-07-01T00:00:00
RISK00200,CURR00200,3.82,7.65,2.42,1.0,1.57,10.0,1,3.8,MEDIUM,0.485,85,2026-07-01T00:00:00
RISK00201,CURR00201,4.12,1.7,5.57,1.0,1.0,10.0,1,3.54,MEDIUM,0.427,86,2026-07-01T00:00:00
RISK00202,CURR00202,5.76,4.19,2.17,1.0,1.15,10.0,1,3.58,MEDIUM,0.48,131,2026-07-01T00:00:00
RISK00203,CURR00203,7.23,1.82,2.91,1.0,1.0,7.98,1,3.45,MEDIUM,0.536,142,2026-07-01T00:00:00
RISK00204,CURR00204,6.95,6.99,1.54,1.0,3.46,10.0,1,4.34,MEDIUM,0.59,117,2026-07-01T00:00:00
RISK00205,CURR00205,5.64,3.81,1.77,1.0,3.94,10.0,3,3.9,MEDIUM,0.494,75,2026-07-01T00:00:00
