route_id,total_shipments,average_delay_minutes,median_delay_minutes,delay_rate,sla_breach_rate,average_weather_exposure,average_traffic_exposure,average_congestion_exposure,route_reliability_score
RT-LOC004-LOC009-LOC054,5,149.4,134.0,0.6,0.6,0.6214000000000001,0.4426,0.3672,0.4
RT-LOC004-LOC009-LOC055,28,112.3,104.5,0.321,0.321,0.44810714285714287,0.5046428571428572,0.41617857142857145,0.679
RT-LOC004-LOC052,5,135.0,142.0,0.8,0.8,0.4606,0.094,0.44559999999999994,0.2
RT-LOC004-LOC052-LOC053,4,117.0,116.0,0.0,0.0,0.42725,0.42225,0.32575,1.0
RT-LOC005-LOC002,2,99.0,99.0,0.5,0.5,0.3615,0.7050000000000001,0.20950000000000002,0.5
RT-LOC005-LOC002-LOC029,122,125.9,118.0,0.475,0.475,0.48263934426229504,0.5280983606557377,0.4134344262295082,0.525
RT-LOC005-LOC017,4,121.8,100.0,0.25,0.25,0.38525,0.21275,0.4015,0.75
RT-LOC005-LOC017-LOC006,69,110.2,107.0,0.464,0.464,0.43704347826086953,0.5792608695652174,0.39307246376811594,0.536
RT-LOC005-LOC018,6,126.0,135.0,0.333,0.333,0.4278333333333333,0.4985,0.37833333333333335,0.667
RT-LOC005-LOC018-LOC012,15,142.6,130.0,0.667,0.667,0.32253333333333334,0.46193333333333336,0.3608,0.333
RT-LOC005-LOC018-LOC019,28,126.6,101.0,0.571,0.571,0.3685714285714286,0.35753571428571423,0.3912857142857143,0.429
RT-LOC005-LOC018-LOC061,7,94.9,98.0,0.571,0.571,0.2842857142857143,0.5032857142857143,0.39385714285714285,0.429
RT-LOC005-LOC018-LOC062,106,91.1,83.0,0.321,0.321,0.16382075471698113,0.4044811320754717,0.41626415094339625,0.679
RT-LOC005-LOC059,4,117.2,110.5,0.25,0.25,0.16799999999999998,0.9259999999999999,0.53625,0.75
RT-LOC005-LOC059-LOC060,27,130.6,115.0,0.556,0.556,0.29603703703703704,0.6742962962962963,0.37292592592592594,0.444
RT-LOC006-LOC003,4,180.5,146.5,0.25,0.25,0.3745,0.66425,0.33825,0.75
RT-LOC006-LOC003-LOC007,112,121.5,116.5,0.446,0.446,0.46432142857142855,0.5340892857142857,0.4042589285714286,0.554
RT-LOC006-LOC059,5,87.8,82.0,0.6,0.6,0.3364,0.31379999999999997,0.26180000000000003,0.4
RT-LOC006-LOC059-LOC005,255,117.1,104.0,0.455,0.455,0.3461098039215686,0.49617647058823533,0.4178313725490196,0.545
RT-LOC006-LOC059-LOC017,8,73.9,61.5,0.375,0.375,0.341875,0.520625,0.30862500000000004,0.625
RT-LOC006-LOC059-LOC060,30,117.7,116.5,0.633,0.633,0.3063,0.4496333333333334,0.5021,0.367
RT-LOC007-LOC006,5,145.2,135.0,0.8,0.8,0.4084,0.558,0.44020000000000004,0.2
RT-LOC007-LOC006-LOC003,5,164.8,139.0,0.4,0.4,0.3738,0.5972,0.3518,0.6
RT-LOC007-LOC006-LOC059,298,114.3,105.0,0.46,0.46,0.36008389261744966,0.49000671140939595,0.4028389261744967,0.54
RT-LOC007-LOC052,2,136.0,136.0,0.5,0.5,0.4575,0.622,0.798,0.5
RT-LOC007-LOC052-LOC009,74,126.8,110.0,0.568,0.568,0.46904054054054056,0.5171351351351351,0.3947162162162162,0.432
RT-LOC007-LOC052-LOC053,8,106.9,122.5,0.375,0.375,0.438,0.409,0.47300000000000003,0.625
RT-LOC008-LOC009,12,142.7,140.5,0.833,0.833,0.46608333333333335,0.7555833333333334,0.38775,0.167
RT-LOC008-LOC009-LOC010,365,118.0,106.0,0.43,0.43,0.3216876712328767,0.5515945205479452,0.40137808219178084,0.57
RT-LOC008-LOC009-LOC054,10,127.5,124.5,0.7,0.7,0.4756,0.5967,0.2779,0.3
RT-LOC008-LOC009-LOC055,26,126.5,120.5,0.462,0.462,0.42196153846153844,0.581076923076923,0.38919230769230767,0.538
RT-LOC009-LOC008,6,101.7,104.5,0.333,0.333,0.321,0.5993333333333334,0.4041666666666666,0.667
RT-LOC009-LOC010,7,119.6,119.0,0.571,0.571,0.3258571428571429,0.6634285714285715,0.4431428571428571,0.429
RT-LOC009-LOC010-LOC020,376,111.7,103.5,0.436,0.436,0.31218617021276596,0.5199255319148935,0.39878191489361703,0.564
RT-LOC009-LOC054,5,167.0,178.0,0.2,0.2,0.5551999999999999,0.43579999999999997,0.403,0.8
RT-LOC009-LOC054-LOC053,5,123.0,138.0,0.6,0.6,0.5896000000000001,0.317,0.21939999999999998,0.4
RT-LOC009-LOC055,7,92.0,83.0,0.286,0.286,0.31285714285714283,0.40099999999999997,0.42842857142857144,0.714
RT-LOC009-LOC055-LOC056,7,126.9,112.0,0.286,0.286,0.3575714285714286,0.40071428571428575,0.3895714285714286,0.714
RT-LOC009-LOC055-LOC057,9,112.3,110.0,0.333,0.333,0.43277777777777776,0.47611111111111115,0.4708888888888889,0.667
RT-LOC009-LOC055-LOC058,6,84.5,83.0,0.833,0.833,0.37399999999999994,0.5873333333333334,0.33016666666666666,0.167
RT-LOC010-LOC008,4,72.0,69.0,0.75,0.75,0.41925,0.3405,0.39675,0.25
RT-LOC010-LOC008-LOC009,39,124.4,114.0,0.41,0.41,0.3809230769230769,0.5518461538461538,0.45407692307692304,0.59
RT-LOC010-LOC020,4,99.5,96.0,0.0,0.0,0.25675,0.087,0.6255,1.0
RT-LOC010-LOC020-LOC021,189,128.2,118.0,0.46,0.46,0.39874074074074073,0.5104021164021164,0.4120264550264551,0.54
RT-LOC010-LOC020-LOC022,6,113.0,117.0,0.333,0.333,0.35600000000000004,0.2795,0.41416666666666674,0.667
RT-LOC010-LOC020-LOC023,165,101.6,93.0,0.382,0.382,0.23853939393939394,0.4727636363636364,0.38253333333333334,0.618
RT-LOC011-LOC056,3,151.7,134.0,1.0,1.0,0.4483333333333333,0.7333333333333334,0.4423333333333333,0.0
RT-LOC011-LOC056-LOC054,380,119.9,109.0,0.518,0.518,0.34421315789473683,0.5555526315789474,0.4028342105263158,0.482
RT-LOC011-LOC057,6,109.3,104.5,0.667,0.667,0.5978333333333333,0.6805,0.19516666666666668,0.333
RT-LOC011-LOC058,4,180.0,177.0,1.0,1.0,0.59825,0.89825,0.45,0.0
RT-LOC011-LOC058-LOC055,6,104.0,112.0,0.5,0.5,0.4681666666666667,0.556,0.5441666666666666,0.5
RT-LOC012-LOC018,4,119.5,90.5,0.0,0.0,0.223,0.34775,0.37024999999999997,1.0
RT-LOC012-LOC018-LOC019,79,115.8,105.0,0.43,0.43,0.3329367088607595,0.3278860759493671,0.37875949367088607,0.57
RT-LOC012-LOC018-LOC059,70,108.1,98.0,0.443,0.443,0.3437857142857143,0.5477142857142857,0.433,0.557
RT-LOC012-LOC018-LOC061,13,119.1,90.0,0.231,0.231,0.1992307692307692,0.4296153846153846,0.3436153846153846,0.769
RT-LOC012-LOC018-LOC062,32,89.1,76.0,0.312,0.312,0.17371875,0.35146875,0.37853125,0.688
RT-LOC012-LOC030,4,87.0,77.5,0.25,0.25,0.22975,0.37475,0.48200000000000004,0.75
RT-LOC012-LOC030-LOC016,28,111.8,101.0,0.357,0.357,0.3549285714285714,0.5231071428571429,0.4104285714285714,0.643
RT-LOC012-LOC064,7,141.0,114.0,0.143,0.143,0.3348571428571429,0.7432857142857143,0.584,0.857
RT-LOC012-LOC067,10,146.4,137.0,0.5,0.5,0.3476,0.7272000000000001,0.3823,0.5
RT-LOC012-LOC067-LOC065,104,109.5,106.5,0.423,0.423,0.16846153846153847,0.5261538461538462,0.41292307692307695,0.577
RT-LOC012-LOC067-LOC068,52,125.1,109.0,0.481,0.481,0.29128846153846155,0.5781346153846154,0.38907692307692304,0.519
RT-LOC013-LOC019,6,69.7,61.5,0.333,0.333,0.13483333333333333,0.29233333333333333,0.36366666666666664,0.667
RT-LOC013-LOC019-LOC022,67,115.2,111.0,0.388,0.388,0.3177910447761194,0.3387313432835821,0.4276567164179104,0.612
RT-LOC013-LOC019-LOC023,5,102.4,99.0,0.4,0.4,0.2542,0.5780000000000001,0.3124,0.6
RT-LOC013-LOC024,3,114.0,121.0,0.333,0.333,0.063,0.484,0.5453333333333333,0.667
RT-LOC013-LOC024-LOC026,10,101.1,97.5,0.3,0.3,0.1336,0.33540000000000003,0.5334000000000001,0.7
RT-LOC013-LOC024-LOC027,10,72.1,69.5,0.3,0.3,0.039999999999999994,0.3358,0.27959999999999996,0.7
RT-LOC013-LOC060,4,220.5,172.5,1.0,1.0,0.55025,0.78825,0.50575,0.0
RT-LOC013-LOC060-LOC059,128,121.0,116.0,0.594,0.594,0.4089375,0.56634375,0.3960703125,0.406
RT-LOC013-LOC061,3,124.3,105.0,0.0,0.0,0.2643333333333333,0.25633333333333336,0.44333333333333336,1.0
RT-LOC013-LOC061-LOC018,15,137.9,116.0,0.267,0.267,0.27540000000000003,0.5128,0.3439333333333333,0.733
RT-LOC013-LOC062,6,114.0,96.0,0.333,0.333,0.1745,0.6883333333333334,0.3925,0.667
RT-LOC013-LOC062-LOC066,133,88.4,78.0,0.293,0.293,0.12821804511278195,0.4448496240601504,0.44135338345864666,0.707
RT-LOC013-LOC063,5,105.6,96.0,0.4,0.4,0.3654,0.492,0.5072,0.6
RT-LOC014-LOC031,4,45.2,45.0,0.0,0.0,0.0765,0.14325,0.38375000000000004,1.0
RT-LOC014-LOC031-LOC068,2,134.5,134.5,1.0,1.0,0.111,0.6335,0.15000000000000002,0.0
RT-LOC014-LOC031-LOC069,47,98.4,85.0,0.489,0.489,0.26585106382978724,0.27714893617021275,0.4299574468085106,0.511
RT-LOC014-LOC031-LOC070,73,102.3,96.0,0.521,0.521,0.2842465753424658,0.4706849315068493,0.40515068493150685,0.479
RT-LOC014-LOC032,3,102.3,97.0,0.0,0.0,0.299,0.5623333333333334,0.5379999999999999,1.0
RT-LOC014-LOC032-LOC033,54,92.5,79.5,0.481,0.481,0.16199999999999998,0.528425925925926,0.35109259259259257,0.519
RT-LOC014-LOC032-LOC065,184,113.5,104.0,0.424,0.424,0.24519565217391304,0.6071739130434782,0.3995815217391304,0.576
RT-LOC014-LOC034,4,83.0,87.0,0.75,0.75,0.0945,0.452,0.49975,0.25
RT-LOC015-LOC036,6,156.7,136.5,0.667,0.667,0.4668333333333334,0.8018333333333333,0.2906666666666667,0.333
RT-LOC015-LOC036-LOC048,14,133.1,133.5,0.5,0.5,0.40535714285714286,0.7220000000000001,0.3192857142857143,0.5
RT-LOC015-LOC045-LOC038,41,95.3,84.0,0.341,0.341,0.28448780487804876,0.3291707317073171,0.39292682926829264,0.659
RT-LOC015-LOC045-LOC074,25,99.7,98.0,0.4,0.4,0.35636,0.44920000000000004,0.41647999999999996,0.6
RT-LOC015-LOC069,7,154.1,142.0,0.571,0.571,0.5588571428571428,0.43785714285714283,0.5675714285714285,0.429
RT-LOC015-LOC069-LOC016,230,106.8,101.0,0.461,0.461,0.34956086956521737,0.42026521739130435,0.4101304347826087,0.539
RT-LOC015-LOC069-LOC031,35,109.7,97.0,0.371,0.371,0.3394857142857143,0.4566,0.3534285714285715,0.629
RT-LOC015-LOC069-LOC070,36,122.6,121.0,0.583,0.583,0.39452777777777776,0.5245000000000001,0.43333333333333335,0.417
RT-LOC015-LOC073,5,121.8,124.0,0.2,0.2,0.4396,0.44820000000000004,0.39180000000000004,0.8
RT-LOC016-LOC030,4,123.8,128.5,0.75,0.75,0.63575,0.458,0.28574999999999995,0.25
RT-LOC016-LOC030-LOC002,59,126.1,116.0,0.542,0.542,0.41661016949152546,0.6353898305084745,0.4255593220338983,0.458
RT-LOC016-LOC030-LOC012,142,105.7,99.5,0.444,0.444,0.32618309859154926,0.4145352112676056,0.39253521126760565,0.556
RT-LOC016-LOC030-LOC067,108,105.0,92.5,0.352,0.352,0.2652037037037037,0.44136111111111115,0.4005185185185185,0.648
RT-LOC016-LOC049,5,91.0,93.0,0.2,0.2,0.3574,0.182,0.4452,0.8
RT-LOC016-LOC049-LOC050,11,114.5,104.0,0.545,0.545,0.2768181818181818,0.5305454545454545,0.4485454545454546,0.455
RT-LOC016-LOC049-LOC071,7,90.9,85.0,0.286,0.286,0.3267142857142857,0.3581428571428571,0.4947142857142857,0.714
RT-LOC016-LOC049-LOC072,6,121.0,120.5,0.833,0.833,0.4066666666666667,0.43,0.4303333333333333,0.167
RT-LOC016-LOC068,10,97.0,95.0,0.2,0.2,0.2967,0.2683,0.4361,0.8
RT-LOC016-LOC069,6,92.8,79.0,0.5,0.5,0.4613333333333333,0.23983333333333334,0.33416666666666667,0.5
RT-LOC016-LOC069-LOC015,37,111.5,106.0,0.541,0.541,0.37145945945945946,0.33675675675675676,0.38972972972972975,0.459
RT-LOC016-LOC070,4,88.0,87.0,0.25,0.25,0.31175,0.7095,0.40625,0.75
RT-LOC016-LOC070-LOC031,9,168.3,116.0,0.556,0.556,0.41344444444444445,0.6154444444444445,0.4934444444444444,0.444
RT-LOC017-LOC002,5,110.2,102.0,0.4,0.4,0.2946,0.6866,0.3144,0.6
RT-LOC017-LOC002-LOC029,153,131.5,120.0,0.51,0.51,0.4557320261437909,0.5415686274509803,0.3897843137254902,0.49
RT-LOC017-LOC006,2,127.0,127.0,0.5,0.5,0.27249999999999996,0.9405,0.5215000000000001,0.5
RT-LOC017-LOC006-LOC003,96,124.1,117.0,0.469,0.469,0.4441145833333333,0.6489166666666667,0.37311458333333336,0.531
RT-LOC017-LOC059,5,112.8,91.0,0.6,0.6,0.49939999999999996,0.593,0.281,0.4
RT-LOC017-LOC059-LOC005,120,109.6,103.0,0.4,0.4,0.28839166666666666,0.5014583333333333,0.3858666666666667,0.6
RT-LOC017-LOC059-LOC060,36,138.1,131.0,0.306,0.306,0.36091666666666666,0.5715277777777777,0.4202222222222222,0.694
RT-LOC018-LOC012,5,130.4,128.0,0.4,0.4,0.1146,0.33120000000000005,0.4718,0.6
RT-LOC018-LOC012-LOC030,8,135.9,107.5,0.5,0.5,0.210375,0.390125,0.41400000000000003,0.5
RT-LOC018-LOC012-LOC064,4,129.8,143.5,0.5,0.5,0.199,0.65575,0.49025,0.5
RT-LOC018-LOC012-LOC067,25,118.4,109.0,0.36,0.36,0.26452,0.48256,0.38756,0.64
RT-LOC018-LOC019,11,73.6,63.0,0.545,0.545,0.27554545454545454,0.19872727272727272,0.3831818181818182,0.455
RT-LOC018-LOC019-LOC022,69,102.7,101.0,0.319,0.319,0.3441304347826087,0.311463768115942,0.4593768115942029,0.681
RT-LOC018-LOC019-LOC023,2,111.5,111.5,0.0,0.0,0.35750000000000004,0.346,0.5175000000000001,1.0
RT-LOC018-LOC059,4,175.8,124.5,1.0,1.0,0.31425000000000003,0.59575,0.473,0.0
RT-LOC018-LOC059-LOC005,51,105.3,97.0,0.588,0.588,0.42513725490196075,0.5582156862745098,0.3608823529411765,0.412
RT-LOC018-LOC059-LOC006,16,124.4,108.0,0.375,0.375,0.275875,0.4763125,0.3690625,0.625
RT-LOC018-LOC059-LOC017,6,94.3,97.0,0.5,0.5,0.32866666666666666,0.6061666666666666,0.43933333333333335,0.5
RT-LOC018-LOC061,5,91.0,92.0,0.4,0.4,0.1414,0.4208,0.4382,0.6
RT-LOC018-LOC061-LOC013,9,94.1,75.0,0.444,0.444,0.22766666666666666,0.328,0.34788888888888886,0.556
RT-LOC018-LOC061-LOC060,7,109.9,105.0,0.429,0.429,0.21371428571428572,0.6052857142857143,0.38471428571428573,0.571
RT-LOC018-LOC062,8,60.5,49.5,0.375,0.375,0.085875,0.31525000000000003,0.427625,0.625
RT-LOC018-LOC062-LOC063,21,96.0,93.0,0.381,0.381,0.17461904761904762,0.4010952380952381,0.4134285714285714,0.619
RT-LOC018-LOC062-LOC066,132,85.2,77.0,0.303,0.303,0.12543181818181817,0.39649242424242426,0.3979696969696969,0.697
RT-LOC019-LOC013,3,75.0,71.0,0.333,0.333,0.38433333333333336,0.548,0.18033333333333335,0.667
RT-LOC019-LOC013-LOC024,28,80.2,70.5,0.286,0.286,0.15596428571428572,0.46203571428571427,0.3697142857142857,0.714
RT-LOC019-LOC013-LOC061,23,131.3,121.0,0.565,0.565,0.2979565217391304,0.5652608695652174,0.32560869565217393,0.435
RT-LOC019-LOC013-LOC062,113,93.5,91.0,0.354,0.354,0.1587433628318584,0.47323893805309736,0.4264601769911504,0.646
RT-LOC019-LOC013-LOC063,5,98.4,97.0,0.8,0.8,0.3912,0.5828,0.41180000000000005,0.2
RT-LOC019-LOC022,4,72.0,63.5,0.25,0.25,0.188,0.369,0.3405,0.75
RT-LOC019-LOC022-LOC021,69,114.4,109.0,0.406,0.406,0.37231884057971015,0.3807101449275362,0.37279710144927536,0.594
RT-LOC019-LOC023,7,114.4,105.0,0.143,0.143,0.35314285714285715,0.764,0.4174285714285714,0.857
RT-LOC019-LOC060,3,118.0,109.0,0.333,0.333,0.10266666666666667,0.6819999999999999,0.158,0.667
RT-LOC019-LOC060-LOC059,152,110.3,101.0,0.454,0.454,0.3660592105263158,0.5269605263157895,0.38061184210526317,0.546
RT-LOC020-LOC010,8,187.6,174.0,0.5,0.5,0.567875,0.90875,0.337125,0.5
RT-LOC020-LOC010-LOC008,30,130.7,124.0,0.367,0.367,0.40913333333333335,0.6044333333333333,0.40996666666666665,0.633
RT-LOC020-LOC021,4,128.5,132.0,0.5,0.5,0.292,0.657,0.496,0.5
RT-LOC020-LOC021-LOC004,184,126.7,114.5,0.516,0.516,0.40794565217391304,0.5839619565217391,0.3890271739130435,0.484
RT-LOC020-LOC022,5,142.6,143.0,0.4,0.4,0.372,0.5646,0.42200000000000004,0.6
RT-LOC020-LOC023,7,158.4,170.0,0.429,0.429,0.3181428571428571,0.8374285714285714,0.3568571428571428,0.571
RT-LOC020-LOC023-LOC019,167,99.6,88.0,0.383,0.383,0.2280179640718563,0.5473832335329342,0.39850898203592816,0.617
RT-LOC021-LOC004,4,86.2,77.5,0.25,0.25,0.36975,0.552,0.40725,0.75
RT-LOC021-LOC004-LOC003,6,123.8,98.5,0.833,0.833,0.5033333333333333,0.7791666666666667,0.5251666666666667,0.167
RT-LOC021-LOC004-LOC007,161,119.8,113.0,0.571,0.571,0.4146086956521739,0.5443913043478261,0.3852670807453416,0.429
RT-LOC021-LOC004-LOC009,46,132.3,121.5,0.609,0.609,0.4587173913043478,0.4907173913043478,0.4210217391304348,0.391
RT-LOC021-LOC004-LOC052,11,142.7,122.0,0.636,0.636,0.44245454545454543,0.3277272727272727,0.4098181818181818,0.364
RT-LOC021-LOC010,4,96.0,96.0,0.5,0.5,0.33999999999999997,0.38625,0.6405,0.5
RT-LOC021-LOC020,10,127.5,97.5,0.4,0.4,0.5402,0.1849,0.33599999999999997,0.6
RT-LOC021-LOC020-LOC023,144,112.2,101.5,0.361,0.361,0.2765486111111111,0.49320833333333336,0.3892083333333333,0.639
RT-LOC021-LOC022,8,134.9,106.5,0.5,0.5,0.297375,0.581375,0.42325,0.5
RT-LOC022-LOC021,7,92.1,99.0,0.286,0.286,0.2928571428571428,0.13399999999999998,0.41685714285714287,0.714
RT-LOC022-LOC021-LOC004,203,126.7,120.0,0.463,0.463,0.41372906403940884,0.4728128078817734,0.3841428571428571,0.537
RT-LOC022-LOC021-LOC010,4,79.0,78.5,0.5,0.5,0.281,0.1955,0.53825,0.5
RT-LOC022-LOC021-LOC020,164,110.2,102.0,0.457,0.457,0.28853048780487806,0.43324390243902444,0.3826219512195122,0.543
RT-LOC023-LOC019,9,88.4,85.0,0.667,0.667,0.3427777777777778,0.7125555555555556,0.3327777777777778,0.333
RT-LOC023-LOC019-LOC013,155,93.9,84.0,0.381,0.381,0.21443225806451613,0.5121741935483871,0.3638,0.619
RT-LOC023-LOC019-LOC060,125,118.0,111.0,0.464,0.464,0.382504,0.558712,0.39593599999999995,0.536
RT-LOC023-LOC020,2,134.0,134.0,1.0,1.0,0.3435,0.6545000000000001,0.41050000000000003,0.0
RT-LOC023-LOC020-LOC010,11,130.4,138.0,0.364,0.364,0.4218181818181818,0.6965454545454546,0.40645454545454546,0.636
RT-LOC023-LOC022,8,93.2,68.0,0.25,0.25,0.29675,0.509125,0.23525000000000001,0.75
RT-LOC023-LOC022-LOC021,86,119.6,105.0,0.512,0.512,0.41048837209302325,0.42296511627906974,0.40354651162790695,0.488
RT-LOC024-LOC013,5,78.8,80.0,0.2,0.2,0.0,0.8106,0.5958,0.8
RT-LOC024-LOC013-LOC019,69,103.2,90.0,0.449,0.449,0.27520289855072466,0.4244492753623188,0.4112173913043478,0.551
RT-LOC024-LOC013-LOC060,114,111.8,101.0,0.553,0.553,0.3328859649122807,0.5635701754385964,0.4246842105263158,0.447
RT-LOC024-LOC013-LOC061,18,100.1,76.5,0.278,0.278,0.13594444444444445,0.5154444444444445,0.3773888888888889,0.722
RT-LOC024-LOC026,7,80.4,86.0,0.571,0.571,0.22942857142857145,0.227,0.37071428571428566,0.429
RT-LOC024-LOC027,5,39.6,31.0,0.2,0.2,0.027600000000000003,0.154,0.3288,0.8
RT-LOC024-LOC027-LOC025,6,126.8,109.0,0.667,0.667,0.016666666666666666,0.48866666666666675,0.49700000000000005,0.333
RT-LOC024-LOC027-LOC063,149,91.0,77.0,0.369,0.369,0.12175167785234899,0.4129530201342282,0.3814026845637584,0.631
RT-LOC025-LOC026,2,133.0,133.0,0.0,0.0,0.23249999999999998,0.404,0.608,1.0
RT-LOC025-LOC027,7,50.7,59.0,0.143,0.143,0.0,0.2317142857142857,0.35400000000000004,0.857
RT-LOC025-LOC027-LOC024,8,47.2,35.5,0.5,0.5,0.0435,0.344625,0.37675000000000003,0.5
RT-LOC025-LOC027-LOC063,390,101.3,92.0,0.405,0.405,0.19326923076923078,0.44885641025641027,0.3917205128205128,0.595
RT-LOC026-LOC027,8,92.5,100.5,0.25,0.25,0.0,0.214625,0.42112499999999997,0.75
RT-LOC026-LOC027-LOC024,3,44.7,51.0,0.333,0.333,0.032,0.23299999999999998,0.264,0.667
RT-LOC026-LOC027-LOC025,5,93.2,79.0,0.4,0.4,0.0,0.44239999999999996,0.595,0.6
RT-LOC026-LOC027-LOC063,381,100.8,88.0,0.404,0.404,0.18171391076115487,0.4403333333333333,0.3959580052493439,0.596
RT-LOC027-LOC024,3,107.7,127.0,1.0,1.0,0.07366666666666667,0.4586666666666666,0.448,0.0
RT-LOC027-LOC025,5,79.6,99.0,0.6,0.6,0.0,0.4838,0.5224,0.4
RT-LOC027-LOC026,6,109.7,121.0,0.333,0.333,0.18983333333333333,0.8488333333333333,0.32116666666666666,0.667
RT-LOC027-LOC063,6,101.2,95.0,0.0,0.0,0.0,0.7520000000000001,0.4003333333333334,1.0
RT-LOC027-LOC063-LOC013,35,112.4,115.0,0.343,0.343,0.16362857142857143,0.5196,0.4774857142857143,0.657
RT-LOC027-LOC063-LOC061,190,112.6,96.0,0.463,0.463,0.3265105263157895,0.5295578947368421,0.3996473684210526,0.537
RT-LOC027-LOC063-LOC062,43,110.1,99.0,0.465,0.465,0.21541860465116278,0.5666279069767441,0.4523953488372093,0.535
RT-LOC027-LOC063-LOC064,6,78.8,73.5,0.5,0.5,0.06949999999999999,0.525,0.324,0.5
RT-LOC027-LOC063-LOC066,140,95.4,84.0,0.35,0.35,0.12409285714285716,0.3948285714285715,0.4121,0.65
RT-LOC028-LOC050,7,133.6,68.0,0.714,0.714,0.682,0.2385714285714286,0.2611428571428571,0.286
RT-LOC028-LOC050-LOC016,292,115.6,108.5,0.476,0.476,0.4161335616438356,0.4447568493150685,0.3928356164383562,0.524
RT-LOC028-LOC051,5,168.2,137.0,0.4,0.4,0.5686,0.4774,0.5742,0.6
RT-LOC028-LOC051-LOC029,90,137.0,125.5,0.489,0.489,0.5325,0.48097777777777784,0.40900000000000003,0.511
RT-LOC028-LOC071,8,123.2,119.5,0.625,0.625,0.316125,0.677125,0.41925,0.375
