event_id,event_type,severity,latitude,longitude,affected_radius_km,start_time,end_time,temperature,precipitation,wind_speed,visibility,delay_multiplier,expected_delay_minutes
WE00042,Fog,HIGH,24.7166,-78.3713,409,2026-04-13T00:01:56,2026-04-15T13:16:11.968224,17.7,112.7,104.6,2.2,2.62,173
WE00043,Thunderstorm,HIGH,48.0884,-119.3379,310,2024-07-12T21:51:23,2024-07-15T06:33:41.005443,5.3,177.3,138.4,0.7,2.85,212
WE00044,Extreme Wind,CRITICAL,36.5824,-87.9842,603,2025-08-11T00:47:04,2025-08-12T12:54:30.726563,26.9,4.0,26.2,1.4,4.9,382
WE00045,Ice,LOW,26.8698,-95.1585,72,2024-05-02T09:53:03,2024-05-04T23:12:30.208878,-16.5,62.1,118.4,6.2,1.4,5
WE00046,Snowstorm,HIGH,42.3683,-72.9995,282,2026-05-07T13:33:59,2026-05-08T15:04:13.796749,30.7,160.1,15.4,1.3,2.9,190
WE00047,Extreme Heat,MEDIUM,36.4628,-85.6456,249,2025-03-31T10:28:42,2025-04-01T14:44:31.863454,44.0,71.2,169.5,6.5,1.88,64
WE00048,Extreme Heat,MEDIUM,42.6056,-70.6046,287,2025-07-15T18:43:51,2025-07-17T00:08:24.883305,-2.4,143.4,52.3,0.0,1.5,73
WE00049,Extreme Wind,MEDIUM,39.0597,-97.8707,142,2026-06-15T21:14:53,2026-06-16T03:57:36.362038,17.7,128.2,40.2,0.0,1.55,85
WE00050,Extreme Wind,MEDIUM,43.9629,-72.3312,291,2024-10-25T17:02:17,2024-10-27T04:48:46.864740,13.6,178.9,53.3,4.5,1.52,31
WE00051,Thunderstorm,LOW,35.6318,-103.6792,78,2024-04-18T01:12:14,2024-04-19T18:21:44.289441,42.0,148.7,107.1,8.2,1.2,19
WE00052,Thunderstorm,CRITICAL,32.8405,-84.9298,424,2024-03-12T04:27:24,2024-03-14T12:52:35.016451,44.8,118.7,19.7,0.0,3.85,343
WE00053,Hurricane,HIGH,41.8926,-84.717,323,2024-12-20T00:39:48,2024-12-20T15:32:17.884097,2.1,35.9,185.2,0.0,2.06,192
WE00054,Tornado,LOW,36.9422,-79.6085,60,2025-03-25T13:09:54,2025-03-27T23:11:08.469214,36.5,139.7,110.8,8.7,1.35,26
WE00055,Heavy Rain,CRITICAL,38.9182,-79.6055,401,2024-05-03T22:51:37,2024-05-06T18:16:26.708433,14.9,102.3,179.4,0.0,3.93,340
WE00056,Extreme Wind,MEDIUM,43.3932,-75.3696,180,2024-12-27T15:04:23,2024-12-29T04:11:11.031572,30.6,125.7,9.8,0.0,1.54,36
WE00057,Ice,MEDIUM,31.5363,-87.9822,135,2024-06-05T21:36:22,2024-06-08T14:39:44.971351,21.9,170.6,17.7,4.1,1.94,47
WE00058,Extreme Heat,LOW,32.6421,-112.2945,76,2025-08-13T12:07:58,2025-08-15T18:18:06.270009,2.7,186.2,102.3,9.3,1.43,15
WE00059,Hurricane,MEDIUM,34.0696,-99.8559,190,2025-03-07T19:36:25,2025-03-10T17:45:42.597042,-6.9,13.1,46.5,6.4,1.92,56
WE00060,Hurricane,HIGH,31.1929,-87.2449,240,2025-12-05T08:21:40,2025-12-08T02:57:46.575981,-14.4,11.1,194.9,2.1,2.38,163
WE00061,Extreme Wind,MEDIUM,35.3537,-82.4125,196,2025-07-20T17:55:46,2025-07-21T02:39:13.769656,-2.1,66.6,99.1,0.8,1.99,60
WE00062,Heavy Rain,MEDIUM,39.8645,-121.7699,106,2024-09-09T16:11:03,2024-09-12T12:49:39.492517,43.4,42.4,151.3,0.0,1.66,67
WE00063,Hurricane,LOW,39.3712,-102.2217,91,2025-07-29T01:20:48,2025-07-30T09:54:29.638142,9.0,134.2,140.1,0.6,1.06,25
WE00064,Snowstorm,LOW,25.7893,-81.9661,140,2025-07-05T21:27:06,2025-07-06T17:28:58.084041,-19.2,182.5,157.0,1.4,1.12,13
WE00065,Heavy Rain,HIGH,34.0784,-83.496,225,2024-11-21T10:59:17,2024-11-21T16:56:08.119117,38.2,36.0,131.7,0.0,2.59,226
WE00066,Hurricane,MEDIUM,39.0649,-74.8328,284,2025-02-18T17:39:16,2025-02-19T14:52:03.161598,31.0,33.3,188.5,0.0,1.74,50
WE00067,Snowstorm,CRITICAL,31.7244,-109.3839,406,2024-04-20T22:04:42,2024-04-22T09:57:11.524782,-10.4,18.2,186.6,0.0,4.07,571
WE00068,Heavy Rain,MEDIUM,44.7994,-72.1884,287,2024-09-22T20:30:40,2024-09-25T12:59:26.848098,26.6,63.3,96.5,0.0,1.55,37
WE00069,Snowstorm,HIGH,44.2306,-78.208,251,2026-04-09T18:10:40,2026-04-11T08:45:59.181414,-13.2,109.2,40.2,1.7,2.63,93
WE00070,Thunderstorm,CRITICAL,30.482,-112.0186,783,2025-01-15T07:12:46,2025-01-17T13:51:03.571690,-13.7,75.7,119.1,0.0,3.33,533
WE00071,Snowstorm,LOW,47.5141,-96.1733,131,2024-09-10T20:05:11,2024-09-13T04:44:35.131742,25.0,109.9,196.2,6.1,1.02,21
WE00072,Thunderstorm,LOW,41.5194,-96.7108,137,2025-12-19T02:18:35,2025-12-19T23:16:36.791889,11.9,89.9,176.5,5.4,1.41,9
WE00073,Snowstorm,MEDIUM,43.7873,-119.7097,289,2025-08-12T11:07:27,2025-08-13T21:32:57.094021,9.9,118.1,114.1,4.6,1.54,69
WE00074,Thunderstorm,HIGH,39.2067,-77.3459,395,2025-02-23T08:23:03,2025-02-25T01:16:21.506848,-17.6,115.6,84.0,0.0,2.91,198
WE00075,Extreme Heat,LOW,38.9799,-96.0703,84,2026-05-15T04:35:29,2026-05-17T00:01:09.827543,33.7,80.6,79.9,7.0,1.24,9
WE00076,Extreme Wind,HIGH,29.645,-88.8496,295,2024-12-07T03:50:49,2024-12-08T16:40:20.363508,17.5,63.7,66.6,0.0,2.88,111
WE00077,Ice,LOW,35.1179,-113.4873,80,2025-05-18T18:08:11,2025-05-19T13:05:12.350758,-1.8,120.6,45.6,6.2,1.49,18
WE00078,Extreme Wind,HIGH,29.4762,-80.9826,382,2024-03-27T21:31:04,2024-03-30T13:06:39.523588,-4.8,133.5,130.2,4.1,2.27,225
WE00079,Tornado,LOW,36.5026,-84.4727,92,2024-12-21T19:31:51,2024-12-24T10:06:31.871816,8.5,48.2,78.1,3.9,1.13,20
WE00080,Extreme Wind,LOW,27.0336,-97.5239,121,2024-02-19T20:47:01,2024-02-22T11:44:29.323978,11.7,114.7,75.5,3.1,1.36,21
WE00081,Hurricane,LOW,38.045,-125.0564,66,2025-05-05T00:56:31,2025-05-06T15:31:29.238426,-0.2,5.4,113.8,4.4,1.31,25
WE00082,Hurricane,HIGH,39.8325,-124.4279,230,2025-09-15T04:30:26,2025-09-16T22:38:07.464770,-6.2,39.7,112.6,0.0,2.38,148
WE00083,Extreme Heat,MEDIUM,40.7268,-90.7956,271,2025-02-19T22:06:12,2025-02-22T10:05:13.717470,-5.8,72.7,89.9,0.0,1.99,81
WE00084,Tornado,LOW,40.009,-71.3088,100,2024-04-12T19:41:24,2024-04-13T00:01:47.026634,-16.5,155.9,115.4,7.9,1.41,7
WE00085,Ice,LOW,32.9718,-86.9182,66,2024-11-23T18:00:37,2024-11-25T16:54:37.768952,30.0,185.8,130.7,1.2,1.08,20
WE00086,Fog,MEDIUM,40.2899,-81.9766,125,2026-05-31T02:00:17,2026-06-01T01:13:20.265790,27.8,0.9,95.2,2.1,1.66,83
WE00087,Hurricane,LOW,38.9299,-94.7921,138,2025-05-03T20:02:30,2025-05-06T08:13:31.496875,-4.4,110.7,154.3,0.7,1.06,28
WE00088,Extreme Heat,LOW,35.857,-87.3995,107,2024-11-26T07:17:31,2024-11-28T11:29:58.554716,29.5,37.8,188.9,2.4,1.02,14
WE00089,Extreme Heat,LOW,37.8593,-86.1249,73,2026-02-14T12:41:25,2026-02-16T21:48:44.756784,36.0,127.9,189.5,7.7,1.12,23
WE00090,Hurricane,LOW,40.5934,-97.2512,83,2025-09-06T14:13:34,2025-09-08T06:28:26.237355,5.6,15.8,85.1,7.2,1.42,9
WE00091,Tornado,CRITICAL,28.9481,-81.3634,730,2025-12-13T19:14:13,2025-12-15T01:07:35.929405,-17.0,164.4,188.3,0.0,3.97,383
WE00092,Tornado,MEDIUM,37.0696,-90.7959,141,2024-08-09T22:38:20,2024-08-10T15:11:49.075549,38.3,94.4,7.2,4.8,1.55,59
WE00093,Tornado,HIGH,44.4377,-71.9663,301,2025-02-15T11:26:54,2025-02-15T22:44:02.274827,8.8,169.6,84.3,0.0,2.28,155
WE00094,Snowstorm,HIGH,33.0782,-116.5998,311,2024-08-04T21:47:44,2024-08-07T19:52:59.064827,42.8,102.0,128.9,0.0,2.11,237
WE00095,Fog,LOW,38.889,-74.6441,146,2025-01-18T02:56:23,2025-01-19T07:48:49.681196,39.3,147.9,164.7,6.9,1.1,10
WE00096,Fog,HIGH,28.5976,-81.2954,363,2026-05-22T01:19:15,2026-05-24T02:48:02.622480,19.9,44.6,186.9,1.2,2.19,181
WE00097,Extreme Heat,LOW,30.9265,-85.4766,121,2026-04-17T06:31:47,2026-04-17T20:19:10.259634,38.0,190.5,48.7,2.7,1.47,20
WE00098,Heavy Rain,HIGH,41.8377,-107.8535,394,2025-02-12T03:43:01,2025-02-12T11:49:59.878031,38.6,72.3,146.7,0.0,2.98,157
WE00099,Tornado,MEDIUM,36.0909,-83.3716,108,2026-06-27T02:56:43,2026-06-29T11:02:09.387329,9.2,46.8,27.2,5.4,1.58,67
WE00100,Extreme Wind,HIGH,39.0888,-89.7787,488,2025-10-27T13:10:14,2025-10-29T12:47:51.876370,-15.3,23.3,86.4,0.3,2.94,154
WE00101,Heavy Rain,LOW,44.4165,-79.378,61,2026-06-25T11:41:03,2026-06-27T11:42:35.583251,-14.3,143.1,92.3,9.6,1.16,19
WE00102,Extreme Heat,LOW,35.2781,-86.6477,66,2025-09-12T10:43:48,2025-09-13T05:41:17.759709,6.5,54.9,144.0,5.2,1.14,27
WE00103,Heavy Rain,CRITICAL,40.9759,-96.7777,363,2025-07-16T08:12:20,2025-07-17T04:01:02.994169,5.7,175.2,127.6,0.0,3.79,550
WE00104,Tornado,LOW,30.7047,-116.7042,59,2024-12-06T16:52:13,2024-12-07T15:28:14.752661,39.7,11.8,74.0,2.8,1.29,5
WE00105,Tornado,CRITICAL,44.0866,-116.3207,632,2024-08-02T21:22:52,2024-08-04T06:41:25.520525,9.2,72.6,29.7,0.6,3.4,261
WE00106,Extreme Wind,HIGH,39.3114,-73.3149,391,2026-03-02T12:31:01,2026-03-04T22:13:15.069347,-12.0,118.1,59.8,4.7,2.01,177
WE00107,Extreme Wind,HIGH,41.5165,-84.5708,232,2026-02-05T15:36:14,2026-02-07T06:41:42.775084,16.4,104.0,2.3,3.7,2.11,112
WE00108,Ice,LOW,45.994,-118.0617,82,2024-05-21T05:20:54,2024-05-21T10:57:41.580237,14.9,31.9,133.2,2.3,1.02,17
WE00109,Extreme Heat,LOW,28.1856,-92.4021,63,2024-03-14T04:37:32,2024-03-15T09:22:01.123722,22.3,77.6,10.3,0.8,1.28,17
WE00110,Hurricane,CRITICAL,40.9038,-94.2132,557,2024-06-19T08:00:57,2024-06-20T00:03:51.778182,-12.0,87.3,8.4,0.0,4.04,341
WE00111,Snowstorm,MEDIUM,46.0848,-96.2443,110,2024-08-25T10:20:14,2024-08-26T01:35:44.525241,44.6,88.0,21.8,0.7,1.99,49
WE00112,Extreme Heat,LOW,38.298,-74.2946,52,2024-09-05T12:33:40,2024-09-06T04:06:56.924610,-5.3,128.1,26.0,3.2,1.3,5
WE00113,Fog,HIGH,32.5377,-117.7687,246,2025-10-17T19:15:51,2025-10-20T10:07:04.310453,7.0,161.7,46.4,2.8,2.8,106
WE00114,Snowstorm,LOW,43.7329,-92.0854,121,2024-04-08T16:29:04,2024-04-10T10:42:55.973874,17.9,149.6,179.5,6.6,1.16,10
WE00115,Extreme Heat,MEDIUM,39.3531,-69.0564,124,2025-08-20T17:09:54,2025-08-21T18:05:56.234756,42.1,143.0,55.7,0.0,1.88,40
WE00116,Extreme Heat,LOW,27.1076,-82.9128,145,2025-08-15T19:47:53,2025-08-16T03:29:22.855111,1.2,170.0,113.3,5.7,1.06,27
WE00117,Fog,LOW,39.2365,-82.2451,126,2025-12-28T02:09:52,2025-12-30T12:27:50.255159,-8.8,92.2,158.4,2.8,1.02,7
WE00118,Ice,MEDIUM,35.9108,-86.2646,158,2026-04-01T22:48:45,2026-04-02T02:13:00.051431,26.5,92.1,21.3,5.9,1.75,89
WE00119,Tornado,HIGH,40.1655,-92.3814,330,2025-01-25T13:23:51,2025-01-26T22:41:04.095858,12.9,128.7,64.9,2.3,2.96,93
WE00120,Thunderstorm,HIGH,29.8778,-91.7,203,2026-05-09T09:45:22,2026-05-10T13:44:42.045266,-18.6,80.3,133.0,0.0,2.96,224
WE00121,Fog,MEDIUM,47.2207,-115.5246,230,2024-01-18T20:02:36,2024-01-20T07:40:46.840936,27.7,42.2,40.2,6.0,1.98,86
WE00122,Fog,LOW,42.0225,-114.4593,134,2024-06-26T22:47:54,2024-06-29T16:58:22.621519,31.8,50.6,140.6,2.6,1.06,9
WE00123,Tornado,HIGH,36.7826,-79.9983,356,2026-04-14T03:42:17,2026-04-17T02:38:19.272853,43.9,86.6,93.2,4.0,2.03,231
WE00124,Extreme Heat,MEDIUM,37.4509,-117.9485,249,2025-02-18T11:57:50,2025-02-21T09:36:38.054551,-11.7,32.5,198.2,2.8,1.67,72
WE00125,Fog,HIGH,35.7017,-120.7274,335,2025-06-12T10:39:39,2025-06-14T11:40:03.953000,-18.3,179.1,108.1,0.0,2.35,160
WE00126,Tornado,CRITICAL,42.8518,-74.8614,518,2024-06-22T06:57:59,2024-06-22T20:51:35.297149,-5.1,24.0,11.5,0.0,4.8,421
WE00127,Heavy Rain,CRITICAL,40.4333,-86.1419,621,2025-03-31T22:28:40,2025-04-02T19:57:58.460381,9.7,165.4,152.2,0.0,4.79,467
WE00128,Snowstorm,CRITICAL,34.92,-80.4166,449,2025-11-06T09:13:24,2025-11-07T04:03:37.889670,23.4,86.5,149.6,0.0,3.11,396
WE00129,Snowstorm,LOW,33.3757,-94.278,107,2024-09-02T16:32:54,2024-09-04T11:36:16.530628,-14.7,193.5,114.0,2.8,1.32,23
WE00130,Fog,LOW,40.9664,-97.4918,147,2025-12-05T20:02:45,2025-12-08T10:13:56.532050,-5.9,2.9,167.2,2.4,1.29,7
WE00131,Snowstorm,HIGH,36.7196,-91.8223,304,2024-01-06T00:59:38,2024-01-08T18:41:16.720719,30.0,88.4,116.9,0.4,2.17,229
WE00132,Ice,LOW,40.2803,-71.9801,99,2025-02-13T03:51:19,2025-02-15T09:28:09.939391,-9.1,41.8,16.4,2.1,1.45,20
WE00133,Tornado,LOW,26.9585,-81.7628,144,2026-02-16T15:12:10,2026-02-17T19:49:40.376116,-3.9,63.3,92.9,2.0,1.28,29
WE00134,Tornado,MEDIUM,42.7444,-76.343,129,2024-10-04T12:37:29,2024-10-04T22:48:57.162475,39.0,78.6,57.7,5.5,1.71,75
WE00135,Extreme Wind,CRITICAL,32.6968,-86.3354,389,2026-02-27T15:44:40,2026-02-28T13:40:09.362595,0.9,12.8,139.7,0.6,4.76,389
WE00136,Fog,LOW,42.0743,-85.5375,77,2024-06-14T07:16:58,2024-06-15T09:00:58.356446,-1.5,46.9,90.1,3.9,1.4,9
WE00137,Ice,HIGH,47.5226,-120.0383,439,2025-04-08T14:49:41,2025-04-09T20:37:29.208779,42.9,96.4,116.1,0.6,2.27,137
WE00138,Heavy Rain,LOW,27.8071,-78.5197,58,2026-02-27T15:02:38,2026-02-28T13:54:32.335248,14.6,76.2,84.7,6.1,1.21,18
WE00139,Thunderstorm,LOW,29.1532,-93.9983,60,2024-11-04T23:56:36,2024-11-07T14:43:43.602607,-6.6,7.1,91.7,0.5,1.45,26
WE00140,Hurricane,CRITICAL,36.4831,-120.3494,500,2024-08-25T10:15:39,2024-08-27T18:18:04.137171,-17.9,82.3,120.6,0.0,3.63,553
WE00141,Hurricane,LOW,44.9299,-71.5298,128,2025-08-03T20:31:07,2025-08-06T09:34:33.700166,30.9,80.9,8.1,0.4,1.15,18
WE00142,Snowstorm,LOW,41.9048,-80.5199,100,2024-09-07T22:59:04,2024-09-08T13:20:54.911525,43.7,197.9,25.6,9.5,1.22,13
WE00143,Snowstorm,MEDIUM,45.5409,-87.601,234,2026-04-17T21:30:27,2026-04-20T06:35:58.614863,19.3,74.1,192.4,0.0,1.88,61
WE00144,Extreme Wind,MEDIUM,27.7442,-79.1007,154,2026-04-03T21:01:04,2026-04-05T16:03:02.734716,2.5,80.8,185.1,5.5,1.64,40
WE00145,Fog,HIGH,41.2284,-87.4784,409,2024-01-01T21:19:18,2024-01-03T21:30:22.873912,-0.2,75.9,109.3,4.4,2.05,212
WE00146,Tornado,MEDIUM,33.301,-83.5435,162,2025-05-18T13:24:49,2025-05-20T04:48:41.686405,29.4,106.2,77.2,0.0,1.84,65
WE00147,Fog,LOW,36.0034,-88.8317,61,2026-01-29T00:32:28,2026-02-01T00:07:38.111413,-6.0,24.5,22.5,6.5,1.37,18
WE00148,Snowstorm,MEDIUM,49.5109,-94.5196,193,2024-01-31T06:08:44,2024-02-02T18:49:44.940745,-6.6,157.3,182.9,2.4,1.53,32
WE00149,Extreme Wind,LOW,40.217,-71.9544,85,2024-06-22T18:43:51,2024-06-25T00:40:05.838728,0.4,7.1,136.8,2.0,1.46,10
WE00150,Thunderstorm,HIGH,41.7358,-93.1955,296,2025-07-17T20:54:13,2025-07-20T16:56:28.133003,26.8,76.5,172.7,4.1,2.47,150
WE00151,Thunderstorm,LOW,34.4073,-107.2484,117,2025-04-22T16:57:27,2025-04-23T23:37:44.250986,31.6,104.7,39.8,10.0,1.23,23
WE00152,Fog,CRITICAL,39.854,-74.0337,315,2025-01-06T23:25:45,2025-01-09T19:55:20.806594,-18.2,130.8,6.7,0.0,3.45,374
WE00153,Heavy Rain,HIGH,42.2092,-72.0707,366,2024-03-30T23:36:24,2024-03-31T14:52:15.607740,12.3,109.4,196.4,0.1,2.33,185
WE00154,Tornado,MEDIUM,46.827,-116.7449,215,2025-01-09T04:20:37,2025-01-10T03:49:47.584648,20.2,167.2,165.2,0.5,1.87,48
WE00155,Thunderstorm,LOW,32.8481,-79.1445,78,2026-05-31T08:35:59,2026-06-02T03:37:52.329053,25.8,46.5,127.6,5.2,1.33,29
WE00156,Fog,MEDIUM,37.4363,-122.1159,255,2024-05-02T08:16:32,2024-05-03T06:30:27.193848,1.2,179.3,32.4,4.9,1.66,54
WE00157,Hurricane,LOW,28.477,-77.9113,57,2024-05-13T01:23:31,2024-05-15T17:02:25.796013,27.7,178.1,98.1,4.4,1.49,15
WE00158,Ice,MEDIUM,38.6604,-75.2827,249,2026-01-24T23:02:15,2026-01-25T17:38:25.890467,31.5,104.9,192.8,7.5,1.57,64
WE00159,Extreme Wind,MEDIUM,42.0806,-76.9463,172,2024-04-17T12:25:46,2024-04-18T01:46:06.845790,11.2,21.2,182.8,5.0,1.69,69
WE00160,Heavy Rain,LOW,35.5396,-78.8896,117,2026-04-07T12:43:31,2026-04-08T13:41:12.780068,-15.4,35.2,189.0,1.9,1.23,14
WE00161,Ice,HIGH,42.1153,-102.5845,377,2024-07-14T08:41:30,2024-07-15T21:42:43.426283,35.5,0.1,186.7,4.5,2.39,206
WE00162,Tornado,LOW,42.2126,-96.6063,147,2024-07-18T10:46:50,2024-07-20T21:45:18.526820,40.5,28.3,9.5,6.9,1.49,14
WE00163,Heavy Rain,MEDIUM,44.3829,-118.1572,208,2026-01-08T07:48:40,2026-01-09T13:27:26.673662,-19.7,144.6,12.1,4.5,1.85,40
WE00164,Fog,LOW,39.8107,-106.8829,121,2026-05-04T02:09:49,2026-05-06T06:00:53.295835,35.4,92.1,188.2,3.8,1.46,12
WE00165,Ice,MEDIUM,34.7226,-89.93,128,2024-09-13T12:22:45,2024-09-13T20:13:45.740543,22.7,2.3,31.4,4.1,1.99,86
WE00166,Fog,HIGH,36.8443,-114.0566,390,2025-02-15T18:01:38,2025-02-16T22:52:25.215994,9.4,137.8,21.2,0.0,2.33,186
WE00167,Tornado,LOW,37.4669,-77.0359,55,2026-03-30T17:06:16,2026-04-01T18:32:13.327839,-7.4,196.2,15.7,6.2,1.2,23
WE00168,Hurricane,HIGH,44.0212,-99.6356,403,2025-10-19T07:43:32,2025-10-19T13:18:46.108620,7.3,13.9,44.1,0.7,2.51,215
WE00169,Ice,MEDIUM,31.2031,-94.0161,264,2024-11-25T00:24:33,2024-11-25T07:51:45.092984,25.1,104.4,65.7,7.0,1.69,76
WE00170,Heavy Rain,MEDIUM,35.2082,-96.1546,159,2026-04-17T18:24:55,2026-04-18T19:37:37.723124,-8.8,20.9,89.6,5.4,1.54,70
