event_id,location_id,location_type,timestamp,congestion_score,processing_capacity,current_load,queue_length,average_processing_time,delay_minutes
CE00038,LOC055,Airport,2025-09-25T05:04:46,1.0,1469,2447,824,97.3,59
CE00039,LOC021,Port,2026-06-27T09:15:32,0.48,437,316,0,30.0,0
CE00040,LOC061,Airport,2024-08-02T14:14:17,0.88,2149,2831,393,51.9,28
CE00041,LOC043,Distribution Center,2025-02-08T07:54:09,0.92,4879,6745,2962,102.9,34
CE00042,LOC017,Hub,2025-03-21T15:51:18,0.5,1600,1204,0,30.0,0
CE00043,LOC031,Hub,2025-06-14T14:43:11,0.82,4593,5619,1511,69.5,20
CE00044,LOC067,Warehouse,2025-05-02T12:57:54,0.29,3061,1323,0,30.0,0
CE00045,LOC041,Distribution Center,2024-07-02T06:01:03,0.34,4129,2075,0,30.0,0
CE00046,LOC061,Airport,2024-05-06T14:45:44,1.0,2149,3237,2090,146.7,45
CE00047,LOC061,Airport,2025-09-26T14:05:16,0.66,2149,2120,0,30.0,0
CE00048,LOC039,Warehouse,2025-10-16T00:51:35,0.41,1629,1010,0,30.0,0
CE00049,LOC034,Port,2026-02-23T12:43:53,0.34,1778,919,0,30.0,0
CE00050,LOC068,Hub,2024-08-18T12:41:59,0.48,2969,2142,0,30.0,0
CE00051,LOC014,Airport,2026-06-13T19:16:28,0.58,1578,1374,0,30.0,0
CE00052,LOC029,Port,2026-02-06T17:07:12,0.82,2831,3490,677,58.7,20
CE00053,LOC036,Airport,2024-11-03T17:51:37,1.0,2829,4489,1143,78.5,52
CE00054,LOC026,Distribution Center,2024-10-06T11:44:37,0.33,3661,1808,0,30.0,0
CE00055,LOC029,Port,2025-12-06T08:55:29,1.0,2831,5011,1560,96.1,69
CE00056,LOC036,Airport,2024-01-25T02:20:19,1.0,2829,4860,3324,171.0,64
CE00057,LOC008,Airport,2024-09-16T01:40:17,0.34,1075,548,0,30.0,0
CE00058,LOC051,Last Mile Facility,2024-07-06T15:20:04,0.59,2427,2142,0,30.0,0
CE00059,LOC054,Port,2025-10-12T07:29:37,0.76,759,868,205,62.4,12
CE00060,LOC039,Warehouse,2025-02-13T03:22:24,0.93,1629,2270,551,70.6,35
CE00061,LOC001,Last Mile Facility,2026-05-11T12:11:43,0.6,960,858,0,30.0,0
CE00062,LOC036,Airport,2025-12-30T21:39:37,1.0,2829,4604,1092,76.3,56
CE00063,LOC004,Warehouse,2024-06-05T21:22:49,0.58,869,755,0,30.0,0
CE00064,LOC050,Airport,2024-07-15T08:27:25,1.0,3355,5199,1209,73.2,49
CE00065,LOC075,Distribution Center,2024-02-22T22:25:58,0.82,1059,1310,334,67.8,21
CE00066,LOC023,Port,2025-11-01T04:29:54,0.72,2668,2865,295,43.3,6
CE00067,LOC022,Hub,2024-02-07T04:13:46,0.63,479,455,0,30.0,0
CE00068,LOC061,Airport,2024-09-16T07:48:41,1.0,2149,3843,1693,124.5,70
CE00069,LOC016,Airport,2024-04-23T10:11:08,0.74,1121,1239,107,41.5,9
CE00070,LOC021,Port,2024-07-24T15:24:01,0.95,437,623,274,105.2,38
CE00071,LOC055,Airport,2026-03-10T20:45:17,0.32,1469,695,0,30.0,0
CE00072,LOC028,Hub,2026-04-02T06:05:42,1.0,4698,7179,2611,96.7,47
CE00073,LOC039,Warehouse,2025-08-25T21:56:36,0.81,1629,1988,191,44.1,19
CE00074,LOC052,Hub,2025-10-18T02:40:23,0.66,2030,2012,0,30.0,0
CE00075,LOC028,Hub,2025-07-04T11:47:17,1.0,4698,7941,5461,169.5,62
CE00076,LOC068,Hub,2024-07-16T23:47:30,0.68,2969,3041,68,32.7,2
CE00077,LOC023,Port,2025-09-16T23:29:01,0.83,2668,3317,563,55.3,21
CE00078,LOC022,Hub,2026-05-15T04:15:26,0.99,479,710,188,77.1,43
CE00079,LOC060,Last Mile Facility,2025-01-10T01:20:44,0.94,723,1023,430,101.4,37
CE00080,LOC067,Warehouse,2025-03-31T18:26:33,1.0,3061,5084,2215,116.8,59
CE00081,LOC047,Distribution Center,2024-07-03T21:44:48,0.27,4197,1721,0,30.0,0
CE00082,LOC041,Distribution Center,2025-06-07T05:07:23,0.75,4129,4652,834,54.2,11
CE00083,LOC002,Port,2025-06-06T22:52:00,0.56,566,474,0,30.0,0
CE00084,LOC014,Airport,2024-06-16T10:01:24,0.51,1578,1199,0,30.0,0
CE00085,LOC069,Port,2024-03-11T06:35:01,0.58,4167,3610,0,30.0,0
CE00086,LOC009,Sort Facility,2024-04-24T13:41:38,0.83,3105,3878,1058,70.9,22
CE00087,LOC039,Warehouse,2025-07-05T09:46:46,1.0,1629,2739,1817,163.8,61
CE00088,LOC028,Hub,2025-11-28T08:01:52,0.89,4698,6294,1335,64.1,30
CE00089,LOC027,Distribution Center,2025-09-27T03:57:16,1.0,300,456,96,68.4,46
CE00090,LOC024,Airport,2025-11-29T16:02:01,0.78,1595,1869,189,44.2,15
CE00091,LOC066,Sort Facility,2025-11-07T19:42:21,0.64,3283,3137,0,30.0,0
CE00092,LOC003,Warehouse,2025-03-25T09:33:19,0.4,3544,2146,0,30.0,0
CE00093,LOC021,Port,2026-01-11T03:48:09,0.54,437,354,0,30.0,0
CE00094,LOC001,Last Mile Facility,2024-07-28T02:27:29,1.0,960,1492,645,110.6,49
CE00095,LOC035,Airport,2024-10-11T23:32:26,0.89,1822,2428,662,73.6,29
CE00096,LOC012,Airport,2026-03-02T06:50:19,0.41,2463,1522,0,30.0,0
CE00097,LOC033,Last Mile Facility,2024-05-10T03:53:55,1.0,4291,7638,5340,179.3,70
CE00098,LOC027,Distribution Center,2024-08-24T12:31:47,1.0,300,539,274,139.6,71
CE00099,LOC034,Port,2024-01-13T02:11:56,0.95,1778,2540,1346,120.8,38
CE00100,LOC033,Last Mile Facility,2025-07-28T13:53:55,0.72,4291,4652,426,41.9,7
CE00101,LOC053,Distribution Center,2025-12-05T12:43:04,1.0,1247,1885,373,65.9,46
CE00102,LOC064,Warehouse,2025-08-12T08:06:34,0.81,3291,4001,653,53.8,19
CE00103,LOC032,Distribution Center,2025-05-12T18:45:09,1.0,1584,2735,1779,164.8,65
CE00104,LOC048,Sort Facility,2025-11-12T07:42:36,0.34,3574,1813,0,30.0,0
CE00105,LOC048,Sort Facility,2024-10-01T12:41:00,0.95,3574,5080,1738,88.4,37
CE00106,LOC038,Airport,2026-03-01T04:29:14,0.34,1463,739,0,30.0,0
CE00107,LOC004,Warehouse,2025-03-09T21:02:35,0.75,869,974,149,50.6,10
CE00108,LOC030,Warehouse,2024-05-30T12:38:30,0.28,2790,1159,0,30.0,0
CE00109,LOC057,Distribution Center,2024-12-26T19:24:45,1.0,2059,3208,1855,138.1,50
CE00110,LOC047,Distribution Center,2025-04-06T21:57:24,0.58,4197,3625,0,30.0,0
CE00111,LOC015,Last Mile Facility,2026-02-05T07:18:48,0.45,3252,2211,0,30.0,0
CE00112,LOC051,Last Mile Facility,2025-06-13T21:46:17,0.68,2427,2461,19,30.9,1
CE00113,LOC015,Last Mile Facility,2024-03-16T00:18:18,0.37,3252,1787,0,30.0,0
CE00114,LOC004,Warehouse,2026-05-26T08:20:26,0.49,869,640,0,30.0,0
CE00115,LOC064,Warehouse,2026-03-15T04:25:16,0.32,3291,1570,0,30.0,0
CE00116,LOC010,Last Mile Facility,2026-03-26T20:38:17,0.76,1628,1860,196,44.4,12
CE00117,LOC049,Port,2026-06-19T17:33:44,0.77,1833,2123,471,60.8,14
CE00118,LOC035,Airport,2026-02-28T12:06:32,0.77,1822,2101,510,63.6,13
CE00119,LOC012,Airport,2025-10-24T20:08:19,0.96,2463,3564,617,60.1,40
CE00120,LOC052,Hub,2025-03-19T03:09:33,0.33,2030,1015,0,30.0,0
CE00121,LOC069,Port,2025-05-16T10:51:32,0.92,4167,5743,1299,67.4,34
CE00122,LOC059,Distribution Center,2025-08-19T15:05:00,0.8,4161,4996,1060,60.6,18
CE00123,LOC033,Last Mile Facility,2025-05-09T21:27:35,0.67,4291,4297,10,30.3,0
CE00124,LOC064,Warehouse,2024-10-04T03:49:24,1.0,3291,5416,3304,150.5,58
CE00125,LOC051,Last Mile Facility,2024-08-10T10:45:17,0.78,2427,2830,221,40.9,14
CE00126,LOC064,Warehouse,2024-03-06T03:25:43,0.51,3291,2517,0,30.0,0
CE00127,LOC064,Warehouse,2024-11-23T06:44:43,0.77,3291,3788,425,45.5,13
CE00128,LOC010,Last Mile Facility,2025-10-30T19:36:25,0.9,1628,2186,295,51.7,30
CE00129,LOC025,Warehouse,2026-03-17T10:45:16,0.86,491,632,94,53.0,25
CE00130,LOC062,Sort Facility,2025-03-08T06:08:38,0.93,3208,4464,1164,73.5,35
CE00131,LOC044,Warehouse,2026-06-12T10:41:31,1.0,3843,6143,3288,132.7,53
CE00132,LOC014,Airport,2025-05-03T08:27:57,0.47,1578,1109,0,30.0,0
CE00133,LOC030,Warehouse,2024-06-03T12:22:52,1.0,2790,4323,1225,82.7,49
CE00134,LOC008,Airport,2025-06-23T13:58:59,0.44,1075,711,0,30.0,0
CE00135,LOC052,Hub,2025-03-18T09:46:35,1.0,2030,3476,992,88.6,64
CE00136,LOC047,Distribution Center,2024-09-14T05:44:14,0.86,4197,5441,1745,79.9,26
CE00137,LOC047,Distribution Center,2024-07-03T03:54:16,0.44,4197,2776,0,30.0,0
CE00138,LOC023,Port,2025-03-23T03:34:15,1.0,2668,4162,1852,113.3,50
CE00139,LOC032,Distribution Center,2025-03-01T09:48:43,0.34,1584,798,0,30.0,0
CE00140,LOC007,Warehouse,2026-01-25T23:05:41,0.55,2658,2208,0,30.0,0
CE00141,LOC024,Airport,2025-11-12T20:00:08,0.68,1595,1638,80,36.0,2
CE00142,LOC016,Airport,2024-12-13T09:39:21,0.5,1121,837,0,30.0,0
CE00143,LOC007,Warehouse,2024-09-20T00:44:09,0.69,2658,2740,64,32.9,2
CE00144,LOC072,Airport,2025-03-24T03:16:11,0.35,4665,2431,0,30.0,0
CE00145,LOC054,Port,2025-02-07T00:12:52,0.37,759,419,0,30.0,0
CE00146,LOC035,Airport,2024-06-13T20:25:11,0.98,1822,2673,685,75.1,42
CE00147,LOC049,Port,2024-12-25T21:27:16,0.73,1833,1998,142,39.3,8
CE00148,LOC005,Sort Facility,2025-03-08T20:01:52,0.81,1284,1559,178,46.6,19
CE00149,LOC053,Distribution Center,2024-08-07T00:58:39,1.0,1247,1899,927,119.2,47
CE00150,LOC018,Hub,2024-05-29T02:14:42,0.74,261,289,51,53.4,9
CE00151,LOC006,Sort Facility,2024-11-17T07:40:12,0.54,4943,3969,0,30.0,0
CE00152,LOC053,Distribution Center,2026-05-07T18:08:42,0.54,1247,1002,0,30.0,0
CE00153,LOC030,Warehouse,2026-03-01T05:38:32,1.0,2790,4241,1878,110.8,46
CE00154,LOC073,Sort Facility,2024-09-19T07:16:28,1.0,3536,5750,3988,165.3,56
CE00155,LOC050,Airport,2024-02-12T11:41:11,0.68,3355,3445,46,31.6,2
CE00156,LOC021,Port,2024-03-02T17:48:08,0.99,437,648,182,80.0,43
CE00157,LOC070,Distribution Center,2026-04-18T14:18:42,0.94,4087,5784,3185,123.5,37
CE00158,LOC038,Airport,2026-04-15T14:57:32,0.9,1463,1984,293,54.0,32
CE00159,LOC065,Airport,2024-10-30T03:04:23,0.73,1748,1926,227,45.6,9
CE00160,LOC016,Airport,2024-01-11T08:29:35,1.0,1121,1987,856,121.6,69
CE00161,LOC012,Airport,2026-01-28T15:36:00,0.42,2463,1568,0,30.0,0
CE00162,LOC066,Sort Facility,2024-02-10T01:02:51,0.83,3283,4110,883,62.3,22
CE00163,LOC027,Distribution Center,2025-07-28T01:28:14,0.85,300,381,158,93.2,24
CE00164,LOC012,Airport,2024-11-11T13:38:35,0.74,2463,2751,530,55.8,10
CE00165,LOC034,Port,2025-03-13T19:39:51,0.74,1778,1984,278,48.8,10
CE00166,LOC017,Hub,2026-06-06T06:34:50,1.0,1600,2776,2025,181.9,66
CE00167,LOC018,Hub,2025-10-24T13:10:04,0.32,261,125,0,30.0,0
CE00168,LOC020,Last Mile Facility,2025-11-22T00:15:57,0.74,1116,1240,109,41.7,10
CE00169,LOC024,Airport,2026-03-20T04:19:55,0.38,1595,916,0,30.0,0
CE00170,LOC073,Sort Facility,2024-07-15T00:16:58,1.0,3536,5769,1528,81.9,56
CE00171,LOC008,Airport,2025-12-06T00:43:52,0.39,1075,635,0,30.0,0
CE00172,LOC003,Warehouse,2025-04-03T04:13:08,0.31,3544,1647,0,30.0,0
CE00173,LOC016,Airport,2024-06-19T06:44:19,0.54,1121,905,0,30.0,0
CE00174,LOC048,Sort Facility,2024-07-05T07:42:33,0.51,3574,2750,0,30.0,0
CE00175,LOC006,Sort Facility,2025-11-21T08:37:17,1.0,4943,7630,4825,147.1,48
CE00176,LOC011,Warehouse,2025-11-02T12:02:33,0.6,2988,2684,0,30.0,0
CE00177,LOC024,Airport,2026-02-05T05:53:59,1.0,1595,2406,1209,121.0,45
CE00178,LOC009,Sort Facility,2025-02-12T15:27:30,0.6,3105,2783,0,30.0,0
CE00179,LOC007,Warehouse,2024-05-14T22:31:05,0.41,2658,1624,0,30.0,0
CE00180,LOC072,Airport,2024-07-31T12:56:45,0.87,4665,6112,2581,96.4,27
CE00181,LOC034,Port,2025-03-08T13:29:15,0.78,1778,2092,161,40.9,15
CE00182,LOC033,Last Mile Facility,2024-06-29T22:02:30,0.36,4291,2331,0,30.0,0
CE00183,LOC058,Hub,2025-07-03T11:40:50,0.81,4836,5870,1522,67.8,19
CE00184,LOC001,Last Mile Facility,2024-05-02T19:50:03,0.98,960,1406,534,96.8,41
CE00185,LOC050,Airport,2024-12-11T13:13:49,0.5,3355,2528,0,30.0,0
CE00186,LOC031,Hub,2024-04-25T11:58:52,1.0,4593,6987,1319,64.5,46
CE00187,LOC057,Distribution Center,2025-05-23T03:45:28,0.53,2059,1633,0,30.0,0
CE00188,LOC059,Distribution Center,2024-08-31T11:12:47,1.0,4161,6886,4062,147.1,58
CE00189,LOC061,Airport,2026-02-26T16:34:24,0.74,2149,2397,456,55.5,10
CE00190,LOC008,Airport,2025-06-04T22:16:32,0.44,1075,702,0,30.0,0
CE00191,LOC010,Last Mile Facility,2025-03-04T22:03:12,1.0,1628,2456,622,75.8,45
CE00192,LOC068,Hub,2025-12-05T10:21:55,1.0,2969,4564,842,64.0,48
CE00193,LOC030,Warehouse,2026-03-07T16:12:51,1.0,2790,4648,1768,106.0,59
CE00194,LOC071,Last Mile Facility,2024-04-25T02:13:10,1.0,4596,6947,1648,73.0,46
CE00195,LOC069,Port,2025-05-04T00:57:52,0.74,4167,4608,786,52.6,9
CE00196,LOC033,Last Mile Facility,2024-02-29T14:02:48,0.77,4291,4973,349,39.8,14
CE00197,LOC068,Hub,2025-11-04T05:29:20,1.0,2969,4791,1531,91.9,55
CE00198,LOC038,Airport,2024-06-05T00:37:47,0.99,1463,2178,415,64.0,43
CE00199,LOC064,Warehouse,2026-03-20T19:21:12,0.65,3291,3187,0,30.0,0
CE00200,LOC025,Warehouse,2025-05-08T06:16:19,0.99,491,728,134,62.7,43
CE00201,LOC070,Distribution Center,2024-10-22T18:34:37,0.93,4087,5688,2726,110.0,35
CE00202,LOC012,Airport,2026-05-17T02:05:47,0.37,2463,1351,0,30.0,0
CE00203,LOC060,Last Mile Facility,2024-02-25T08:36:47,1.0,723,1238,403,96.9,64
CE00204,LOC067,Warehouse,2024-01-13T09:09:54,0.4,3061,1849,0,30.0,0
CE00205,LOC048,Sort Facility,2025-01-17T00:19:42,0.6,3574,3236,0,30.0,0
CE00206,LOC045,Distribution Center,2024-07-31T15:03:27,0.42,4759,3016,0,30.0,0
CE00207,LOC050,Airport,2026-06-29T20:27:55,0.48,3355,2440,0,30.0,0
CE00208,LOC033,Last Mile Facility,2025-08-07T10:05:24,0.4,4291,2599,0,30.0,0
CE00209,LOC014,Airport,2024-12-08T02:00:25,0.8,1578,1893,304,53.1,17
CE00210,LOC024,Airport,2024-10-30T23:24:57,0.64,1595,1521,0,30.0,0
CE00211,LOC063,Last Mile Facility,2025-02-16T02:34:50,0.62,3270,3018,0,30.0,0
CE00212,LOC028,Hub,2025-12-31T07:10:22,0.64,4698,4475,0,30.0,0
CE00213,LOC012,Airport,2024-08-23T05:50:07,0.8,2463,2946,533,56.0,17
CE00214,LOC020,Last Mile Facility,2026-01-22T15:44:11,1.0,1116,1685,352,67.8,45
CE00215,LOC062,Sort Facility,2024-10-17T15:46:28,1.0,3208,4959,1133,72.4,49
CE00216,LOC013,Hub,2026-02-10T15:18:09,0.29,2712,1197,0,30.0,0
CE00217,LOC001,Last Mile Facility,2025-03-15T00:04:46,0.41,960,584,0,30.0,0
CE00218,LOC005,Sort Facility,2024-07-23T17:33:33,0.81,1284,1553,214,50.0,18
CE00219,LOC023,Port,2024-11-04T11:20:12,0.27,2668,1088,0,30.0,0
CE00220,LOC055,Airport,2024-05-17T19:24:43,0.97,1469,2131,677,85.3,40
CE00221,LOC065,Airport,2026-03-13T01:17:28,0.36,1748,951,0,30.0,0
CE00222,LOC010,Last Mile Facility,2024-11-28T17:32:51,0.71,1628,1734,188,43.9,5
CE00223,LOC035,Airport,2024-01-05T23:13:09,0.63,1822,1711,0,30.0,0
CE00224,LOC019,Airport,2025-11-05T16:34:40,0.66,3442,3412,0,30.0,0
CE00225,LOC001,Last Mile Facility,2024-04-14T11:40:54,0.88,960,1273,399,79.9,29
CE00226,LOC049,Port,2026-02-01T06:17:31,0.45,1833,1238,0,30.0,0
CE00227,LOC027,Distribution Center,2026-05-16T09:56:54,1.0,300,508,297,148.8,62
CE00228,LOC009,Sort Facility,2024-11-19T23:11:40,0.7,3105,3268,300,41.6,4
CE00229,LOC068,Hub,2024-10-03T16:36:34,0.43,2969,1915,0,30.0,0
CE00230,LOC046,Last Mile Facility,2024-03-01T07:02:36,1.0,1736,2778,1339,122.6,54
CE00231,LOC040,Distribution Center,2025-10-11T14:06:37,1.0,2337,3938,1704,117.5,61
CE00232,LOC034,Port,2025-02-12T16:06:09,0.29,1778,783,0,30.0,0
CE00233,LOC026,Distribution Center,2025-08-13T18:14:50,0.78,3661,4301,670,52.0,15
CE00234,LOC047,Distribution Center,2026-06-26T01:19:51,0.86,4197,5397,2284,95.3,25
CE00235,LOC064,Warehouse,2024-12-30T14:50:19,1.0,3291,5477,3664,163.6,59
CE00236,LOC049,Port,2025-06-25T16:37:08,1.0,1833,3219,2515,194.6,68
CE00237,LOC033,Last Mile Facility,2026-01-22T05:31:01,1.0,4291,7199,2095,88.6,60
CE00238,LOC035,Airport,2026-04-04T01:01:28,0.27,1822,751,0,30.0,0
CE00239,LOC024,Airport,2024-10-06T17:17:05,0.39,1595,929,0,30.0,0
CE00240,LOC004,Warehouse,2025-04-11T04:33:36,0.63,869,816,0,30.0,0
CE00241,LOC007,Warehouse,2024-12-26T05:36:36,1.0,2658,4211,995,74.9,52
CE00242,LOC038,Airport,2025-03-29T18:52:14,0.35,1463,776,0,30.0,0
CE00243,LOC021,Port,2026-01-23T12:20:44,0.42,437,274,0,30.0,0
CE00244,LOC028,Hub,2026-01-31T12:47:59,0.45,4698,3193,0,30.0,0
CE00245,LOC017,Hub,2025-09-01T06:39:02,0.77,1600,1844,364,57.3,13
CE00246,LOC064,Warehouse,2025-07-08T18:41:31,0.42,3291,2081,0,30.0,0
CE00247,LOC011,Warehouse,2026-04-24T03:55:00,0.81,2988,3610,1148,76.1,18
CE00248,LOC015,Last Mile Facility,2026-01-17T03:27:11,1.0,3252,4922,995,66.7,46
CE00249,LOC065,Airport,2025-04-03T21:57:08,0.28,1748,726,0,30.0,0
CE00250,LOC005,Sort Facility,2024-05-29T23:01:11,0.99,1284,1899,738,99.0,43
CE00251,LOC046,Last Mile Facility,2024-12-06T02:19:18,0.96,1736,2506,546,67.7,39
CE00252,LOC034,Port,2024-06-23T13:21:39,0.87,1778,2312,899,90.7,27
CE00253,LOC029,Port,2025-03-22T06:15:08,1.0,2831,5067,4065,202.3,71
CE00254,LOC024,Airport,2025-10-13T19:35:56,0.76,1595,1830,366,57.5,13
CE00255,LOC017,Hub,2025-11-25T15:48:52,0.87,1600,2083,748,86.1,27
CE00256,LOC046,Last Mile Facility,2025-05-20T11:40:52,0.5,1736,1294,0,30.0,0
CE00257,LOC038,Airport,2025-01-19T07:36:03,0.72,1463,1585,196,46.1,7
CE00258,LOC031,Hub,2025-10-22T00:07:33,0.85,4593,5855,1713,74.8,24
CE00259,LOC027,Distribution Center,2024-06-28T22:03:07,0.94,300,423,70,58.0,36
CE00260,LOC046,Last Mile Facility,2024-09-30T17:00:17,0.6,1736,1567,0,30.0,0
CE00261,LOC033,Last Mile Facility,2025-12-22T22:36:40,0.62,4291,3984,0,30.0,0
CE00262,LOC047,Distribution Center,2025-05-10T09:40:32,0.67,4197,4199,2,30.1,0
CE00263,LOC062,Sort Facility,2024-06-25T08:56:23,0.74,3208,3573,195,37.3,10
CE00264,LOC059,Distribution Center,2025-06-23T22:40:06,0.79,4161,4912,1372,69.6,16
CE00265,LOC045,Distribution Center,2025-09-10T09:50:42,1.0,4759,7817,3405,115.9,57
CE00266,LOC043,Distribution Center,2024-07-17T22:20:35,0.75,4879,5483,548,43.5,11
CE00267,LOC068,Hub,2026-01-21T11:05:13,0.29,2969,1305,0,30.0,0
CE00268,LOC062,Sort Facility,2026-01-29T21:44:33,0.62,3208,2976,0,30.0,0
CE00269,LOC024,Airport,2025-10-02T00:34:55,0.66,1595,1575,0,30.0,0
CE00270,LOC013,Hub,2024-12-30T20:13:01,0.86,2712,3487,976,73.2,25
CE00271,LOC062,Sort Facility,2024-02-14T23:48:07,0.6,3208,2878,0,30.0,0
CE00272,LOC006,Sort Facility,2025-03-27T22:39:55,0.93,4943,6930,3194,107.5,36
CE00273,LOC050,Airport,2025-02-20T04:55:32,1.0,3355,6025,4095,176.5,71
CE00274,LOC024,Airport,2026-02-27T08:30:06,0.69,1595,1658,99,37.4,3
CE00275,LOC031,Hub,2024-11-30T03:44:21,0.3,4593,2064,0,30.0,0
CE00276,LOC067,Warehouse,2025-09-27T08:50:32,0.72,3061,3297,466,48.3,6
CE00277,LOC019,Airport,2024-04-04T10:54:35,0.47,3442,2430,0,30.0,0
CE00278,LOC063,Last Mile Facility,2026-05-23T10:28:18,0.27,3270,1308,0,30.0,0
CE00279,LOC027,Distribution Center,2025-05-17T01:28:18,0.36,300,164,0,30.0,0
CE00280,LOC046,Last Mile Facility,2025-02-10T09:21:02,0.51,1736,1325,0,30.0,0
CE00281,LOC023,Port,2025-05-08T09:40:14,0.73,2668,2936,256,41.5,9
CE00282,LOC052,Hub,2025-09-30T19:43:53,0.96,2030,2913,1665,128.4,39
CE00283,LOC045,Distribution Center,2025-08-30T23:38:38,0.48,4759,3455,0,30.0,0
CE00284,LOC026,Distribution Center,2025-11-17T13:08:52,1.0,3661,6132,4019,161.7,60
CE00285,LOC009,Sort Facility,2025-10-22T12:34:41,1.0,3105,4768,2052,109.3,48
CE00286,LOC074,Warehouse,2025-09-11T07:50:58,0.29,325,143,0,30.0,0
CE00287,LOC022,Hub,2025-02-08T23:34:38,0.63,479,454,0,30.0,0
CE00288,LOC012,Airport,2024-03-25T20:52:46,0.83,2463,3076,944,76.0,22
CE00289,LOC074,Warehouse,2025-02-20T19:35:29,0.33,325,162,0,30.0,0
CE00290,LOC059,Distribution Center,2026-01-24T04:57:10,0.63,4161,3902,0,30.0,0
CE00291,LOC014,Airport,2024-12-06T02:58:49,0.36,1578,847,0,30.0,0
CE00292,LOC040,Distribution Center,2025-06-11T22:12:41,0.44,2337,1537,0,30.0,0
CE00293,LOC075,Distribution Center,2024-03-11T21:09:18,0.88,1059,1395,605,98.6,28
CE00294,LOC044,Warehouse,2025-04-24T06:06:38,0.77,3843,4410,1076,63.6,13
CE00295,LOC063,Last Mile Facility,2025-11-26T09:05:33,1.0,3270,5607,2573,124.4,64
CE00296,LOC069,Port,2025-09-28T14:52:54,0.51,4167,3206,0,30.0,0
CE00297,LOC048,Sort Facility,2024-12-09T19:02:11,1.0,3574,5425,3486,147.0,46
CE00298,LOC028,Hub,2026-06-08T08:33:33,1.0,4698,7071,1462,67.3,45
